0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
72;146;99;200;142;288;191;384;238;482;285;579
73;146;99;201;142;288;190;385;238;482;285;578
72;146;99;201;142;288;190;385;238;480;286;578
73;147;98;200;142;287;190;385;238;480;285;578
73;146;100;200;142;287;190;385;239;480;285;577
73;146;100;200;142;287;190;385;239;482;285;577
73;146;98;201;142;287;190;384;238;481;285;577
73;146;98;200;143;287;190;384;238;482;287;577
73;146;98;200;143;288;190;384;238;481;286;578
73;146;98;200;142;288;190;384;238;480;286;578
73;146;98;200;142;288;191;384;238;480;285;578
74;146;98;200;142;287;191;385;238;480;285;578
73;147;98;200;142;287;190;385;238;480;285;578
73;146;100;200;142;287;190;385;239;480;285;577
73;146;100;200;142;287;190;385;239;482;285;577
73;146;98;201;142;287;190;384;238;481;285;577
73;146;98;200;143;287;190;384;238;482;287;577
73;146;98;200;143;288;190;384;238;481;286;578
73;146;98;200;142;288;190;384;238;480;286;578
73;146;98;200;142;288;191;384;238;480;285;578
74;146;98;200;142;287;191;385;238;480;285;578
73;147;98;200;142;287;190;385;238;480;285;578
73;146;100;200;142;287;190;385;239;480;285;577
73;146;100;200;142;287;190;385;239;482;285;577
73;146;98;201;142;287;190;384;238;481;285;577
73;146;98;200;143;287;190;384;238;482;287;577
73;146;98;200;143;288;190;384;238;481;286;578
73;146;98;200;142;288;190;384;238;480;286;578
73;146;98;200;142;288;191;384;238;480;285;578
74;146;98;200;142;287;191;385;238;480;285;578
73;147;98;200;142;287;190;385;238;480;285;578
73;146;100;200;142;287;190;385;239;480;285;577
73;146;100;200;142;287;190;385;239;482;285;577
73;146;98;201;142;287;190;384;238;481;285;577
73;146;98;200;143;287;190;384;238;482;287;577
73;146;98;200;143;288;190;384;238;481;286;578
73;146;98;200;142;288;190;384;238;480;286;578
73;146;98;200;142;288;191;384;238;480;285;578
74;146;98;200;142;287;191;385;238;480;285;578
73;147;98;200;142;287;190;385;238;480;285;578
73;146;100;200;142;287;190;385;239;480;285;577
73;146;100;200;142;287;190;385;239;482;285;577
73;146;98;201;142;287;190;384;238;481;285;577
73;146;98;200;143;287;190;384;238;482;287;577
73;146;98;200;143;288;190;384;238;481;286;578
73;146;98;200;142;288;190;384;238;480;286;578
73;146;98;200;142;288;191;384;238;480;285;578
74;146;98;200;142;287;191;385;238;480;285;578
73;147;98;200;142;287;190;385;238;480;285;578
73;146;100;200;142;287;190;385;239;480;285;577
73;146;100;200;142;287;190;385;239;482;285;577
73;146;98;201;142;287;190;384;238;481;285;577
73;146;98;200;143;287;190;384;238;482;287;577
73;146;98;200;143;288;190;384;238;481;286;578
73;146;98;200;142;288;190;384;238;480;286;578
73;146;98;200;142;288;191;384;238;480;285;578
74;146;98;200;142;287;191;385;238;480;285;578
