0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
104;211;138;278;205;411;274;554;346;698;415;841
105;211;138;279;204;411;274;554;345;698;416;840
105;210;139;278;204;412;274;554;346;697;415;839
104;209;138;278;203;411;274;553;344;696;415;839
104;209;138;278;203;411;275;553;344;696;415;839
105;209;138;278;203;411;275;553;344;696;414;839
105;209;138;278;203;411;275;553;344;696;414;839
105;209;138;278;203;411;275;554;344;696;414;839
104;210;138;278;203;411;275;554;344;695;414;839
104;210;138;278;203;411;275;554;344;695;414;839
104;210;138;278;203;410;275;554;344;695;414;839
104;210;138;278;203;410;274;554;344;695;414;839
104;210;138;278;203;410;274;554;345;695;414;839
104;210;139;278;203;410;274;554;345;695;414;839
104;209;139;278;203;410;274;554;345;695;414;839
104;209;139;278;203;410;274;554;345;697;414;839
104;209;138;279;203;410;274;554;345;696;414;839
104;209;138;279;203;410;274;554;345;697;414;839
104;209;138;279;203;410;274;554;345;696;414;839
104;209;138;279;203;410;274;554;345;696;415;838
104;209;138;279;204;410;274;554;345;696;415;838
104;209;138;279;205;410;274;553;344;696;415;838
104;209;138;279;205;410;274;553;344;696;415;838
104;209;138;278;205;410;274;553;344;696;416;839
104;209;138;278;205;411;274;553;344;696;415;839
104;209;138;278;204;411;274;553;344;696;415;839
104;209;138;278;203;411;274;553;344;696;415;839
104;209;138;278;203;411;274;553;344;696;416;839
104;209;138;278;203;411;274;553;344;696;415;839
104;209;138;278;203;411;275;553;344;696;415;839
105;209;138;278;203;411;275;553;344;696;414;839
105;209;138;278;203;411;275;553;344;696;414;839
105;209;138;278;203;411;275;554;344;696;414;839
104;210;138;278;203;411;275;554;344;695;414;839
104;210;138;278;203;411;275;554;344;695;414;839
104;210;138;278;203;410;275;554;344;695;414;839
104;210;138;278;203;410;274;554;344;695;414;839
104;210;138;278;203;410;274;554;345;695;414;839
104;210;139;278;203;410;274;554;345;695;414;839
