0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
65;135;90;186;156;322;227;462;296;604;365;746
65;135;89;187;156;322;225;463;296;604;365;746
64;135;89;185;156;322;225;463;296;604;365;746
64;136;89;185;157;321;226;463;295;603;364;746
65;135;90;185;157;321;226;463;296;603;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;187;157;321;225;462;295;604;365;744
65;135;89;185;158;321;225;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;227;462;295;604;364;746
67;135;89;185;157;321;226;463;295;603;364;746
65;136;89;185;157;321;225;463;295;603;364;745
65;135;89;185;157;321;226;463;296;603;364;745
65;135;90;187;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;462;296;604;364;744
65;135;89;185;158;321;225;462;295;604;365;744
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;225;462;295;604;365;746
65;135;89;185;157;322;227;462;295;603;364;746
65;136;89;185;157;321;226;463;295;603;364;745
65;136;89;185;157;321;226;463;296;603;364;745
65;135;90;185;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;185;158;321;226;462;295;604;365;744
65;135;89;185;158;322;226;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;745
65;135;89;185;157;322;227;462;295;603;364;746
67;135;89;185;157;321;227;463;295;603;364;745
65;136;89;185;157;321;226;463;295;603;364;746
65;135;90;185;157;321;226;463;296;603;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;187;157;321;225;462;295;604;365;744
65;135;89;185;158;321;225;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;227;462;295;604;364;746
67;135;89;185;157;321;226;463;295;603;364;746
65;136;89;185;157;321;225;463;295;603;364;745
65;135;89;185;157;321;226;463;296;603;364;745
65;135;90;187;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;462;296;604;364;744
65;135;89;185;158;321;225;462;295;604;365;744
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;225;462;295;604;365;746
65;135;89;185;157;322;227;462;295;603;364;746
65;136;89;185;157;321;226;463;295;603;364;745
65;136;89;185;157;321;226;463;296;603;364;745
65;135;90;185;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;185;158;321;226;462;295;604;365;744
65;135;89;185;158;322;226;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;745
65;135;89;185;157;322;227;462;295;603;364;746
67;135;89;185;157;321;227;463;295;603;364;745
65;136;89;185;157;321;226;463;295;603;364;746
65;135;90;185;157;321;226;463;296;603;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;187;157;321;225;462;295;604;365;744
65;135;89;185;158;321;225;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;227;462;295;604;364;746
67;135;89;185;157;321;226;463;295;603;364;746
65;136;89;185;157;321;225;463;295;603;364;745
65;135;89;185;157;321;226;463;296;603;364;745
65;135;90;187;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;462;296;604;364;744
65;135;89;185;158;321;225;462;295;604;365;744
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;225;462;295;604;365;746
65;135;89;185;157;322;227;462;295;603;364;746
65;136;89;185;157;321;226;463;295;603;364;745
65;136;89;185;157;321;226;463;296;603;364;745
65;135;90;185;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;185;158;321;226;462;295;604;365;744
65;135;89;185;158;322;226;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;745
65;135;89;185;157;322;227;462;295;603;364;746
67;135;89;185;157;321;227;463;295;603;364;745
65;136;89;185;157;321;226;463;295;603;364;746
65;135;90;185;157;321;226;463;296;603;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;187;157;321;225;462;295;604;365;744
65;135;89;185;158;321;225;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;227;462;295;604;364;746
67;135;89;185;157;321;226;463;295;603;364;746
65;136;89;185;157;321;225;463;295;603;364;745
65;135;89;185;157;321;226;463;296;603;364;745
65;135;90;187;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;462;296;604;364;744
65;135;89;185;158;321;225;462;295;604;365;744
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;225;462;295;604;365;746
65;135;89;185;157;322;227;462;295;603;364;746
65;136;89;185;157;321;226;463;295;603;364;745
65;136;89;185;157;321;226;463;296;603;364;745
65;135;90;185;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;185;158;321;226;462;295;604;365;744
65;135;89;185;158;322;226;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;745
65;135;89;185;157;322;227;462;295;603;364;746
67;135;89;185;157;321;227;463;295;603;364;745
65;136;89;185;157;321;226;463;295;603;364;746
65;135;90;185;157;321;226;463;296;603;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;187;157;321;225;462;295;604;365;744
65;135;89;185;158;321;225;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;227;462;295;604;364;746
67;135;89;185;157;321;226;463;295;603;364;746
65;136;89;185;157;321;225;463;295;603;364;745
65;135;89;185;157;321;226;463;296;603;364;745
65;135;90;187;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;462;296;604;364;744
65;135;89;185;158;321;225;462;295;604;365;744
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;225;462;295;604;365;746
65;135;89;185;157;322;227;462;295;603;364;746
65;136;89;185;157;321;226;463;295;603;364;745
65;136;89;185;157;321;226;463;296;603;364;745
65;135;90;185;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;185;158;321;226;462;295;604;365;744
65;135;89;185;158;322;226;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;745
65;135;89;185;157;322;227;462;295;603;364;746
67;135;89;185;157;321;227;463;295;603;364;745
65;136;89;185;157;321;226;463;295;603;364;746
65;135;90;185;157;321;226;463;296;603;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;187;157;321;225;462;295;604;365;744
65;135;89;185;158;321;225;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;227;462;295;604;364;746
67;135;89;185;157;321;226;463;295;603;364;746
65;136;89;185;157;321;225;463;295;603;364;745
65;135;89;185;157;321;226;463;296;603;364;745
65;135;90;187;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;462;296;604;364;744
65;135;89;185;158;321;225;462;295;604;365;744
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;225;462;295;604;365;746
65;135;89;185;157;322;227;462;295;603;364;746
65;136;89;185;157;321;226;463;295;603;364;745
65;136;89;185;157;321;226;463;296;603;364;745
65;135;90;185;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;185;158;321;226;462;295;604;365;744
65;135;89;185;158;322;226;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;745
65;135;89;185;157;322;227;462;295;603;364;746
67;135;89;185;157;321;227;463;295;603;364;745
65;136;89;185;157;321;226;463;295;603;364;746
65;135;90;185;157;321;226;463;296;603;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;187;157;321;225;462;295;604;365;744
65;135;89;185;158;321;225;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;227;462;295;604;364;746
67;135;89;185;157;321;226;463;295;603;364;746
65;136;89;185;157;321;225;463;295;603;364;745
65;135;89;185;157;321;226;463;296;603;364;745
65;135;90;187;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;462;296;604;364;744
65;135;89;185;158;321;225;462;295;604;365;744
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;225;462;295;604;365;746
65;135;89;185;157;322;227;462;295;603;364;746
65;136;89;185;157;321;226;463;295;603;364;745
65;136;89;185;157;321;226;463;296;603;364;745
65;135;90;185;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;185;158;321;226;462;295;604;365;744
65;135;89;185;158;322;226;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;745
65;135;89;185;157;322;227;462;295;603;364;746
67;135;89;185;157;321;227;463;295;603;364;745
65;136;89;185;157;321;226;463;295;603;364;746
65;135;90;185;157;321;226;463;296;603;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;187;157;321;225;462;295;604;365;744
65;135;89;185;158;321;225;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;227;462;295;604;364;746
67;135;89;185;157;321;226;463;295;603;364;746
65;136;89;185;157;321;225;463;295;603;364;745
65;135;89;185;157;321;226;463;296;603;364;745
65;135;90;187;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;462;296;604;364;744
65;135;89;185;158;321;225;462;295;604;365;744
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;225;462;295;604;365;746
65;135;89;185;157;322;227;462;295;603;364;746
65;136;89;185;157;321;226;463;295;603;364;745
65;136;89;185;157;321;226;463;296;603;364;745
65;135;90;185;157;321;226;463;296;604;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;185;158;321;226;462;295;604;365;744
65;135;89;185;158;322;226;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;745
65;135;89;185;157;322;227;462;295;603;364;746
67;135;89;185;157;321;227;463;295;603;364;745
65;136;89;185;157;321;226;463;295;603;364;746
65;135;90;185;157;321;226;463;296;603;364;745
65;135;89;187;157;321;226;463;296;604;364;744
65;135;89;187;157;321;225;462;295;604;365;744
65;135;89;185;158;321;225;462;295;604;365;746
65;135;89;185;157;322;226;462;295;604;365;746
65;135;89;185;157;322;227;462;295;604;364;746
67;135;89;185;157;321;226;463;295;603;364;746
65;136;89;185;157;321;225;463;295;603;364;745
