0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
113;224;150;297;223;443;293;590;366;735;439;880
113;223;151;297;223;443;293;589;367;735;439;880
113;224;150;298;222;442;295;588;367;734;440;881
113;223;149;297;221;443;293;587;365;733;438;878
113;223;149;297;221;443;294;587;365;733;439;879
114;223;149;297;221;443;294;587;365;733;439;879
114;223;149;297;221;443;294;587;365;733;437;879
114;223;149;297;221;443;294;588;365;733;437;879
113;224;149;297;221;443;294;588;365;733;437;879
113;224;149;297;221;443;294;588;365;732;437;878
113;224;149;297;221;442;294;588;365;732;437;879
113;224;149;297;221;442;293;588;366;732;437;878
113;224;150;297;221;442;293;588;366;732;437;878
113;224;151;297;221;442;293;588;366;732;437;878
113;223;151;297;221;442;293;588;366;732;437;878
113;223;151;297;221;442;293;588;367;733;437;878
113;223;151;298;221;442;293;588;366;733;437;879
113;223;149;298;221;442;293;588;366;733;437;879
113;223;149;298;221;442;293;588;367;733;437;878
113;223;149;298;221;442;293;588;366;733;438;878
113;223;149;298;221;442;293;588;367;733;439;877
113;223;149;298;222;442;293;588;365;733;439;877
113;223;149;298;222;442;293;587;365;733;439;877
113;223;149;298;222;442;293;587;365;733;439;878
113;223;149;297;222;443;293;587;365;733;439;879
113;223;149;297;222;443;293;587;365;733;439;879
113;223;149;297;221;443;293;587;365;733;439;879
113;223;149;297;221;443;293;587;365;733;439;879
113;223;149;297;221;443;293;587;365;733;438;878
113;223;149;297;221;443;294;587;365;733;439;879
114;223;149;297;221;443;294;587;365;733;439;879
114;223;149;297;221;443;294;587;365;733;437;879
114;223;149;297;221;443;294;588;365;733;437;879
113;224;149;297;221;443;294;588;365;733;437;879
113;224;149;297;221;443;294;588;365;732;437;878
113;224;149;297;221;442;294;588;365;732;437;879
113;224;149;297;221;442;293;588;366;732;437;878
113;224;150;297;221;442;293;588;366;732;437;878
113;224;151;297;221;442;293;588;366;732;437;878
113;223;151;297;221;442;293;588;366;732;437;878
113;223;151;297;221;442;293;588;367;733;437;878
113;223;151;298;221;442;293;588;366;733;437;879
113;223;149;298;221;442;293;588;366;733;437;879
113;223;149;298;221;442;293;588;367;733;437;878
113;223;149;298;221;442;293;588;366;733;438;878
113;223;149;298;221;442;293;588;367;733;439;877
113;223;149;298;222;442;293;588;365;733;439;877
113;223;149;298;222;442;293;587;365;733;439;877
113;223;149;298;222;442;293;587;365;733;439;878
113;223;149;297;222;443;293;587;365;733;439;879
113;223;149;297;222;443;293;587;365;733;439;879
113;223;149;297;221;443;293;587;365;733;439;879
113;223;149;297;221;443;293;587;365;733;439;879
113;223;149;297;221;443;293;587;365;733;438;878
113;223;149;297;221;443;294;587;365;733;439;879
114;223;149;297;221;443;294;587;365;733;439;879
114;223;149;297;221;443;294;587;365;733;437;879
114;223;149;297;221;443;294;588;365;733;437;879
113;224;149;297;221;443;294;588;365;733;437;879
113;224;149;297;221;443;294;588;365;732;437;878
113;224;149;297;221;442;294;588;365;732;437;879
113;224;149;297;221;442;293;588;366;732;437;878
113;224;150;297;221;442;293;588;366;732;437;878
113;224;151;297;221;442;293;588;366;732;437;878
113;223;151;297;221;442;293;588;366;732;437;878
113;223;151;297;221;442;293;588;367;733;437;878
113;223;151;298;221;442;293;588;366;733;437;879
113;223;149;298;221;442;293;588;366;733;437;879
113;223;149;298;221;442;293;588;367;733;437;878
113;223;149;298;221;442;293;588;366;733;438;878
113;223;149;298;221;442;293;588;367;733;439;877
113;223;149;298;222;442;293;588;365;733;439;877
113;223;149;298;222;442;293;587;365;733;439;877
113;223;149;298;222;442;293;587;365;733;439;878
113;223;149;297;222;443;293;587;365;733;439;879
113;223;149;297;222;443;293;587;365;733;439;879
113;223;149;297;221;443;293;587;365;733;439;879
113;223;149;297;221;443;293;587;365;733;439;879
113;223;149;297;221;443;293;587;365;733;438;878
113;223;149;297;221;443;294;587;365;733;439;879
114;223;149;297;221;443;294;587;365;733;439;879
114;223;149;297;221;443;294;587;365;733;437;879
114;223;149;297;221;443;294;588;365;733;437;879
113;224;149;297;221;443;294;588;365;733;437;879
113;224;149;297;221;443;294;588;365;732;437;878
