0B-E;0B-D;1B-E;1B-D;16B-E;16B-D;32B-E;32B-D;48B-E;48B-D;64B-E;64B-D
145;297;186;379;289;582;392;789;495;997;597;1206
146;296;186;379;288;581;392;789;495;997;598;1204
146;296;188;378;288;583;391;790;496;997;597;1204
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
146;296;186;379;289;582;391;789;493;996;598;1206
