0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
68;140;87;177;119;238;151;306;184;372;218;438
69;140;87;178;119;238;152;306;185;371;218;439
68;138;88;179;118;240;151;306;184;372;218;438
69;138;89;177;119;238;151;305;186;371;217;437
69;138;88;178;119;238;151;304;184;372;217;437
69;138;88;178;119;238;151;304;184;372;219;437
69;138;88;177;120;238;151;304;184;372;219;437
69;138;88;177;119;239;151;304;184;371;217;438
69;138;88;177;119;239;153;304;184;371;217;438
70;138;88;177;119;238;153;304;184;371;217;438
69;139;88;177;119;238;151;305;184;371;217;437
69;138;88;177;119;238;151;305;186;371;217;437
69;138;89;177;119;238;151;304;186;372;217;437
69;138;88;178;119;238;151;304;184;372;217;437
69;138;88;177;120;238;151;304;184;372;219;437
69;138;88;177;119;239;151;304;184;371;219;438
69;138;88;177;118;239;151;304;184;371;217;438
69;138;88;177;119;238;153;304;184;371;217;438
69;138;88;177;119;238;151;305;184;371;217;438
69;139;88;177;118;238;151;305;186;371;217;437
69;138;89;177;119;238;151;304;186;371;217;437
69;138;88;178;119;238;151;304;184;372;217;437
69;138;88;177;120;238;151;304;184;372;219;437
69;138;88;177;119;238;151;304;184;372;219;438
69;138;88;177;119;239;151;304;184;371;217;438
69;138;88;177;119;239;153;304;184;371;217;438
70;138;88;177;119;238;151;306;184;371;217;438
69;139;88;177;119;238;151;305;184;371;217;437
69;138;89;177;119;238;151;305;186;371;217;437
69;138;88;178;119;238;151;304;184;372;217;437
69;138;88;178;119;238;151;304;184;372;219;437
69;138;88;177;120;238;151;304;184;372;219;437
69;138;88;177;119;239;151;304;184;371;217;438
69;138;88;177;119;239;153;304;184;371;217;438
70;138;88;177;119;238;153;304;184;371;217;438
69;139;88;177;119;238;151;305;184;371;217;437
69;138;88;177;119;238;151;305;186;371;217;437
69;138;89;177;119;238;151;304;186;372;217;437
69;138;88;178;119;238;151;304;184;372;217;437
