0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
107;216;133;270;179;358;225;452;273;544;319;640
106;214;134;270;179;357;226;451;272;546;319;640
107;215;133;272;179;356;226;451;272;546;319;639
107;215;133;271;178;358;225;450;272;545;319;639
106;215;133;271;178;358;226;450;272;544;319;639
109;215;133;271;178;358;226;450;272;544;319;639
109;215;133;271;178;358;226;450;272;544;319;639
108;215;133;271;178;358;226;452;272;544;319;639
107;216;133;271;178;357;226;452;272;544;319;639
107;216;133;271;178;357;226;452;272;544;319;639
107;216;133;271;178;357;225;452;272;544;319;639
107;216;133;271;178;357;225;452;272;544;319;639
107;216;133;271;178;357;225;452;273;544;319;639
107;216;134;271;178;357;225;452;273;544;319;639
107;215;134;271;178;357;225;452;273;544;319;638
107;215;134;271;178;357;225;452;273;545;319;638
107;215;133;272;178;357;225;452;273;545;319;638
107;215;133;272;178;357;225;452;273;545;319;638
107;215;133;272;178;357;225;451;273;545;319;638
107;215;133;272;178;357;225;450;272;545;319;638
107;215;133;272;178;357;225;450;272;545;320;638
107;215;133;272;179;357;225;450;272;545;320;638
107;215;133;272;179;357;225;450;272;545;320;638
107;215;133;271;179;357;225;450;272;545;320;639
107;215;133;271;179;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;319;639
106;215;133;271;178;358;226;450;272;544;319;639
109;215;133;271;178;358;226;450;272;544;319;639
109;215;133;271;178;358;226;450;272;544;319;639
108;215;133;271;178;358;226;452;272;544;319;639
107;216;133;271;178;357;226;452;272;544;319;639
107;216;133;271;178;357;226;452;272;544;319;639
107;216;133;271;178;357;225;452;272;544;319;639
107;216;133;271;178;357;225;452;272;544;319;639
107;216;133;271;178;357;225;452;273;544;319;639
107;216;134;271;178;357;225;452;273;544;319;639
107;215;134;271;178;357;225;452;273;544;319;638
107;215;134;271;178;357;225;452;273;545;319;638
107;215;133;272;178;357;225;452;273;545;319;638
107;215;133;272;178;357;225;452;273;545;319;638
107;215;133;272;178;357;225;451;273;545;319;638
107;215;133;272;178;357;225;450;272;545;319;638
107;215;133;272;178;357;225;450;272;545;320;638
107;215;133;272;179;357;225;450;272;545;320;638
107;215;133;272;179;357;225;450;272;545;320;638
107;215;133;271;179;357;225;450;272;545;320;639
107;215;133;271;179;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;319;639
106;215;133;271;178;358;226;450;272;544;319;639
109;215;133;271;178;358;226;450;272;544;319;639
109;215;133;271;178;358;226;450;272;544;319;639
108;215;133;271;178;358;226;452;272;544;319;639
107;216;133;271;178;357;226;452;272;544;319;639
107;216;133;271;178;357;226;452;272;544;319;639
107;216;133;271;178;357;225;452;272;544;319;639
107;216;133;271;178;357;225;452;272;544;319;639
107;216;133;271;178;357;225;452;273;544;319;639
107;216;134;271;178;357;225;452;273;544;319;639
107;215;134;271;178;357;225;452;273;544;319;638
107;215;134;271;178;357;225;452;273;545;319;638
107;215;133;272;178;357;225;452;273;545;319;638
107;215;133;272;178;357;225;452;273;545;319;638
107;215;133;272;178;357;225;451;273;545;319;638
107;215;133;272;178;357;225;450;272;545;319;638
107;215;133;272;178;357;225;450;272;545;320;638
107;215;133;272;179;357;225;450;272;545;320;638
107;215;133;272;179;357;225;450;272;545;320;638
107;215;133;271;179;357;225;450;272;545;320;639
107;215;133;271;179;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;319;639
106;215;133;271;178;358;226;450;272;544;319;639
109;215;133;271;178;358;226;450;272;544;319;639
109;215;133;271;178;358;226;450;272;544;319;639
108;215;133;271;178;358;226;452;272;544;319;639
107;216;133;271;178;357;226;452;272;544;319;639
107;216;133;271;178;357;226;452;272;544;319;639
107;216;133;271;178;357;225;452;272;544;319;639
107;216;133;271;178;357;225;452;272;544;319;639
107;216;133;271;178;357;225;452;273;544;319;639
107;216;134;271;178;357;225;452;273;544;319;639
107;215;134;271;178;357;225;452;273;544;319;638
107;215;134;271;178;357;225;452;273;545;319;638
107;215;133;272;178;357;225;452;273;545;319;638
107;215;133;272;178;357;225;452;273;545;319;638
107;215;133;272;178;357;225;451;273;545;319;638
107;215;133;272;178;357;225;450;272;545;319;638
107;215;133;272;178;357;225;450;272;545;320;638
107;215;133;272;179;357;225;450;272;545;320;638
107;215;133;272;179;357;225;450;272;545;320;638
107;215;133;271;179;357;225;450;272;545;320;639
107;215;133;271;179;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;320;639
107;215;133;271;178;358;225;450;272;545;319;639
