0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
74;149;94;191;125;252;161;326;196;396;233;467
73;149;94;192;125;252;162;326;196;396;231;468
73;149;94;191;126;253;161;325;197;395;233;468
73;148;95;192;125;253;160;325;197;395;231;467
73;148;94;193;125;253;160;324;196;397;231;467
73;148;94;193;125;253;160;324;196;397;232;467
73;148;94;192;126;253;160;324;196;397;232;467
73;148;94;192;125;254;160;324;196;395;231;468
73;148;94;192;125;254;161;324;196;395;231;468
74;148;94;192;125;253;162;324;196;395;231;468
73;149;94;192;125;253;160;325;196;395;231;467
73;148;94;192;125;253;160;325;197;395;231;467
73;148;95;192;125;253;160;324;197;397;231;467
73;148;94;193;125;253;160;324;196;397;231;467
73;148;94;192;126;253;160;324;196;397;232;467
73;148;94;192;125;254;160;324;196;397;232;468
73;148;94;192;125;254;160;324;196;395;231;468
73;148;94;192;125;253;161;324;196;395;231;468
73;148;94;192;125;253;160;325;196;395;231;468
73;149;94;192;125;253;160;325;197;395;231;467
73;148;95;192;125;253;160;325;197;395;231;467
73;148;94;193;125;253;160;324;196;397;231;467
73;148;94;193;126;253;160;324;196;397;232;467
73;148;94;192;125;253;160;324;196;397;232;468
73;148;94;192;125;254;160;324;196;395;231;468
73;148;94;192;125;254;161;324;196;395;231;468
74;148;94;192;125;253;160;325;196;395;231;468
73;149;94;192;125;253;160;325;196;395;231;467
73;148;95;192;125;253;160;325;197;395;231;467
73;148;94;193;125;253;160;324;196;397;231;467
73;148;94;193;125;253;160;324;196;397;232;467
73;148;94;192;126;253;160;324;196;397;232;467
73;148;94;192;125;254;160;324;196;395;231;468
73;148;94;192;125;254;161;324;196;395;231;468
74;148;94;192;125;253;162;324;196;395;231;468
73;149;94;192;125;253;160;325;196;395;231;467
73;148;94;192;125;253;160;325;197;395;231;467
73;148;95;192;125;253;160;324;197;397;231;467
73;148;94;193;125;253;160;324;196;397;231;467
73;148;94;192;126;253;160;324;196;397;232;467
73;148;94;192;125;254;160;324;196;397;232;468
73;148;94;192;125;254;160;324;196;395;231;468
73;148;94;192;125;253;161;324;196;395;231;468
73;148;94;192;125;253;160;325;196;395;231;468
73;149;94;192;125;253;160;325;197;395;231;467
73;148;95;192;125;253;160;325;197;395;231;467
