0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
102;206;128;257;177;355;227;460;280;566;330;673
102;205;129;258;176;354;228;460;279;567;330;673
102;205;129;257;176;353;228;460;278;568;330;671
102;204;128;257;176;354;226;459;279;566;331;671
102;204;128;257;176;354;228;459;279;566;331;671
103;204;128;257;176;354;228;459;279;564;331;671
103;204;128;257;176;354;228;459;279;564;331;671
103;204;128;257;176;354;228;460;279;564;331;671
102;205;128;257;176;353;228;460;279;564;331;671
102;205;128;257;176;353;228;460;279;564;331;671
102;205;128;257;176;353;227;460;279;564;331;671
102;205;128;257;176;353;227;460;278;564;331;671
102;205;127;257;176;353;227;460;280;564;331;671
102;205;129;257;176;353;227;460;280;564;331;671
102;204;130;257;176;353;227;460;280;564;331;671
102;204;130;257;176;353;227;460;280;566;331;670
102;204;128;258;176;353;227;460;280;566;331;670
102;204;128;258;176;353;227;460;280;566;331;670
102;204;128;258;176;353;227;460;280;566;331;670
102;204;128;258;176;353;227;459;279;566;330;670
102;204;128;258;176;353;227;459;279;566;332;670
102;204;128;258;177;353;227;459;279;566;332;670
102;204;128;258;177;353;227;459;279;566;332;670
102;204;128;257;177;353;227;459;279;566;332;671
102;204;128;257;177;354;227;459;279;566;332;671
102;204;128;257;176;354;227;459;279;566;332;671
102;204;128;257;176;354;227;459;279;566;332;671
102;204;128;257;176;354;227;459;279;566;332;671
102;204;128;257;176;354;226;459;279;566;331;671
102;204;128;257;176;354;228;459;279;566;331;671
103;204;128;257;176;354;228;459;279;564;331;671
103;204;128;257;176;354;228;459;279;564;331;671
103;204;128;257;176;354;228;460;279;564;331;671
102;205;128;257;176;353;228;460;279;564;331;671
102;205;128;257;176;353;228;460;279;564;331;671
102;205;128;257;176;353;227;460;279;564;331;671
102;205;128;257;176;353;227;460;278;564;331;671
102;205;127;257;176;353;227;460;280;564;331;671
102;205;129;257;176;353;227;460;280;564;331;671
102;204;130;257;176;353;227;460;280;564;331;671
102;204;130;257;176;353;227;460;280;566;331;670
102;204;128;258;176;353;227;460;280;566;331;670
102;204;128;258;176;353;227;460;280;566;331;670
