0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
48;96;63;127;81;164;104;209;126;255;148;299
49;96;61;128;82;163;104;209;126;255;148;299
47;97;61;126;83;164;104;209;127;254;149;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
48;97;62;127;82;164;104;210;127;254;148;299
48;96;62;127;82;164;104;209;126;255;148;299
48;96;62;127;83;164;104;209;126;254;150;299
48;96;62;127;82;165;104;209;126;254;148;301
48;96;62;127;82;164;104;209;126;254;148;299
