0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
75;152;96;195;127;257;163;329;198;400;235;471
76;152;96;196;127;256;164;329;198;401;233;472
75;152;96;194;127;257;164;328;199;401;233;472
75;152;97;195;128;257;163;329;199;400;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;196;127;257;163;328;198;401;235;471
75;152;96;195;129;257;163;328;198;401;235;471
75;152;96;195;128;258;163;328;198;400;234;472
75;152;96;195;128;258;164;328;198;400;234;472
77;152;96;195;128;257;164;328;198;400;234;472
75;153;96;195;128;257;163;329;198;400;234;473
75;153;96;195;128;257;163;329;199;400;234;471
75;152;97;195;128;257;163;328;199;401;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;195;129;257;163;328;198;401;235;471
75;152;96;195;128;258;163;328;198;401;235;473
75;152;96;195;128;258;163;328;198;400;234;473
75;152;96;195;128;257;164;328;198;400;234;473
75;152;96;195;128;257;163;329;198;400;234;472
75;153;96;195;128;257;163;329;199;400;234;471
75;152;97;195;128;257;163;329;199;400;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;196;129;257;163;328;198;401;235;471
75;152;96;195;128;257;163;328;198;401;235;473
75;152;96;195;128;258;163;328;198;400;234;472
75;152;96;195;128;258;164;328;198;400;234;473
77;152;96;195;128;257;163;329;198;400;234;472
75;153;96;195;128;257;163;329;198;400;234;471
75;152;97;195;128;257;163;329;199;400;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;196;127;257;163;328;198;401;235;471
75;152;96;195;129;257;163;328;198;401;235;471
75;152;96;195;128;258;163;328;198;400;234;472
75;152;96;195;128;258;164;328;198;400;234;472
77;152;96;195;128;257;164;328;198;400;234;472
75;153;96;195;128;257;163;329;198;400;234;473
75;153;96;195;128;257;163;329;199;400;234;471
75;152;97;195;128;257;163;328;199;401;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;195;129;257;163;328;198;401;235;471
75;152;96;195;128;258;163;328;198;401;235;473
75;152;96;195;128;258;163;328;198;400;234;473
75;152;96;195;128;257;164;328;198;400;234;473
75;152;96;195;128;257;163;329;198;400;234;472
75;153;96;195;128;257;163;329;199;400;234;471
75;152;97;195;128;257;163;329;199;400;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;196;129;257;163;328;198;401;235;471
75;152;96;195;128;257;163;328;198;401;235;473
75;152;96;195;128;258;163;328;198;400;234;472
75;152;96;195;128;258;164;328;198;400;234;473
77;152;96;195;128;257;163;329;198;400;234;472
75;153;96;195;128;257;163;329;198;400;234;471
75;152;97;195;128;257;163;329;199;400;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;196;127;257;163;328;198;401;235;471
75;152;96;195;129;257;163;328;198;401;235;471
75;152;96;195;128;258;163;328;198;400;234;472
75;152;96;195;128;258;164;328;198;400;234;472
77;152;96;195;128;257;164;328;198;400;234;472
75;153;96;195;128;257;163;329;198;400;234;473
75;153;96;195;128;257;163;329;199;400;234;471
75;152;97;195;128;257;163;328;199;401;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;195;129;257;163;328;198;401;235;471
75;152;96;195;128;258;163;328;198;401;235;473
75;152;96;195;128;258;163;328;198;400;234;473
75;152;96;195;128;257;164;328;198;400;234;473
75;152;96;195;128;257;163;329;198;400;234;472
75;153;96;195;128;257;163;329;199;400;234;471
75;152;97;195;128;257;163;329;199;400;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;196;129;257;163;328;198;401;235;471
75;152;96;195;128;257;163;328;198;401;235;473
75;152;96;195;128;258;163;328;198;400;234;472
75;152;96;195;128;258;164;328;198;400;234;473
77;152;96;195;128;257;163;329;198;400;234;472
75;153;96;195;128;257;163;329;198;400;234;471
75;152;97;195;128;257;163;329;199;400;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;196;127;257;163;328;198;401;235;471
75;152;96;195;129;257;163;328;198;401;235;471
75;152;96;195;128;258;163;328;198;400;234;472
75;152;96;195;128;258;164;328;198;400;234;472
77;152;96;195;128;257;164;328;198;400;234;472
75;153;96;195;128;257;163;329;198;400;234;473
75;153;96;195;128;257;163;329;199;400;234;471
75;152;97;195;128;257;163;328;199;401;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;195;129;257;163;328;198;401;235;471
75;152;96;195;128;258;163;328;198;401;235;473
75;152;96;195;128;258;163;328;198;400;234;473
75;152;96;195;128;257;164;328;198;400;234;473
75;152;96;195;128;257;163;329;198;400;234;472
75;153;96;195;128;257;163;329;199;400;234;471
75;152;97;195;128;257;163;329;199;400;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;196;129;257;163;328;198;401;235;471
75;152;96;195;128;257;163;328;198;401;235;473
75;152;96;195;128;258;163;328;198;400;234;472
75;152;96;195;128;258;164;328;198;400;234;473
77;152;96;195;128;257;163;329;198;400;234;472
75;153;96;195;128;257;163;329;198;400;234;471
75;152;97;195;128;257;163;329;199;400;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;196;127;257;163;328;198;401;235;471
75;152;96;195;129;257;163;328;198;401;235;471
75;152;96;195;128;258;163;328;198;400;234;472
75;152;96;195;128;258;164;328;198;400;234;472
77;152;96;195;128;257;164;328;198;400;234;472
75;153;96;195;128;257;163;329;198;400;234;473
75;153;96;195;128;257;163;329;199;400;234;471
75;152;97;195;128;257;163;328;199;401;234;471
75;152;96;196;128;257;163;328;198;401;234;471
75;152;96;195;129;257;163;328;198;401;235;471
75;152;96;195;128;258;163;328;198;401;235;473
75;152;96;195;128;258;163;328;198;400;234;473
75;152;96;195;128;257;164;328;198;400;234;473
75;152;96;195;128;257;163;329;198;400;234;472
75;153;96;195;128;257;163;329;199;400;234;471
