0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
112;227;139;282;188;376;239;479;292;583;343;687
112;226;140;284;187;377;239;480;292;583;344;687
112;226;141;282;188;377;240;479;291;582;344;686
113;225;140;282;187;376;239;478;291;583;344;686
113;225;140;282;187;376;240;478;291;583;342;686
114;225;140;282;187;376;240;478;291;582;342;686
114;225;140;282;187;376;240;478;291;582;342;686
114;225;140;282;187;376;240;479;291;582;342;686
113;226;140;282;187;376;240;479;291;582;342;686
113;226;140;282;187;375;240;479;291;582;342;686
113;226;140;282;187;375;239;479;291;582;342;686
113;226;140;282;187;375;239;479;291;582;342;686
113;226;140;282;187;375;239;479;292;582;342;686
113;226;141;282;187;375;239;479;292;582;342;686
113;225;141;282;187;375;239;479;292;582;342;686
113;225;141;282;187;375;239;479;292;583;342;686
113;225;141;283;187;375;239;479;292;583;342;685
113;225;140;283;187;375;239;479;292;583;342;685
113;225;140;283;187;375;239;479;292;583;342;685
113;225;140;283;187;375;239;478;291;583;343;685
113;225;140;283;187;375;239;478;291;583;344;685
113;225;140;283;188;375;239;478;291;583;344;685
113;225;140;283;189;375;239;478;291;583;344;685
113;225;140;282;189;375;239;478;291;583;344;686
113;225;140;282;188;376;239;478;291;583;344;686
113;225;140;282;189;376;239;478;291;583;344;686
113;225;140;282;187;376;239;478;291;583;344;686
113;225;140;282;187;376;239;478;291;583;344;686
113;225;140;282;187;376;239;478;291;583;344;686
113;225;140;282;187;376;240;478;291;583;342;686
114;225;140;282;187;376;240;478;291;582;342;686
114;225;140;282;187;376;240;478;291;582;342;686
114;225;140;282;187;376;240;479;291;582;342;686
113;226;140;282;187;376;240;479;291;582;342;686
113;226;140;282;187;375;240;479;291;582;342;686
113;226;140;282;187;375;239;479;291;582;342;686
113;226;140;282;187;375;239;479;291;582;342;686
113;226;140;282;187;375;239;479;292;582;342;686
113;226;141;282;187;375;239;479;292;582;342;686
113;225;141;282;187;375;239;479;292;582;342;686
113;225;141;282;187;375;239;479;292;583;342;686
113;225;141;283;187;375;239;479;292;583;342;685
113;225;140;283;187;375;239;479;292;583;342;685
113;225;140;283;187;375;239;479;292;583;342;685
113;225;140;283;187;375;239;478;291;583;343;685
113;225;140;283;187;375;239;478;291;583;344;685
113;225;140;283;188;375;239;478;291;583;344;685
113;225;140;283;189;375;239;478;291;583;344;685
113;225;140;282;189;375;239;478;291;583;344;686
113;225;140;282;188;376;239;478;291;583;344;686
113;225;140;282;189;376;239;478;291;583;344;686
113;225;140;282;187;376;239;478;291;583;344;686
113;225;140;282;187;376;239;478;291;583;344;686
113;225;140;282;187;376;239;478;291;583;344;686
113;225;140;282;187;376;240;478;291;583;342;686
114;225;140;282;187;376;240;478;291;582;342;686
114;225;140;282;187;376;240;478;291;582;342;686
114;225;140;282;187;376;240;479;291;582;342;686
113;226;140;282;187;376;240;479;291;582;342;686
113;226;140;282;187;375;240;479;291;582;342;686
113;226;140;282;187;375;239;479;291;582;342;686
113;226;140;282;187;375;239;479;291;582;342;686
113;226;140;282;187;375;239;479;292;582;342;686
113;226;141;282;187;375;239;479;292;582;342;686
113;225;141;282;187;375;239;479;292;582;342;686
113;225;141;282;187;375;239;479;292;583;342;686
113;225;141;283;187;375;239;479;292;583;342;685
113;225;140;283;187;375;239;479;292;583;342;685
113;225;140;283;187;375;239;479;292;583;342;685
113;225;140;283;187;375;239;478;291;583;343;685
