0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
108;221;134;271;184;370;231;469;282;568;330;667
108;219;135;272;184;369;232;469;280;569;330;668
108;219;135;271;184;370;233;469;281;569;330;667
108;220;134;271;183;371;232;468;281;568;330;667
108;220;134;271;183;371;233;468;281;568;330;667
110;220;134;271;183;371;233;468;281;567;330;667
110;220;134;271;183;371;233;468;281;567;330;667
108;220;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;370;233;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;282;567;330;667
108;221;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;470;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;468;281;568;330;666
108;220;134;273;183;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;271;184;370;232;468;281;568;331;667
108;220;134;271;184;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;330;667
108;220;134;271;183;371;233;468;281;568;330;667
110;220;134;271;183;371;233;468;281;567;330;667
110;220;134;271;183;371;233;468;281;567;330;667
108;220;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;370;233;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;282;567;330;667
108;221;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;470;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;468;281;568;330;666
108;220;134;273;183;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;271;184;370;232;468;281;568;331;667
108;220;134;271;184;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;330;667
108;220;134;271;183;371;233;468;281;568;330;667
110;220;134;271;183;371;233;468;281;567;330;667
110;220;134;271;183;371;233;468;281;567;330;667
108;220;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;370;233;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;282;567;330;667
108;221;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;470;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;468;281;568;330;666
108;220;134;273;183;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;271;184;370;232;468;281;568;331;667
108;220;134;271;184;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;330;667
108;220;134;271;183;371;233;468;281;568;330;667
110;220;134;271;183;371;233;468;281;567;330;667
110;220;134;271;183;371;233;468;281;567;330;667
108;220;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;370;233;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;282;567;330;667
108;221;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;470;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;468;281;568;330;666
108;220;134;273;183;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;271;184;370;232;468;281;568;331;667
108;220;134;271;184;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;330;667
108;220;134;271;183;371;233;468;281;568;330;667
110;220;134;271;183;371;233;468;281;567;330;667
110;220;134;271;183;371;233;468;281;567;330;667
108;220;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;370;233;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;282;567;330;667
108;221;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;470;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;468;281;568;330;666
108;220;134;273;183;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;271;184;370;232;468;281;568;331;667
108;220;134;271;184;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;330;667
108;220;134;271;183;371;233;468;281;568;330;667
110;220;134;271;183;371;233;468;281;567;330;667
110;220;134;271;183;371;233;468;281;567;330;667
108;220;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;370;233;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;282;567;330;667
108;221;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;470;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;468;281;568;330;666
108;220;134;273;183;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;271;184;370;232;468;281;568;331;667
108;220;134;271;184;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;330;667
108;220;134;271;183;371;233;468;281;568;330;667
110;220;134;271;183;371;233;468;281;567;330;667
110;220;134;271;183;371;233;468;281;567;330;667
108;220;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;370;233;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;282;567;330;667
108;221;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;470;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;468;281;568;330;666
108;220;134;273;183;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;271;184;370;232;468;281;568;331;667
108;220;134;271;184;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;330;667
108;220;134;271;183;371;233;468;281;568;330;667
110;220;134;271;183;371;233;468;281;567;330;667
110;220;134;271;183;371;233;468;281;567;330;667
108;220;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;371;233;469;281;567;330;667
108;221;134;271;183;370;233;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;281;567;330;667
108;221;134;271;183;370;232;469;282;567;330;667
108;221;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;469;282;567;330;667
108;220;135;271;183;370;232;470;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;469;282;568;330;666
108;220;134;273;183;370;232;468;281;568;330;666
108;220;134;273;183;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;273;184;370;232;468;281;568;331;666
108;220;134;271;184;370;232;468;281;568;331;667
108;220;134;271;184;371;232;468;281;568;331;667
108;220;134;271;183;371;232;468;281;568;331;667
