0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
72;147;73;149;75;151;76;157;104;210;156;316;242;486;412;824;774;1551
72;147;73;149;75;151;77;157;104;210;156;315;243;484;412;822;769;1550
72;148;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
72;147;74;151;75;152;77;157;105;211;157;316;241;484;412;824;767;1545
72;147;74;150;75;152;77;157;104;210;157;317;241;484;411;822;768;1550
72;147;74;150;76;152;77;157;104;210;157;317;241;484;409;824;773;1548
72;147;74;150;75;152;77;158;104;210;157;316;243;486;409;822;771;1547
72;148;74;150;75;152;77;157;104;210;157;316;242;486;410;821;770;1544
