0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
65;136;66;135;67;136;120;243;174;352;282;569;501;1004;935;1873;1805;3615
66;134;66;135;67;137;119;243;174;353;283;570;501;1005;935;1873;1805;3613
65;135;66;136;68;137;120;243;175;351;284;569;499;1003;936;1873;1805;3614
66;134;67;136;68;137;119;243;175;351;284;569;499;1003;936;1873;1805;3614
65;134;67;136;67;137;119;243;175;351;284;569;499;1003;936;1873;1805;3614
65;134;67;136;67;137;119;243;175;351;284;569;499;1003;936;1873;1805;3614
65;134;67;136;67;137;119;243;175;351;284;569;499;1003;936;1873;1805;3614
65;134;67;136;67;137;119;244;175;351;283;569;499;1003;936;1873;1805;3614
65;134;67;136;67;137;119;244;175;351;283;569;501;1003;936;1873;1805;3613
65;134;67;136;67;137;121;244;175;351;283;569;501;1003;936;1873;1805;3614
65;135;67;136;67;137;121;244;175;351;283;569;501;1003;936;1873;1805;3614
65;135;67;136;67;137;121;244;174;351;283;569;501;1003;935;1873;1805;3613
65;135;67;136;67;137;120;244;174;351;283;568;501;1003;935;1872;1805;3613
67;134;67;136;67;137;120;243;174;351;283;568;501;1003;935;1872;1805;3613
66;134;66;136;67;137;120;243;174;351;283;568;501;1003;935;1872;1805;3614
66;134;66;136;67;137;120;243;174;352;283;568;501;1003;934;1873;1805;3612
65;134;66;136;67;137;120;243;174;352;283;568;501;1003;934;1873;1805;3613
65;134;66;137;67;137;120;243;176;352;283;568;501;1003;936;1873;1805;3613
65;134;66;137;67;137;120;243;176;352;283;568;501;1003;936;1873;1805;3613
65;134;66;137;67;137;120;243;176;352;282;568;501;1003;936;1873;1805;3613
66;134;68;136;67;137;120;243;176;352;282;568;500;1003;936;1873;1804;3613
65;134;68;136;66;137;120;243;175;352;282;568;500;1003;936;1873;1803;3612
65;134;67;136;66;137;120;243;175;352;282;568;500;1003;936;1873;1803;3613
66;134;67;136;66;137;120;243;175;352;282;569;500;1003;936;1873;1803;3613
66;134;67;136;66;138;120;243;175;351;282;569;500;1003;936;1873;1803;3612
65;134;67;136;66;138;120;243;175;351;284;569;500;1003;936;1873;1803;3614
66;134;67;136;66;138;120;243;175;351;284;569;500;1003;936;1874;1805;3614
66;134;67;136;68;137;120;243;175;351;284;569;499;1003;936;1873;1805;3614
66;134;67;136;68;137;119;243;175;351;284;569;499;1003;936;1873;1805;3614
65;134;67;136;67;137;119;243;175;351;284;569;499;1003;936;1873;1805;3614
65;134;67;136;67;137;119;243;175;351;284;569;499;1003;936;1873;1805;3614
65;134;67;136;67;137;119;243;175;351;284;569;499;1003;936;1873;1805;3614
65;134;67;136;67;137;119;244;175;351;283;569;499;1003;936;1873;1805;3614
65;134;67;136;67;137;119;244;175;351;283;569;501;1003;936;1873;1805;3613
65;134;67;136;67;137;121;244;175;351;283;569;501;1003;936;1873;1805;3614
65;135;67;136;67;137;121;244;175;351;283;569;501;1003;936;1873;1805;3614
65;135;67;136;67;137;121;244;174;351;283;569;501;1003;935;1873;1805;3613
65;135;67;136;67;137;120;244;174;351;283;568;501;1003;935;1872;1805;3613
67;134;67;136;67;137;120;243;174;351;283;568;501;1003;935;1872;1805;3613
66;134;66;136;67;137;120;243;174;351;283;568;501;1003;935;1872;1805;3614
66;134;66;136;67;137;120;243;174;352;283;568;501;1003;934;1873;1805;3612
