0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
38;79;39;80;40;81;40;84;53;110;80;163;122;248;206;415;385;773
40;79;39;81;39;81;40;82;54;109;81;164;122;247;207;416;386;773
39;80;39;80;39;81;40;83;53;110;80;163;122;248;205;414;385;773
38;81;38;81;39;81;40;83;53;111;80;163;122;247;206;416;384;772
38;80;38;81;39;83;40;83;53;110;80;163;122;247;205;414;385;773
38;81;38;81;39;81;40;83;53;111;80;163;122;247;206;416;384;772
38;80;38;81;39;83;40;83;53;110;80;163;122;247;205;414;385;773
38;80;38;81;39;81;40;83;53;111;80;163;122;247;206;416;384;772
38;80;38;81;39;81;40;83;53;110;80;163;122;247;205;414;385;773
38;80;38;81;39;81;40;83;53;110;80;163;122;247;205;416;384;773
38;80;38;81;39;81;40;83;53;110;81;163;122;247;205;414;385;773
38;80;38;81;39;81;40;83;53;110;80;163;122;247;205;416;384;773
38;80;40;81;39;81;40;83;53;110;81;164;122;247;205;414;385;773
38;80;38;81;39;81;41;83;53;110;80;163;122;247;205;414;384;773
38;80;38;81;39;81;40;83;53;110;80;164;122;247;205;414;385;773
38;80;38;81;39;81;40;83;53;110;80;163;122;247;205;414;384;773
38;80;38;82;39;81;40;83;53;110;80;164;122;247;205;414;385;773
38;80;38;81;39;81;40;84;53;110;80;163;122;248;205;414;384;773
38;80;38;82;39;81;40;83;53;110;80;164;122;247;205;416;384;773
38;80;38;81;39;81;40;84;53;110;80;163;123;248;205;414;384;773
38;80;38;81;39;81;40;83;53;110;80;163;122;247;205;416;384;773
38;80;38;81;39;81;40;83;53;110;80;163;123;248;205;414;384;773
38;80;38;81;39;81;40;83;53;110;80;163;122;247;205;416;384;772
38;80;38;81;39;81;40;83;53;110;80;163;123;248;205;414;385;773
39;80;38;81;39;81;40;83;53;110;80;163;122;247;206;416;384;772
38;80;38;81;40;81;40;83;53;110;80;163;122;248;205;414;385;773
38;80;38;81;39;81;40;83;54;110;80;163;122;247;206;416;384;772
38;80;38;81;39;81;40;83;53;110;80;163;122;248;205;414;385;773
38;81;38;81;39;81;40;83;53;111;80;163;122;247;206;416;384;772
38;80;38;81;39;83;40;83;53;110;80;163;122;247;205;414;385;773
38;81;38;81;39;81;40;83;53;111;80;163;122;247;206;416;384;772
38;80;38;81;39;83;40;83;53;110;80;163;122;247;205;414;385;773
38;80;38;81;39;81;40;83;53;111;80;163;122;247;206;416;384;772
38;80;38;81;39;81;40;83;53;110;80;163;122;247;205;414;385;773
38;80;38;81;39;81;40;83;53;110;80;163;122;247;205;416;384;773
38;80;38;81;39;81;40;83;53;110;81;163;122;247;205;414;385;773
38;80;38;81;39;81;40;83;53;110;80;163;122;247;205;416;384;773
38;80;40;81;39;81;40;83;53;110;81;164;122;247;205;414;385;773
38;80;38;81;39;81;41;83;53;110;80;163;122;247;205;414;384;773
