0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
25;55;25;57;25;58
25;56;25;57;26;58
24;56;25;57;25;58
25;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
26;56;25;57;25;57
24;56;26;57;25;57
24;56;25;57;26;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
25;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;57;25;57;25;57
24;56;25;58;25;57
24;56;25;57;25;59
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
24;56;25;57;25;57
