0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
24;50;25;52;26;54
24;51;25;52;25;53
24;50;25;52;25;53
24;50;25;53;25;55
24;50;24;53;25;55
23;50;24;54;26;54
24;51;25;53;25;54
24;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;52;25;53;26;54
23;50;24;54;26;54
23;50;25;53;25;55
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
25;50;24;53;26;54
23;50;26;53;25;54
23;50;25;53;27;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;52;25;53;26;54
23;50;24;54;26;54
23;50;25;53;25;55
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
25;50;24;53;26;54
23;50;26;53;25;54
23;50;25;53;27;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;52;25;53;26;54
23;50;24;54;26;54
23;50;25;53;25;55
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
25;50;24;53;26;54
23;50;26;53;25;54
23;50;25;53;27;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;52;25;53;26;54
23;50;24;54;26;54
23;50;25;53;25;55
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
25;50;24;53;26;54
23;50;26;53;25;54
23;50;25;53;27;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;52;25;53;26;54
23;50;24;54;26;54
23;50;25;53;25;55
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
25;50;24;53;26;54
23;50;26;53;25;54
23;50;25;53;27;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;52;25;53;26;54
23;50;24;54;26;54
23;50;25;53;25;55
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
25;50;24;53;26;54
23;50;26;53;25;54
23;50;25;53;27;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;50;25;53;26;54
23;50;24;53;26;54
23;50;25;53;25;54
23;50;25;53;26;54
23;52;25;53;26;54
23;50;24;54;26;54
23;50;25;53;25;55
