0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
56;116;57;116;57;117
55;114;58;116;57;118
56;115;56;117;58;118
56;114;58;116;58;117
55;114;57;117;57;117
56;114;57;117;58;119
56;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;58;118
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;58;117;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
56;114;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
56;114;56;117;57;118
56;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;58;118
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;58;117;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
56;114;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
56;114;56;117;57;118
56;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;58;118
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;58;117;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
56;114;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
56;114;56;117;57;118
56;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;58;118
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;58;117;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
56;114;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
56;114;56;117;57;118
56;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;58;118
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;58;117;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
56;114;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
56;114;56;117;57;118
56;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;58;118
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;58;117;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
56;114;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
56;114;56;117;57;118
56;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;58;118
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;58;117;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
56;114;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
56;114;56;117;57;118
56;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;58;118
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;58;117;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
56;114;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
56;114;56;117;57;118
56;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;58;118
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;58;117;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
56;114;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
55;114;56;117;57;118
56;114;56;117;57;118
56;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;58;118
55;114;56;117;57;118
55;114;56;117;57;118
55;116;56;117;57;118
55;114;56;117;57;118
55;114;56;118;57;118
55;114;58;117;57;118
55;114;56;117;57;118
55;114;56;117;57;119
55;114;56;117;57;118
