0B-A;0B-V;8B-A;8B-V;16B-A;16B-V
78;161;83;174;89;184
77;162;83;173;89;185
77;162;83;174;89;184
77;162;83;173;89;185
78;162;84;173;89;184
78;161;83;173;90;184
78;162;83;173;88;184
77;162;83;174;88;184
77;162;84;173;88;184
77;162;83;173;88;185
77;162;83;173;89;185
77;162;83;173;88;184
78;162;83;173;88;184
78;163;83;173;88;184
77;162;83;173;88;184
77;162;83;174;88;184
77;162;84;174;88;184
77;162;83;173;88;184
77;162;83;173;88;185
77;162;83;173;88;184
78;162;83;173;88;184
78;163;83;173;88;184
79;163;83;173;88;184
77;162;83;173;88;184
77;162;83;174;88;184
77;162;83;173;88;184
77;162;83;173;88;185
77;162;83;173;89;184
77;162;83;173;88;184
78;162;83;173;88;184
78;163;83;173;88;184
77;162;83;173;88;184
77;162;83;174;88;184
77;162;84;173;88;184
77;162;83;173;88;185
77;162;83;173;89;185
77;162;83;173;88;184
78;162;83;173;88;184
78;163;83;173;88;184
77;162;83;173;88;184
77;162;83;174;88;184
77;162;84;174;88;184
77;162;83;173;88;184
77;162;83;173;88;185
77;162;83;173;88;184
78;162;83;173;88;184
78;163;83;173;88;184
79;163;83;173;88;184
77;162;83;173;88;184
77;162;83;174;88;184
77;162;83;173;88;184
77;162;83;173;88;185
77;162;83;173;89;184
77;162;83;173;88;184
78;162;83;173;88;184
78;163;83;173;88;184
77;162;83;173;88;184
77;162;83;174;88;184
77;162;84;173;88;184
77;162;83;173;88;185
77;162;83;173;89;185
77;162;83;173;88;184
78;162;83;173;88;184
78;163;83;173;88;184
77;162;83;173;88;184
77;162;83;174;88;184
77;162;84;174;88;184
77;162;83;173;88;184
77;162;83;173;88;185
77;162;83;173;88;184
78;162;83;173;88;184
78;163;83;173;88;184
79;163;83;173;88;184
77;162;83;173;88;184
77;162;83;174;88;184
77;162;83;173;88;184
77;162;83;173;88;185
77;162;83;173;89;184
77;162;83;173;88;184
78;162;83;173;88;184
78;163;83;173;88;184
77;162;83;173;88;184
77;162;83;174;88;184
77;162;84;173;88;184
77;162;83;173;88;185
77;162;83;173;89;185
77;162;83;173;88;184
78;162;83;173;88;184
78;163;83;173;88;184
77;162;83;173;88;184
77;162;83;174;88;184
77;162;84;174;88;184
77;162;83;173;88;184
77;162;83;173;88;185
77;162;83;173;88;184
