0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
114;237;115;239;118;241;171;351;230;464;345;694;573;1155;1033;2073;1952;3910
115;235;116;238;117;241;172;350;230;464;345;695;573;1154;1034;2072;1952;3910
115;235;115;238;117;241;172;351;229;464;344;695;574;1154;1033;2072;1952;3910
115;236;116;238;117;241;173;351;229;464;344;695;574;1154;1034;2072;1952;3909
114;235;116;238;117;241;171;351;229;464;345;695;573;1155;1034;2072;1953;3910
114;235;116;238;117;242;171;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;119;242;172;350;229;464;345;695;573;1154;1034;2072;1951;3909
114;235;116;238;117;241;172;350;229;466;343;695;573;1154;1034;2072;1952;3908
114;235;116;239;117;241;172;350;231;465;343;694;574;1154;1034;2072;1953;3909
114;235;116;239;117;241;172;350;231;466;344;694;574;1154;1034;2072;1952;3909
114;235;115;238;117;241;172;351;228;464;344;695;574;1154;1033;2072;1953;3909
115;236;116;238;117;241;173;351;229;464;344;695;574;1154;1033;2072;1953;3909
114;236;116;238;117;241;172;351;229;464;344;695;574;1155;1034;2072;1953;3909
114;235;116;238;117;241;171;350;229;464;345;695;572;1154;1034;2072;1953;3910
114;235;116;238;119;242;172;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;117;242;172;350;229;466;344;695;573;1154;1034;2072;1952;3908
114;235;116;239;117;241;172;350;231;466;343;694;574;1154;1034;2072;1952;3909
114;235;117;239;117;241;172;350;231;466;344;694;574;1154;1034;2072;1953;3910
114;235;115;238;117;241;172;350;229;466;344;694;574;1154;1033;2072;1953;3909
114;236;115;238;117;241;173;351;229;464;344;695;574;1154;1033;2072;1953;3910
114;236;116;238;117;241;173;351;229;464;344;695;574;1154;1034;2072;1953;3909
114;235;116;238;117;241;171;350;229;464;345;695;572;1155;1034;2072;1952;3910
114;235;116;238;117;242;171;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;117;242;172;350;229;465;345;695;573;1154;1034;2072;1951;3908
114;235;116;238;117;241;172;350;229;466;343;694;573;1154;1034;2072;1952;3910
114;235;117;239;117;241;172;350;231;466;343;694;574;1154;1034;2072;1953;3910
114;235;115;239;117;241;172;350;229;465;344;694;574;1154;1033;2073;1953;3910
114;235;115;238;117;241;172;351;229;464;344;695;574;1154;1033;2072;1952;3910
115;236;116;238;117;241;173;351;229;464;344;695;574;1154;1034;2072;1952;3909
114;235;116;238;117;241;171;351;229;464;345;695;573;1155;1034;2072;1953;3910
114;235;116;238;117;242;171;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;119;242;172;350;229;464;345;695;573;1154;1034;2072;1951;3909
114;235;116;238;117;241;172;350;229;466;343;695;573;1154;1034;2072;1952;3908
114;235;116;239;117;241;172;350;231;465;343;694;574;1154;1034;2072;1953;3909
114;235;116;239;117;241;172;350;231;466;344;694;574;1154;1034;2072;1952;3909
114;235;115;238;117;241;172;351;228;464;344;695;574;1154;1033;2072;1953;3909
115;236;116;238;117;241;173;351;229;464;344;695;574;1154;1033;2072;1953;3909
114;236;116;238;117;241;172;351;229;464;344;695;574;1155;1034;2072;1953;3909
114;235;116;238;117;241;171;350;229;464;345;695;572;1154;1034;2072;1953;3910
114;235;116;238;119;242;172;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;117;242;172;350;229;466;344;695;573;1154;1034;2072;1952;3908
114;235;116;239;117;241;172;350;231;466;343;694;574;1154;1034;2072;1952;3909
114;235;117;239;117;241;172;350;231;466;344;694;574;1154;1034;2072;1953;3910
114;235;115;238;117;241;172;350;229;466;344;694;574;1154;1033;2072;1953;3909
114;236;115;238;117;241;173;351;229;464;344;695;574;1154;1033;2072;1953;3910
114;236;116;238;117;241;173;351;229;464;344;695;574;1154;1034;2072;1953;3909
114;235;116;238;117;241;171;350;229;464;345;695;572;1155;1034;2072;1952;3910
114;235;116;238;117;242;171;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;117;242;172;350;229;465;345;695;573;1154;1034;2072;1951;3908
114;235;116;238;117;241;172;350;229;466;343;694;573;1154;1034;2072;1952;3910
114;235;117;239;117;241;172;350;231;466;343;694;574;1154;1034;2072;1953;3910
114;235;115;239;117;241;172;350;229;465;344;694;574;1154;1033;2073;1953;3910
114;235;115;238;117;241;172;351;229;464;344;695;574;1154;1033;2072;1952;3910
115;236;116;238;117;241;173;351;229;464;344;695;574;1154;1034;2072;1952;3909
114;235;116;238;117;241;171;351;229;464;345;695;573;1155;1034;2072;1953;3910
114;235;116;238;117;242;171;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;119;242;172;350;229;464;345;695;573;1154;1034;2072;1951;3909
114;235;116;238;117;241;172;350;229;466;343;695;573;1154;1034;2072;1952;3908
114;235;116;239;117;241;172;350;231;465;343;694;574;1154;1034;2072;1953;3909
114;235;116;239;117;241;172;350;231;466;344;694;574;1154;1034;2072;1952;3909
114;235;115;238;117;241;172;351;228;464;344;695;574;1154;1033;2072;1953;3909
115;236;116;238;117;241;173;351;229;464;344;695;574;1154;1033;2072;1953;3909
114;236;116;238;117;241;172;351;229;464;344;695;574;1155;1034;2072;1953;3909
114;235;116;238;117;241;171;350;229;464;345;695;572;1154;1034;2072;1953;3910
114;235;116;238;119;242;172;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;117;242;172;350;229;466;344;695;573;1154;1034;2072;1952;3908
114;235;116;239;117;241;172;350;231;466;343;694;574;1154;1034;2072;1952;3909
114;235;117;239;117;241;172;350;231;466;344;694;574;1154;1034;2072;1953;3910
114;235;115;238;117;241;172;350;229;466;344;694;574;1154;1033;2072;1953;3909
114;236;115;238;117;241;173;351;229;464;344;695;574;1154;1033;2072;1953;3910
114;236;116;238;117;241;173;351;229;464;344;695;574;1154;1034;2072;1953;3909
114;235;116;238;117;241;171;350;229;464;345;695;572;1155;1034;2072;1952;3910
114;235;116;238;117;242;171;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;117;242;172;350;229;465;345;695;573;1154;1034;2072;1951;3908
114;235;116;238;117;241;172;350;229;466;343;694;573;1154;1034;2072;1952;3910
114;235;117;239;117;241;172;350;231;466;343;694;574;1154;1034;2072;1953;3910
114;235;115;239;117;241;172;350;229;465;344;694;574;1154;1033;2073;1953;3910
114;235;115;238;117;241;172;351;229;464;344;695;574;1154;1033;2072;1952;3910
115;236;116;238;117;241;173;351;229;464;344;695;574;1154;1034;2072;1952;3909
114;235;116;238;117;241;171;351;229;464;345;695;573;1155;1034;2072;1953;3910
114;235;116;238;117;242;171;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;119;242;172;350;229;464;345;695;573;1154;1034;2072;1951;3909
114;235;116;238;117;241;172;350;229;466;343;695;573;1154;1034;2072;1952;3908
114;235;116;239;117;241;172;350;231;465;343;694;574;1154;1034;2072;1953;3909
114;235;116;239;117;241;172;350;231;466;344;694;574;1154;1034;2072;1952;3909
114;235;115;238;117;241;172;351;228;464;344;695;574;1154;1033;2072;1953;3909
115;236;116;238;117;241;173;351;229;464;344;695;574;1154;1033;2072;1953;3909
114;236;116;238;117;241;172;351;229;464;344;695;574;1155;1034;2072;1953;3909
114;235;116;238;117;241;171;350;229;464;345;695;572;1154;1034;2072;1953;3910
114;235;116;238;119;242;172;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;117;242;172;350;229;466;344;695;573;1154;1034;2072;1952;3908
114;235;116;239;117;241;172;350;231;466;343;694;574;1154;1034;2072;1952;3909
114;235;117;239;117;241;172;350;231;466;344;694;574;1154;1034;2072;1953;3910
114;235;115;238;117;241;172;350;229;466;344;694;574;1154;1033;2072;1953;3909
114;236;115;238;117;241;173;351;229;464;344;695;574;1154;1033;2072;1953;3910
114;236;116;238;117;241;173;351;229;464;344;695;574;1154;1034;2072;1953;3909
114;235;116;238;117;241;171;350;229;464;345;695;572;1155;1034;2072;1952;3910
114;235;116;238;117;242;171;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;117;242;172;350;229;465;345;695;573;1154;1034;2072;1951;3908
114;235;116;238;117;241;172;350;229;466;343;694;573;1154;1034;2072;1952;3910
114;235;117;239;117;241;172;350;231;466;343;694;574;1154;1034;2072;1953;3910
114;235;115;239;117;241;172;350;229;465;344;694;574;1154;1033;2073;1953;3910
114;235;115;238;117;241;172;351;229;464;344;695;574;1154;1033;2072;1952;3910
115;236;116;238;117;241;173;351;229;464;344;695;574;1154;1034;2072;1952;3909
114;235;116;238;117;241;171;351;229;464;345;695;573;1155;1034;2072;1953;3910
114;235;116;238;117;242;171;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;119;242;172;350;229;464;345;695;573;1154;1034;2072;1951;3909
114;235;116;238;117;241;172;350;229;466;343;695;573;1154;1034;2072;1952;3908
114;235;116;239;117;241;172;350;231;465;343;694;574;1154;1034;2072;1953;3909
114;235;116;239;117;241;172;350;231;466;344;694;574;1154;1034;2072;1952;3909
114;235;115;238;117;241;172;351;228;464;344;695;574;1154;1033;2072;1953;3909
115;236;116;238;117;241;173;351;229;464;344;695;574;1154;1033;2072;1953;3909
114;236;116;238;117;241;172;351;229;464;344;695;574;1155;1034;2072;1953;3909
114;235;116;238;117;241;171;350;229;464;345;695;572;1154;1034;2072;1953;3910
114;235;116;238;119;242;172;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;117;242;172;350;229;466;344;695;573;1154;1034;2072;1952;3908
114;235;116;239;117;241;172;350;231;466;343;694;574;1154;1034;2072;1952;3909
114;235;117;239;117;241;172;350;231;466;344;694;574;1154;1034;2072;1953;3910
114;235;115;238;117;241;172;350;229;466;344;694;574;1154;1033;2072;1953;3909
114;236;115;238;117;241;173;351;229;464;344;695;574;1154;1033;2072;1953;3910
114;236;116;238;117;241;173;351;229;464;344;695;574;1154;1034;2072;1953;3909
114;235;116;238;117;241;171;350;229;464;345;695;572;1155;1034;2072;1952;3910
114;235;116;238;117;242;171;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;117;242;172;350;229;465;345;695;573;1154;1034;2072;1951;3908
114;235;116;238;117;241;172;350;229;466;343;694;573;1154;1034;2072;1952;3910
114;235;117;239;117;241;172;350;231;466;343;694;574;1154;1034;2072;1953;3910
114;235;115;239;117;241;172;350;229;465;344;694;574;1154;1033;2073;1953;3910
114;235;115;238;117;241;172;351;229;464;344;695;574;1154;1033;2072;1952;3910
115;236;116;238;117;241;173;351;229;464;344;695;574;1154;1034;2072;1952;3909
114;235;116;238;117;241;171;351;229;464;345;695;573;1155;1034;2072;1953;3910
114;235;116;238;117;242;171;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;119;242;172;350;229;464;345;695;573;1154;1034;2072;1951;3909
114;235;116;238;117;241;172;350;229;466;343;695;573;1154;1034;2072;1952;3908
114;235;116;239;117;241;172;350;231;465;343;694;574;1154;1034;2072;1953;3909
114;235;116;239;117;241;172;350;231;466;344;694;574;1154;1034;2072;1952;3909
114;235;115;238;117;241;172;351;228;464;344;695;574;1154;1033;2072;1953;3909
115;236;116;238;117;241;173;351;229;464;344;695;574;1154;1033;2072;1953;3909
114;236;116;238;117;241;172;351;229;464;344;695;574;1155;1034;2072;1953;3909
114;235;116;238;117;241;171;350;229;464;345;695;572;1154;1034;2072;1953;3910
114;235;116;238;119;242;172;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;117;242;172;350;229;466;344;695;573;1154;1034;2072;1952;3908
114;235;116;239;117;241;172;350;231;466;343;694;574;1154;1034;2072;1952;3909
114;235;117;239;117;241;172;350;231;466;344;694;574;1154;1034;2072;1953;3910
114;235;115;238;117;241;172;350;229;466;344;694;574;1154;1033;2072;1953;3909
114;236;115;238;117;241;173;351;229;464;344;695;574;1154;1033;2072;1953;3910
114;236;116;238;117;241;173;351;229;464;344;695;574;1154;1034;2072;1953;3909
114;235;116;238;117;241;171;350;229;464;345;695;572;1155;1034;2072;1952;3910
114;235;116;238;117;242;171;350;229;464;345;695;572;1154;1034;2072;1953;3909
114;235;116;238;117;242;172;350;229;465;345;695;573;1154;1034;2072;1951;3908
114;235;116;238;117;241;172;350;229;466;343;694;573;1154;1034;2072;1952;3910
114;235;117;239;117;241;172;350;231;466;343;694;574;1154;1034;2072;1953;3910
