0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
136;276;143;287;148;301;216;436;295;597;456;917;775;1557;1417;2835;2695;5398
136;276;142;289;149;300;216;436;295;596;456;917;776;1556;1416;2838;2697;5397
135;278;141;288;148;299;216;436;295;595;455;915;775;1556;1415;2835;2696;5396
137;276;141;287;147;299;216;436;295;595;456;915;775;1556;1415;2836;2696;5398
136;275;141;287;147;299;215;436;295;594;456;915;774;1556;1415;2836;2696;5398
136;275;141;287;147;300;215;435;295;594;456;915;774;1555;1415;2836;2696;5397
136;275;141;287;149;301;215;435;295;596;456;915;775;1555;1416;2836;2695;5398
136;275;141;287;148;299;215;435;296;596;455;915;775;1555;1416;2836;2695;5397
136;275;143;288;148;299;215;435;296;596;455;914;775;1555;1416;2836;2695;5396
136;275;142;289;147;299;215;437;296;596;455;915;775;1556;1416;2836;2696;5396
136;277;142;287;148;299;215;436;295;595;455;915;775;1556;1415;2835;2696;5396
137;276;141;287;147;299;217;436;295;595;455;915;775;1556;1415;2835;2696;5396
136;276;141;287;148;299;215;436;295;594;456;915;775;1556;1415;2836;2696;5398
136;275;141;287;147;300;215;435;295;594;456;915;774;1555;1415;2836;2696;5398
136;275;141;287;149;300;215;435;295;596;456;915;774;1555;1415;2836;2696;5398
136;275;141;287;148;300;215;435;295;596;455;915;775;1555;1416;2836;2695;5397
136;275;141;288;148;299;215;435;296;596;455;914;775;1555;1416;2836;2695;5396
136;275;143;288;148;299;215;435;296;596;455;915;775;1556;1416;2836;2696;5396
136;275;142;287;147;299;215;436;295;596;455;915;775;1556;1415;2835;2696;5396
137;276;142;287;147;299;216;436;295;594;455;915;775;1556;1415;2835;2696;5396
136;276;141;287;147;299;216;436;295;594;456;915;775;1556;1415;2836;2696;5397
136;275;141;287;147;299;215;435;295;595;456;915;774;1556;1415;2836;2696;5398
136;275;141;287;149;301;215;435;295;596;456;915;774;1555;1415;2836;2696;5398
136;275;141;287;148;301;215;435;295;596;456;915;775;1555;1416;2836;2695;5396
136;275;141;288;148;299;215;435;296;596;455;914;775;1555;1416;2836;2695;5396
136;275;143;288;147;299;215;435;296;596;455;915;775;1557;1416;2836;2695;5397
136;275;142;289;147;299;215;436;295;596;455;915;775;1556;1415;2836;2696;5396
136;276;142;287;148;299;216;436;295;595;455;915;775;1556;1415;2835;2696;5396
137;276;141;287;147;299;216;436;295;595;456;915;775;1556;1415;2836;2696;5398
136;275;141;287;147;299;215;436;295;594;456;915;774;1556;1415;2836;2696;5398
136;275;141;287;147;300;215;435;295;594;456;915;774;1555;1415;2836;2696;5397
136;275;141;287;149;301;215;435;295;596;456;915;775;1555;1416;2836;2695;5398
136;275;141;287;148;299;215;435;296;596;455;915;775;1555;1416;2836;2695;5397
136;275;143;288;148;299;215;435;296;596;455;914;775;1555;1416;2836;2695;5396
136;275;142;289;147;299;215;437;296;596;455;915;775;1556;1416;2836;2696;5396
136;277;142;287;148;299;215;436;295;595;455;915;775;1556;1415;2835;2696;5396
137;276;141;287;147;299;217;436;295;595;455;915;775;1556;1415;2835;2696;5396
136;276;141;287;148;299;215;436;295;594;456;915;775;1556;1415;2836;2696;5398
136;275;141;287;147;300;215;435;295;594;456;915;774;1555;1415;2836;2696;5398
136;275;141;287;149;300;215;435;295;596;456;915;774;1555;1415;2836;2696;5398
136;275;141;287;148;300;215;435;295;596;455;915;775;1555;1416;2836;2695;5397
136;275;141;288;148;299;215;435;296;596;455;914;775;1555;1416;2836;2695;5396
136;275;143;288;148;299;215;435;296;596;455;915;775;1556;1416;2836;2696;5396
136;275;142;287;147;299;215;436;295;596;455;915;775;1556;1415;2835;2696;5396
137;276;142;287;147;299;216;436;295;594;455;915;775;1556;1415;2835;2696;5396
136;276;141;287;147;299;216;436;295;594;456;915;775;1556;1415;2836;2696;5397
136;275;141;287;147;299;215;435;295;595;456;915;774;1556;1415;2836;2696;5398
136;275;141;287;149;301;215;435;295;596;456;915;774;1555;1415;2836;2696;5398
136;275;141;287;148;301;215;435;295;596;456;915;775;1555;1416;2836;2695;5396
136;275;141;288;148;299;215;435;296;596;455;914;775;1555;1416;2836;2695;5396
136;275;143;288;147;299;215;435;296;596;455;915;775;1557;1416;2836;2695;5397
136;275;142;289;147;299;215;436;295;596;455;915;775;1556;1415;2836;2696;5396
136;276;142;287;148;299;216;436;295;595;455;915;775;1556;1415;2835;2696;5396
137;276;141;287;147;299;216;436;295;595;456;915;775;1556;1415;2836;2696;5398
136;275;141;287;147;299;215;436;295;594;456;915;774;1556;1415;2836;2696;5398
136;275;141;287;147;300;215;435;295;594;456;915;774;1555;1415;2836;2696;5397
136;275;141;287;149;301;215;435;295;596;456;915;775;1555;1416;2836;2695;5398
136;275;141;287;148;299;215;435;296;596;455;915;775;1555;1416;2836;2695;5397
136;275;143;288;148;299;215;435;296;596;455;914;775;1555;1416;2836;2695;5396
136;275;142;289;147;299;215;437;296;596;455;915;775;1556;1416;2836;2696;5396
136;277;142;287;148;299;215;436;295;595;455;915;775;1556;1415;2835;2696;5396
137;276;141;287;147;299;217;436;295;595;455;915;775;1556;1415;2835;2696;5396
136;276;141;287;148;299;215;436;295;594;456;915;775;1556;1415;2836;2696;5398
136;275;141;287;147;300;215;435;295;594;456;915;774;1555;1415;2836;2696;5398
136;275;141;287;149;300;215;435;295;596;456;915;774;1555;1415;2836;2696;5398
136;275;141;287;148;300;215;435;295;596;455;915;775;1555;1416;2836;2695;5397
136;275;141;288;148;299;215;435;296;596;455;914;775;1555;1416;2836;2695;5396
136;275;143;288;148;299;215;435;296;596;455;915;775;1556;1416;2836;2696;5396
136;275;142;287;147;299;215;436;295;596;455;915;775;1556;1415;2835;2696;5396
