0B;8B;16B;32B;64B;128B;256B;512B;1024B
101;123;143;188;273;445;789;1476;2852
100;122;144;187;272;444;786;1477;2852
100;122;143;186;272;443;789;1476;2851
102;122;143;186;272;445;788;1476;2851
101;122;145;186;272;444;788;1476;2851
101;122;143;186;273;445;787;1475;2851
101;123;144;186;272;444;788;1476;2850
101;122;143;186;273;444;788;1475;2851
101;122;143;186;272;445;788;1476;2851
101;122;143;187;272;444;788;1476;2851
102;122;143;186;272;445;788;1475;2851
101;122;145;186;272;444;788;1476;2851
101;122;143;186;273;445;787;1475;2851
101;122;145;186;272;444;788;1476;2851
101;122;143;186;273;444;787;1475;2851
101;123;144;186;272;445;788;1476;2849
101;122;143;187;273;444;788;1475;2851
102;122;143;186;272;445;788;1475;2851
101;122;143;188;272;444;788;1476;2851
101;122;143;186;272;445;788;1475;2851
101;122;145;186;272;444;788;1476;2851
101;122;143;186;273;445;787;1475;2851
101;122;144;186;272;444;788;1476;2850
101;122;143;186;273;444;788;1475;2851
101;123;143;186;272;445;788;1476;2851
101;122;143;187;272;444;788;1475;2851
102;122;143;186;272;445;788;1475;2851
101;122;143;187;272;444;788;1476;2851
101;122;143;186;272;445;787;1475;2851
101;122;145;186;272;444;788;1476;2851
101;122;143;186;273;445;787;1475;2851
101;123;144;186;272;444;788;1476;2850
101;122;143;186;273;444;788;1475;2851
101;122;143;186;272;445;788;1476;2851
101;122;143;187;272;444;788;1476;2851
102;122;143;186;272;445;788;1475;2851
101;122;145;186;272;444;788;1476;2851
101;122;143;186;273;445;787;1475;2851
101;122;145;186;272;444;788;1476;2851
101;122;143;186;273;444;787;1475;2851
101;123;144;186;272;445;788;1476;2849
101;122;143;187;273;444;788;1475;2851
102;122;143;186;272;445;788;1475;2851
101;122;143;188;272;444;788;1476;2851
101;122;143;186;272;445;788;1475;2851
101;122;145;186;272;444;788;1476;2851
101;122;143;186;273;445;787;1475;2851
101;122;144;186;272;444;788;1476;2850
101;122;143;186;273;444;788;1475;2851
101;123;143;186;272;445;788;1476;2851
101;122;143;187;272;444;788;1475;2851
102;122;143;186;272;445;788;1475;2851
101;122;143;187;272;444;788;1476;2851
101;122;143;186;272;445;787;1475;2851
101;122;145;186;272;444;788;1476;2851
101;122;143;186;273;445;787;1475;2851
101;123;144;186;272;444;788;1476;2850
101;122;143;186;273;444;788;1475;2851
101;122;143;186;272;445;788;1476;2851
101;122;143;187;272;444;788;1476;2851
102;122;143;186;272;445;788;1475;2851
101;122;145;186;272;444;788;1476;2851
101;122;143;186;273;445;787;1475;2851
101;122;145;186;272;444;788;1476;2851
101;122;143;186;273;444;787;1475;2851
101;123;144;186;272;445;788;1476;2849
101;122;143;187;273;444;788;1475;2851
102;122;143;186;272;445;788;1475;2851
101;122;143;188;272;444;788;1476;2851
101;122;143;186;272;445;788;1475;2851
101;122;145;186;272;444;788;1476;2851
101;122;143;186;273;445;787;1475;2851
101;122;144;186;272;444;788;1476;2850
101;122;143;186;273;444;788;1475;2851
101;123;143;186;272;445;788;1476;2851
