0B;8B;16B;32B;64B;128B;256B;512B;1024B
513;601;690;865;1217;1917;3318;6122;11732
513;600;689;865;1216;1917;3320;6123;11733
515;601;688;866;1217;1917;3319;6123;11731
515;602;690;866;1215;1917;3318;6123;11731
514;602;690;865;1215;1916;3318;6122;11730
514;601;689;864;1216;1917;3318;6122;11731
514;602;688;865;1215;1917;3318;6123;11732
516;602;689;864;1215;1917;3321;6123;11732
516;604;690;865;1215;1917;3319;6123;11731
514;602;689;865;1215;1916;3318;6123;11730
514;603;689;865;1216;1916;3318;6123;11731
515;603;688;865;1215;1916;3319;6123;11731
515;602;689;864;1215;1916;3319;6124;11730
514;602;689;865;1215;1917;3318;6123;11731
515;603;689;865;1215;1917;3318;6123;11731
515;603;688;865;1215;1916;3319;6123;11732
514;602;689;864;1215;1917;3318;6123;11730
514;603;689;865;1216;1917;3318;6123;11731
515;603;688;865;1215;1917;3318;6123;11731
516;601;688;865;1215;1917;3319;6124;11731
514;602;689;865;1215;1917;3318;6123;11730
514;603;689;865;1215;1917;3318;6123;11731
515;603;688;865;1215;1917;3319;6123;11732
514;602;689;864;1215;1917;3318;6123;11730
514;603;689;865;1216;1917;3318;6123;11731
515;603;689;865;1215;1917;3318;6123;11731
515;602;688;865;1215;1917;3319;6124;11732
515;602;689;865;1215;1917;3318;6123;11730
514;603;689;865;1216;1916;3318;6122;11731
515;603;688;865;1215;1916;3319;6123;11731
514;602;689;864;1215;1916;3318;6123;11730
514;603;689;865;1216;1917;3318;6122;11732
516;603;689;865;1215;1917;3318;6123;11731
515;603;688;865;1215;1917;3319;6123;11731
514;602;689;865;1215;1916;3318;6123;11730
514;603;689;865;1216;1916;3318;6123;11731
515;603;688;865;1215;1916;3319;6123;11731
515;602;689;864;1215;1916;3319;6124;11730
514;602;689;865;1215;1917;3318;6123;11731
515;603;689;865;1215;1917;3318;6123;11731
515;603;688;865;1215;1916;3319;6123;11732
514;602;689;864;1215;1917;3318;6123;11730
514;603;689;865;1216;1917;3318;6123;11731
515;603;688;865;1215;1917;3318;6123;11731
516;601;688;865;1215;1917;3319;6124;11731
514;602;689;865;1215;1917;3318;6123;11730
514;603;689;865;1215;1917;3318;6123;11731
515;603;688;865;1215;1917;3319;6123;11732
514;602;689;864;1215;1917;3318;6123;11730
514;603;689;865;1216;1917;3318;6123;11731
515;603;689;865;1215;1917;3318;6123;11731
515;602;688;865;1215;1917;3319;6124;11732
515;602;689;865;1215;1917;3318;6123;11730
514;603;689;865;1216;1916;3318;6122;11731
515;603;688;865;1215;1916;3319;6123;11731
514;602;689;864;1215;1916;3318;6123;11730
514;603;689;865;1216;1917;3318;6122;11732
516;603;689;865;1215;1917;3318;6123;11731
515;603;688;865;1215;1917;3319;6123;11731
514;602;689;865;1215;1916;3318;6123;11730
514;603;689;865;1216;1916;3318;6123;11731
515;603;688;865;1215;1916;3319;6123;11731
515;602;689;864;1215;1916;3319;6124;11730
514;602;689;865;1215;1917;3318;6123;11731
515;603;689;865;1215;1917;3318;6123;11731
515;603;688;865;1215;1916;3319;6123;11732
