0B;8B;16B;32B;64B;128B;256B;512B;1024B
56;67;79;102;146;237;416;774;1492
56;68;79;101;146;236;415;775;1495
57;68;79;101;146;235;416;774;1493
58;67;79;101;146;236;416;775;1494
56;67;79;101;145;236;415;773;1492
56;67;78;101;146;235;414;774;1493
56;67;78;101;145;235;415;774;1492
56;67;78;101;145;236;414;774;1492
56;67;79;101;146;235;414;774;1493
56;67;78;101;145;236;415;773;1492
56;67;78;101;146;235;414;774;1493
56;67;78;101;145;235;415;774;1492
56;67;78;101;145;236;414;774;1492
56;67;79;101;146;235;414;774;1493
56;67;78;101;145;236;415;773;1492
56;67;78;101;146;235;414;774;1493
56;67;78;101;145;235;415;774;1492
56;67;78;101;145;236;414;774;1492
56;67;79;101;146;235;414;774;1493
56;67;78;101;145;236;415;773;1492
56;67;78;101;146;235;414;774;1493
56;67;78;101;145;235;415;774;1492
56;67;78;101;145;236;414;774;1492
56;67;79;101;146;235;414;774;1493
56;67;78;101;145;236;415;773;1492
56;67;78;101;146;235;414;774;1493
56;67;78;101;145;235;415;774;1492
56;67;78;101;145;236;414;774;1492
56;67;79;101;146;235;414;774;1493
56;67;78;101;145;236;415;773;1492
56;67;78;101;146;235;414;774;1493
56;67;78;101;145;235;415;774;1492
56;67;78;101;145;236;414;774;1492
56;67;79;101;146;235;414;774;1493
56;67;78;101;145;236;415;773;1492
56;67;78;101;146;235;414;774;1493
56;67;78;101;145;235;415;774;1492
56;67;78;101;145;236;414;774;1492
56;67;79;101;146;235;414;774;1493
56;67;78;101;145;236;415;773;1492
56;67;78;101;146;235;414;774;1493
56;67;78;101;145;235;415;774;1492
56;67;78;101;145;236;414;774;1492
56;67;79;101;146;235;414;774;1493
56;67;78;101;145;236;415;773;1492
56;67;78;101;146;235;414;774;1493
56;67;78;101;145;235;415;774;1492
56;67;78;101;145;236;414;774;1492
56;67;79;101;146;235;414;774;1493
56;67;78;101;145;236;415;773;1492
56;67;78;101;146;235;414;774;1493
56;67;78;101;145;235;415;774;1492
56;67;78;101;145;236;414;774;1492
56;67;79;101;146;235;414;774;1493
56;67;78;101;145;236;415;773;1492
56;67;78;101;146;235;414;774;1493
56;67;78;101;145;235;415;774;1492
