0B;8B;16B;32B;64B;128B;256B;512B;1024B
155;188;224;290;426;695;1236;2318;4479
155;191;223;290;426;697;1236;2318;4479
156;190;222;291;426;697;1236;2317;4480
155;188;224;290;427;695;1236;2317;4481
155;190;222;290;425;696;1236;2318;4479
156;189;223;291;425;695;1236;2317;4480
157;189;223;290;426;696;1238;2317;4479
156;189;224;290;425;696;1236;2318;4480
156;189;223;290;426;696;1236;2317;4480
156;190;223;290;425;696;1236;2318;4479
156;189;223;291;425;695;1236;2317;4480
157;189;223;290;426;696;1238;2317;4479
156;189;224;290;425;696;1236;2318;4480
156;189;223;290;426;696;1236;2317;4480
156;190;223;290;425;696;1236;2318;4479
156;189;223;291;425;695;1236;2317;4480
157;189;223;290;426;696;1238;2317;4479
156;189;224;290;425;696;1236;2318;4480
156;189;223;290;426;696;1236;2317;4480
156;190;223;290;425;696;1236;2318;4479
156;189;223;291;425;695;1236;2317;4480
157;189;223;290;426;696;1238;2317;4479
156;189;224;290;425;696;1236;2318;4480
156;189;223;290;426;696;1236;2317;4480
156;190;223;290;425;696;1236;2318;4479
156;189;223;291;425;695;1236;2317;4480
157;189;223;290;426;696;1238;2317;4479
156;189;224;290;425;696;1236;2318;4480
156;189;223;290;426;696;1236;2317;4480
156;190;223;290;425;696;1236;2318;4479
156;189;223;291;425;695;1236;2317;4480
157;189;223;290;426;696;1238;2317;4479
156;189;224;290;425;696;1236;2318;4480
156;189;223;290;426;696;1236;2317;4480
156;190;223;290;425;696;1236;2318;4479
156;189;223;291;425;695;1236;2317;4480
157;189;223;290;426;696;1238;2317;4479
156;189;224;290;425;696;1236;2318;4480
156;189;223;290;426;696;1236;2317;4480
156;190;223;290;425;696;1236;2318;4479
156;189;223;291;425;695;1236;2317;4480
157;189;223;290;426;696;1238;2317;4479
156;189;224;290;425;696;1236;2318;4480
156;189;223;290;426;696;1236;2317;4480
156;190;223;290;425;696;1236;2318;4479
156;189;223;291;425;695;1236;2317;4480
157;189;223;290;426;696;1238;2317;4479
156;189;224;290;425;696;1236;2318;4480
156;189;223;290;426;696;1236;2317;4480
156;190;223;290;425;696;1236;2318;4479
156;189;223;291;425;695;1236;2317;4480
157;189;223;290;426;696;1238;2317;4479
