0B;8B;16B;32B;64B;128B;256B;512B;1024B
131;163;196;259;386;641;1151;2170;4209
133;163;195;261;385;642;1151;2170;4209
131;163;195;258;387;640;1151;2170;4209
132;163;195;259;387;641;1151;2170;4210
132;164;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
132;164;196;259;386;641;1151;2171;4211
132;164;195;259;387;641;1151;2171;4209
132;165;195;259;386;642;1151;2172;4209
132;164;195;260;386;640;1151;2171;4209
133;164;195;259;387;642;1152;2171;4209
