0B;8B;16B;32B;64B;128B;256B;512B;1024B
67;82;95;123;181;296;524;982;1895
66;82;94;124;181;295;525;982;1897
66;80;96;123;180;296;523;982;1897
66;80;95;123;182;295;525;981;1897
66;81;96;125;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
66;80;95;123;181;294;523;981;1895
66;80;95;123;180;294;524;981;1895
66;80;95;123;180;295;523;981;1895
66;80;95;124;180;294;522;981;1895
67;80;95;123;180;294;524;981;1895
