0B;8B;16B;32B;64B;128B;256B;512B;1024B
199;247;295;393;588;975;1751;3301;6405
200;247;297;392;586;975;1750;3301;6405
199;250;296;393;588;975;1751;3302;6404
198;248;296;393;587;974;1751;3301;6405
198;248;295;393;588;975;1751;3303;6405
198;248;295;392;585;975;1750;3302;6404
198;247;295;393;587;975;1750;3301;6405
198;247;295;392;586;975;1750;3301;6404
199;247;296;392;585;975;1750;3301;6405
198;247;295;392;587;975;1749;3301;6404
198;248;295;392;585;975;1750;3302;6404
198;247;295;393;587;975;1750;3301;6405
198;247;295;392;586;975;1750;3301;6404
199;247;296;392;585;975;1750;3301;6405
198;247;295;392;587;975;1749;3301;6404
198;248;295;392;585;975;1750;3302;6404
198;247;295;393;587;975;1750;3301;6405
198;247;295;392;586;975;1750;3301;6404
199;247;296;392;585;975;1750;3301;6405
198;247;295;392;587;975;1749;3301;6404
198;248;295;392;585;975;1750;3302;6404
198;247;295;393;587;975;1750;3301;6405
198;247;295;392;586;975;1750;3301;6404
199;247;296;392;585;975;1750;3301;6405
198;247;295;392;587;975;1749;3301;6404
198;248;295;392;585;975;1750;3302;6404
198;247;295;393;587;975;1750;3301;6405
198;247;295;392;586;975;1750;3301;6404
199;247;296;392;585;975;1750;3301;6405
198;247;295;392;587;975;1749;3301;6404
198;248;295;392;585;975;1750;3302;6404
198;247;295;393;587;975;1750;3301;6405
198;247;295;392;586;975;1750;3301;6404
199;247;296;392;585;975;1750;3301;6405
198;247;295;392;587;975;1749;3301;6404
198;248;295;392;585;975;1750;3302;6404
198;247;295;393;587;975;1750;3301;6405
198;247;295;392;586;975;1750;3301;6404
199;247;296;392;585;975;1750;3301;6405
198;247;295;392;587;975;1749;3301;6404
198;248;295;392;585;975;1750;3302;6404
198;247;295;393;587;975;1750;3301;6405
198;247;295;392;586;975;1750;3301;6404
199;247;296;392;585;975;1750;3301;6405
198;247;295;392;587;975;1749;3301;6404
198;248;295;392;585;975;1750;3302;6404
198;247;295;393;587;975;1750;3301;6405
198;247;295;392;586;975;1750;3301;6404
199;247;296;392;585;975;1750;3301;6405
198;247;295;392;587;975;1749;3301;6404
198;248;295;392;585;975;1750;3302;6404
198;247;295;393;587;975;1750;3301;6405
198;247;295;392;586;975;1750;3301;6404
199;247;296;392;585;975;1750;3301;6405
198;247;295;392;587;975;1749;3301;6404
198;248;295;392;585;975;1750;3302;6404
198;247;295;393;587;975;1750;3301;6405
