0B;8B;16B;32B;64B;128B;256B;512B;1024B
637;769;897;1156;1670;2703;4770;8898;17157
638;769;897;1156;1671;2704;4768;8897;17159
639;767;897;1156;1672;2702;4769;8899;17159
639;768;898;1156;1671;2704;4768;8898;17159
639;767;897;1157;1670;2703;4769;8898;17158
639;769;898;1157;1671;2704;4768;8898;17159
637;768;898;1157;1670;2704;4770;8899;17157
638;769;898;1156;1671;2704;4769;8899;17159
638;768;897;1157;1670;2703;4769;8898;17159
639;768;898;1156;1671;2703;4769;8899;17159
637;769;898;1156;1670;2704;4770;8898;17158
638;769;898;1157;1671;2703;4769;8900;17157
638;769;897;1156;1670;2703;4769;8898;17159
638;769;898;1156;1671;2702;4770;8899;17157
638;769;897;1156;1671;2703;4770;8898;17159
639;768;896;1156;1671;2703;4769;8899;17157
639;769;897;1156;1671;2703;4768;8898;17159
639;768;896;1156;1670;2702;4770;8899;17158
639;769;897;1156;1671;2703;4768;8898;17159
638;768;897;1156;1670;2702;4769;8899;17157
639;769;897;1156;1671;2704;4768;8898;17158
640;768;897;1155;1671;2704;4768;8898;17159
639;766;896;1156;1670;2703;4769;8898;17159
640;768;897;1155;1670;2703;4767;8898;17158
640;768;897;1155;1671;2704;4768;8898;17158
641;768;896;1155;1671;2704;4768;8898;17159
639;767;896;1155;1670;2702;4769;8898;17158
639;768;897;1155;1671;2703;4768;8898;17158
640;768;896;1155;1671;2704;4767;8898;17158
640;768;896;1155;1672;2704;4768;8898;17158
638;767;895;1155;1671;2704;4768;8898;17158
639;767;896;1157;1670;2703;4768;8898;17158
639;768;897;1155;1671;2703;4767;8898;17158
640;768;897;1155;1671;2704;4768;8897;17158
639;766;895;1156;1671;2704;4768;8898;17158
639;768;897;1156;1670;2703;4768;8898;17158
640;768;896;1155;1671;2704;4767;8898;17158
639;768;897;1155;1671;2704;4768;8897;17158
640;766;895;1155;1672;2704;4769;8898;17159
639;768;896;1156;1671;2702;4768;8898;17158
640;768;896;1155;1671;2704;4767;8898;17158
640;768;897;1155;1671;2704;4769;8897;17158
640;767;897;1155;1671;2704;4768;8898;17159
638;768;897;1156;1670;2702;4769;8898;17158
640;767;896;1155;1670;2704;4767;8898;17158
640;768;896;1155;1671;2704;4768;8898;17158
640;768;897;1155;1671;2704;4768;8898;17159
639;766;896;1156;1670;2703;4769;8898;17159
640;768;897;1155;1670;2703;4767;8898;17158
640;768;897;1155;1671;2704;4768;8898;17158
641;768;896;1155;1671;2704;4768;8898;17159
639;767;896;1155;1670;2702;4769;8898;17158
639;768;897;1155;1671;2703;4768;8898;17158
640;768;896;1155;1671;2704;4767;8898;17158
640;768;896;1155;1672;2704;4768;8898;17158
638;767;895;1155;1671;2704;4768;8898;17158
639;767;896;1157;1670;2703;4768;8898;17158
