0B;8B;16B;32B;64B;128B;256B;512B;1024B
71;87;103;132;193;315;560;1049;2028
71;87;103;132;194;315;562;1050;2028
71;86;102;132;193;315;562;1049;2027
71;86;102;132;193;316;561;1049;2027
71;86;102;133;193;315;559;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1049;2028
72;86;102;132;193;316;560;1050;2028
71;86;102;132;193;315;559;1050;2028
72;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1049;2028
71;87;102;132;193;315;560;1049;2028
71;86;102;132;194;315;559;1050;2028
71;87;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;194;316;559;1050;2028
71;86;103;132;193;315;560;1049;2029
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1049;2028
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1050;2028
71;86;102;132;193;316;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;193;316;560;1049;2028
71;86;102;133;193;315;560;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1049;2028
72;86;102;132;193;316;560;1050;2028
71;86;102;132;193;315;559;1050;2028
72;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1049;2028
71;87;102;132;193;315;560;1049;2028
71;86;102;132;194;315;559;1050;2028
71;87;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;194;316;559;1050;2028
71;86;103;132;193;315;560;1049;2029
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1049;2028
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1050;2028
71;86;102;132;193;316;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;193;316;560;1049;2028
71;86;102;133;193;315;560;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1049;2028
72;86;102;132;193;316;560;1050;2028
71;86;102;132;193;315;559;1050;2028
72;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1049;2028
71;87;102;132;193;315;560;1049;2028
71;86;102;132;194;315;559;1050;2028
71;87;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;194;316;559;1050;2028
71;86;103;132;193;315;560;1049;2029
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1049;2028
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1050;2028
71;86;102;132;193;316;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;193;316;560;1049;2028
71;86;102;133;193;315;560;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1049;2028
72;86;102;132;193;316;560;1050;2028
71;86;102;132;193;315;559;1050;2028
72;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1049;2028
71;87;102;132;193;315;560;1049;2028
71;86;102;132;194;315;559;1050;2028
71;87;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;194;316;559;1050;2028
71;86;103;132;193;315;560;1049;2029
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1049;2028
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1050;2028
71;86;102;132;193;316;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;193;316;560;1049;2028
71;86;102;133;193;315;560;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1049;2028
72;86;102;132;193;316;560;1050;2028
71;86;102;132;193;315;559;1050;2028
72;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1049;2028
71;87;102;132;193;315;560;1049;2028
71;86;102;132;194;315;559;1050;2028
71;87;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;194;316;559;1050;2028
71;86;103;132;193;315;560;1049;2029
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1049;2028
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1050;2028
71;86;102;132;193;316;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;193;316;560;1049;2028
71;86;102;133;193;315;560;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1049;2028
72;86;102;132;193;316;560;1050;2028
71;86;102;132;193;315;559;1050;2028
72;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1049;2028
71;87;102;132;193;315;560;1049;2028
71;86;102;132;194;315;559;1050;2028
71;87;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;194;316;559;1050;2028
71;86;103;132;193;315;560;1049;2029
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1049;2028
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1050;2028
71;86;102;132;193;316;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;193;316;560;1049;2028
71;86;102;133;193;315;560;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1049;2028
72;86;102;132;193;316;560;1050;2028
71;86;102;132;193;315;559;1050;2028
72;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1049;2028
71;87;102;132;193;315;560;1049;2028
71;86;102;132;194;315;559;1050;2028
71;87;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;194;316;559;1050;2028
71;86;103;132;193;315;560;1049;2029
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1049;2028
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1050;2028
71;86;102;132;193;316;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;193;316;560;1049;2028
71;86;102;133;193;315;560;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1049;2028
72;86;102;132;193;316;560;1050;2028
71;86;102;132;193;315;559;1050;2028
72;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1049;2028
71;87;102;132;193;315;560;1049;2028
71;86;102;132;194;315;559;1050;2028
71;87;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;194;316;559;1050;2028
71;86;103;132;193;315;560;1049;2029
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1049;2028
71;86;102;132;193;316;559;1050;2028
71;86;103;132;193;315;560;1050;2028
71;86;102;132;193;316;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;193;316;560;1049;2028
71;86;102;133;193;315;560;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1050;2028
71;86;102;132;193;316;560;1050;2028
71;86;102;133;193;315;559;1049;2028
72;86;102;132;193;316;560;1050;2028
71;86;102;132;193;315;559;1050;2028
72;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1049;2028
71;87;102;132;193;315;560;1049;2028
71;86;102;132;194;315;559;1050;2028
71;87;102;132;193;315;560;1050;2028
71;86;102;132;194;315;559;1050;2028
71;86;102;132;193;315;560;1049;2028
71;86;102;132;194;316;559;1050;2028
71;86;103;132;193;315;560;1049;2029
71;86;102;132;193;316;559;1050;2028
