0B;8B;16B;32B;64B;128B;256B;512B;1024B
188;234;279;372;555;923;1657;3124;6060
189;234;281;371;557;923;1657;3124;6060
188;235;280;372;556;922;1657;3124;6060
188;234;280;371;555;923;1656;3125;6060
188;234;279;371;557;923;1657;3124;6061
188;235;279;371;554;922;1656;3124;6060
188;233;279;372;555;922;1654;3124;6059
189;234;279;371;555;922;1656;3124;6060
188;233;280;372;554;922;1656;3124;6059
188;233;279;371;555;922;1655;3124;6059
188;235;279;371;554;922;1656;3124;6060
188;233;279;372;555;922;1654;3124;6059
189;234;279;371;555;922;1656;3124;6060
188;233;280;372;554;922;1656;3124;6059
188;233;279;371;555;922;1655;3124;6059
188;235;279;371;554;922;1656;3124;6060
188;233;279;372;555;922;1654;3124;6059
189;234;279;371;555;922;1656;3124;6060
188;233;280;372;554;922;1656;3124;6059
188;233;279;371;555;922;1655;3124;6059
188;235;279;371;554;922;1656;3124;6060
188;233;279;372;555;922;1654;3124;6059
189;234;279;371;555;922;1656;3124;6060
188;233;280;372;554;922;1656;3124;6059
188;233;279;371;555;922;1655;3124;6059
188;235;279;371;554;922;1656;3124;6060
188;233;279;372;555;922;1654;3124;6059
189;234;279;371;555;922;1656;3124;6060
188;233;280;372;554;922;1656;3124;6059
188;233;279;371;555;922;1655;3124;6059
188;235;279;371;554;922;1656;3124;6060
188;233;279;372;555;922;1654;3124;6059
189;234;279;371;555;922;1656;3124;6060
188;233;280;372;554;922;1656;3124;6059
188;233;279;371;555;922;1655;3124;6059
188;235;279;371;554;922;1656;3124;6060
188;233;279;372;555;922;1654;3124;6059
189;234;279;371;555;922;1656;3124;6060
188;233;280;372;554;922;1656;3124;6059
188;233;279;371;555;922;1655;3124;6059
188;235;279;371;554;922;1656;3124;6060
188;233;279;372;555;922;1654;3124;6059
189;234;279;371;555;922;1656;3124;6060
188;233;280;372;554;922;1656;3124;6059
188;233;279;371;555;922;1655;3124;6059
188;235;279;371;554;922;1656;3124;6060
188;233;279;372;555;922;1654;3124;6059
189;234;279;371;555;922;1656;3124;6060
188;233;280;372;554;922;1656;3124;6059
188;233;279;371;555;922;1655;3124;6059
188;235;279;371;554;922;1656;3124;6060
188;233;279;372;555;922;1654;3124;6059
189;234;279;371;555;922;1656;3124;6060
