0B;8B;16B;32B;64B;128B;256B;512B;1024B
192;242;292;393;594;994;1796;3401;6606
193;242;293;393;592;994;1795;3399;6606
192;242;292;394;591;995;1797;3400;6607
192;243;291;394;593;994;1796;3399;6606
192;242;294;392;593;994;1797;3400;6606
193;242;293;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
193;243;292;392;592;994;1795;3400;6606
194;242;292;393;593;994;1795;3399;6607
193;242;292;392;593;994;1795;3399;6606
193;242;293;392;592;994;1795;3400;6607
193;242;292;392;593;994;1794;3399;6607
