0B;8B;16B;32B;64B;128B;256B;512B;1024B
69;83;98;126;183;298;528;986;1902
69;83;98;126;184;299;528;986;1903
69;83;98;126;184;298;529;986;1904
69;83;98;126;183;300;526;987;1902
71;83;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
69;84;98;126;184;299;527;987;1903
69;84;99;127;184;298;528;987;1903
70;84;98;126;184;299;528;987;1903
69;84;98;126;185;298;527;987;1903
69;85;98;126;184;298;528;987;1902
