0B;8B;16B;32B;64B;128B;256B;512B;1024B
105;128;152;196;287;469;832;1559;3016
106;128;152;196;289;468;831;1559;3015
106;128;151;196;288;469;833;1560;3016
106;129;151;196;287;469;833;1560;3014
105;128;150;196;286;469;833;1560;3015
105;128;150;197;287;468;833;1560;3015
106;128;150;196;286;469;833;1559;3015
105;128;150;197;287;468;833;1560;3015
105;128;150;196;287;469;832;1559;3015
105;128;151;196;286;468;833;1560;3015
105;128;150;196;288;469;832;1559;3015
105;129;150;196;286;469;833;1560;3015
105;128;150;196;288;468;833;1559;3015
105;128;150;196;286;469;833;1560;3015
105;128;150;197;287;468;833;1560;3015
106;128;150;196;286;469;833;1559;3015
105;128;151;196;286;468;833;1560;3015
105;128;150;196;288;469;832;1559;3015
105;128;152;196;286;468;833;1560;3016
105;128;150;196;288;468;833;1559;3015
105;129;150;196;286;469;833;1560;3015
105;128;150;197;288;468;833;1560;3015
106;128;150;196;286;469;833;1559;3015
105;128;150;197;287;468;833;1560;3015
105;128;150;196;286;469;833;1559;3015
105;128;151;196;286;468;833;1560;3015
105;128;150;196;288;469;832;1559;3015
105;129;150;196;286;468;833;1560;3015
105;128;150;196;288;468;833;1559;3015
105;129;150;196;286;469;833;1560;3015
105;128;150;197;287;468;833;1560;3015
106;128;150;196;286;469;833;1559;3015
105;128;150;197;287;468;833;1560;3015
105;128;150;196;287;469;832;1559;3015
105;128;151;196;286;468;833;1560;3015
105;128;150;196;288;469;832;1559;3015
105;129;150;196;286;469;833;1560;3015
105;128;150;196;288;468;833;1559;3015
105;128;150;196;286;469;833;1560;3015
105;128;150;197;287;468;833;1560;3015
106;128;150;196;286;469;833;1559;3015
105;128;151;196;286;468;833;1560;3015
105;128;150;196;288;469;832;1559;3015
105;128;152;196;286;468;833;1560;3016
105;128;150;196;288;468;833;1559;3015
105;129;150;196;286;469;833;1560;3015
105;128;150;197;288;468;833;1560;3015
106;128;150;196;286;469;833;1559;3015
105;128;150;197;287;468;833;1560;3015
105;128;150;196;286;469;833;1559;3015
105;128;151;196;286;468;833;1560;3015
105;128;150;196;288;469;832;1559;3015
105;129;150;196;286;468;833;1560;3015
105;128;150;196;288;468;833;1559;3015
105;129;150;196;286;469;833;1560;3015
105;128;150;197;287;468;833;1560;3015
106;128;150;196;286;469;833;1559;3015
105;128;150;197;287;468;833;1560;3015
105;128;150;196;287;469;832;1559;3015
105;128;151;196;286;468;833;1560;3015
105;128;150;196;288;469;832;1559;3015
105;129;150;196;286;469;833;1560;3015
105;128;150;196;288;468;833;1559;3015
105;128;150;196;286;469;833;1560;3015
105;128;150;197;287;468;833;1560;3015
106;128;150;196;286;469;833;1559;3015
