0B;8B;16B;32B;64B;128B;256B;512B;1024B
153;184;214;276;396;640;1128;2101;4046
154;185;214;277;396;640;1127;2099;4046
154;185;214;276;397;641;1127;2100;4047
154;185;214;275;396;641;1126;2102;4046
153;184;214;275;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
154;184;214;274;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
154;184;214;274;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
154;184;214;274;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
154;184;214;274;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
154;184;214;274;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
154;184;214;274;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
154;184;214;274;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
154;184;214;274;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
154;184;214;274;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
154;184;214;274;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
154;184;214;274;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
154;184;214;274;397;640;1127;2099;4045
153;183;215;275;396;640;1126;2099;4046
153;183;214;274;397;640;1126;2099;4045
153;185;214;274;396;640;1126;2100;4045
153;183;214;276;396;639;1126;2099;4045
