0B;8B;16B;32B;64B;128B;256B;512B;1024B
155;189;224;290;426;696;1236;2318;4480
155;190;222;290;426;696;1236;2318;4479
156;190;222;291;426;697;1236;2317;4479
155;189;224;290;427;695;1236;2316;4481
155;190;222;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
156;189;223;290;426;696;1237;2317;4479
155;189;224;290;425;696;1236;2318;4480
155;189;223;290;426;696;1236;2317;4480
155;190;223;290;425;696;1236;2318;4478
155;189;223;291;425;694;1236;2317;4480
