0B;8B;16B;32B;64B;128B;256B;512B;1024B
242;285;329;415;585;929;1614;2985;5728
243;288;328;417;586;927;1613;2985;5726
243;286;329;415;586;929;1615;2985;5728
243;287;328;415;584;929;1614;2985;5726
244;285;329;413;585;929;1615;2984;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
244;286;328;414;586;929;1614;2985;5725
243;285;329;415;585;929;1614;2985;5726
242;285;328;414;586;929;1613;2985;5726
243;287;328;414;585;929;1614;2985;5725
243;285;328;415;586;929;1613;2985;5726
