0B;8B;16B;32B;64B;128B;256B;512B;1024B
188;233;280;372;555;922;1656;3124;6060
189;234;280;371;557;923;1657;3124;6060
188;235;280;372;557;923;1657;3124;6059
188;234;281;372;556;923;1656;3126;6060
188;234;280;371;557;923;1657;3124;6062
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
188;235;280;371;554;923;1656;3124;6060
188;234;280;372;555;923;1655;3124;6060
189;234;280;371;555;923;1656;3124;6060
188;234;281;372;554;923;1656;3124;6060
188;234;280;371;555;923;1655;3124;6060
