0B;8B;16B;32B;64B;128B;256B;512B;1024B
299;361;422;543;790;1283;2266;4234;8168
299;361;422;545;791;1283;2267;4233;8168
299;361;421;545;790;1282;2266;4233;8168
300;359;422;546;791;1282;2267;4233;8168
298;360;424;544;789;1282;2266;4233;8168
298;362;421;545;791;1284;2266;4233;8168
299;361;422;544;790;1282;2266;4234;8168
298;359;422;545;790;1282;2266;4233;8168
298;360;421;543;790;1283;2267;4233;8168
300;361;422;544;789;1282;2265;4233;8169
298;359;421;545;790;1282;2266;4233;8168
298;360;421;543;790;1282;2267;4233;8168
299;361;422;545;789;1282;2265;4233;8169
298;359;421;545;790;1283;2266;4233;8168
299;361;421;543;790;1282;2267;4234;8168
298;359;422;545;789;1282;2265;4233;8168
298;360;421;545;790;1283;2266;4233;8168
300;361;421;544;790;1282;2266;4234;8168
298;359;422;545;790;1282;2266;4233;8168
298;360;421;543;790;1283;2267;4233;8168
299;361;422;544;790;1282;2266;4234;8168
298;359;421;545;790;1282;2266;4233;8168
298;360;421;543;790;1282;2267;4233;8168
299;361;422;544;789;1282;2266;4233;8169
298;359;421;545;790;1283;2266;4233;8168
300;361;421;543;790;1282;2267;4233;8168
299;359;422;545;789;1282;2265;4233;8169
298;359;421;545;790;1283;2266;4233;8168
300;361;421;544;790;1282;2266;4234;8168
298;359;422;545;789;1282;2266;4233;8168
298;360;421;545;790;1283;2266;4233;8168
299;361;422;544;790;1282;2266;4234;8168
298;359;422;545;790;1282;2266;4233;8168
298;360;421;543;790;1283;2267;4233;8168
300;361;422;544;789;1282;2265;4233;8169
298;359;421;545;790;1282;2266;4233;8168
298;360;421;543;790;1282;2267;4233;8168
299;361;422;545;789;1282;2265;4233;8169
298;359;421;545;790;1283;2266;4233;8168
299;361;421;543;790;1282;2267;4234;8168
298;359;422;545;789;1282;2265;4233;8168
298;360;421;545;790;1283;2266;4233;8168
300;361;421;544;790;1282;2266;4234;8168
298;359;422;545;790;1282;2266;4233;8168
298;360;421;543;790;1283;2267;4233;8168
299;361;422;544;790;1282;2266;4234;8168
298;359;421;545;790;1282;2266;4233;8168
298;360;421;543;790;1282;2267;4233;8168
299;361;422;544;789;1282;2266;4233;8169
298;359;421;545;790;1283;2266;4233;8168
300;361;421;543;790;1282;2267;4233;8168
299;359;422;545;789;1282;2265;4233;8169
298;359;421;545;790;1283;2266;4233;8168
300;361;421;544;790;1282;2266;4234;8168
298;359;422;545;789;1282;2266;4233;8168
298;360;421;545;790;1283;2266;4233;8168
299;361;422;544;790;1282;2266;4234;8168
298;359;422;545;790;1282;2266;4233;8168
298;360;421;543;790;1283;2267;4233;8168
300;361;422;544;789;1282;2265;4233;8169
298;359;421;545;790;1282;2266;4233;8168
298;360;421;543;790;1282;2267;4233;8168
299;361;422;545;789;1282;2265;4233;8169
298;359;421;545;790;1283;2266;4233;8168
299;361;421;543;790;1282;2267;4234;8168
298;359;422;545;789;1282;2265;4233;8168
298;360;421;545;790;1283;2266;4233;8168
300;361;421;544;790;1282;2266;4234;8168
298;359;422;545;790;1282;2266;4233;8168
298;360;421;543;790;1283;2267;4233;8168
299;361;422;544;790;1282;2266;4234;8168
298;359;421;545;790;1282;2266;4233;8168
298;360;421;543;790;1282;2267;4233;8168
299;361;422;544;789;1282;2266;4233;8169
298;359;421;545;790;1283;2266;4233;8168
300;361;421;543;790;1282;2267;4233;8168
299;359;422;545;789;1282;2265;4233;8169
298;359;421;545;790;1283;2266;4233;8168
300;361;421;544;790;1282;2266;4234;8168
298;359;422;545;789;1282;2266;4233;8168
298;360;421;545;790;1283;2266;4233;8168
299;361;422;544;790;1282;2266;4234;8168
298;359;422;545;790;1282;2266;4233;8168
298;360;421;543;790;1283;2267;4233;8168
300;361;422;544;789;1282;2265;4233;8169
298;359;421;545;790;1282;2266;4233;8168
298;360;421;543;790;1282;2267;4233;8168
299;361;422;545;789;1282;2265;4233;8169
298;359;421;545;790;1283;2266;4233;8168
299;361;421;543;790;1282;2267;4234;8168
298;359;422;545;789;1282;2265;4233;8168
298;360;421;545;790;1283;2266;4233;8168
300;361;421;544;790;1282;2266;4234;8168
298;359;422;545;790;1282;2266;4233;8168
298;360;421;543;790;1283;2267;4233;8168
299;361;422;544;790;1282;2266;4234;8168
298;359;421;545;790;1282;2266;4233;8168
298;360;421;543;790;1282;2267;4233;8168
299;361;422;544;789;1282;2266;4233;8169
298;359;421;545;790;1283;2266;4233;8168
300;361;421;543;790;1282;2267;4233;8168
299;359;422;545;789;1282;2265;4233;8169
298;359;421;545;790;1283;2266;4233;8168
300;361;421;544;790;1282;2266;4234;8168
298;359;422;545;789;1282;2266;4233;8168
298;360;421;545;790;1283;2266;4233;8168
299;361;422;544;790;1282;2266;4234;8168
298;359;422;545;790;1282;2266;4233;8168
298;360;421;543;790;1283;2267;4233;8168
300;361;422;544;789;1282;2265;4233;8169
298;359;421;545;790;1282;2266;4233;8168
298;360;421;543;790;1282;2267;4233;8168
299;361;422;545;789;1282;2265;4233;8169
298;359;421;545;790;1283;2266;4233;8168
299;361;421;543;790;1282;2267;4234;8168
298;359;422;545;789;1282;2265;4233;8168
298;360;421;545;790;1283;2266;4233;8168
300;361;421;544;790;1282;2266;4234;8168
298;359;422;545;790;1282;2266;4233;8168
298;360;421;543;790;1283;2267;4233;8168
299;361;422;544;790;1282;2266;4234;8168
298;359;421;545;790;1282;2266;4233;8168
298;360;421;543;790;1282;2267;4233;8168
299;361;422;544;789;1282;2266;4233;8169
298;359;421;545;790;1283;2266;4233;8168
300;361;421;543;790;1282;2267;4233;8168
299;359;422;545;789;1282;2265;4233;8169
298;359;421;545;790;1283;2266;4233;8168
300;361;421;544;790;1282;2266;4234;8168
298;359;422;545;789;1282;2266;4233;8168
298;360;421;545;790;1283;2266;4233;8168
299;361;422;544;790;1282;2266;4234;8168
298;359;422;545;790;1282;2266;4233;8168
298;360;421;543;790;1283;2267;4233;8168
300;361;422;544;789;1282;2265;4233;8169
298;359;421;545;790;1282;2266;4233;8168
298;360;421;543;790;1282;2267;4233;8168
299;361;422;545;789;1282;2265;4233;8169
