0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
10;7;7;11;10;16;5;10;6;12;7;13
2;4;2;4;4;7;4;9;6;11;7;12
2;18;3;6;4;7;4;9;6;11;7;12
2;3;2;5;4;7;5;9;5;11;7;13
2;3;3;5;4;7;4;8;5;11;7;13
2;4;3;5;4;7;4;9;5;11;6;12
2;4;3;5;3;7;5;9;6;11;6;12
2;4;2;5;4;7;4;21;7;11;7;12
2;3;2;5;4;7;5;9;6;11;6;13
2;4;3;5;4;7;4;9;6;11;6;12
2;4;2;5;4;7;4;8;5;10;6;13
2;3;2;5;3;7;5;9;5;11;7;13
1;3;2;5;4;7;4;9;5;10;6;70
2;3;3;5;5;7;5;9;6;10;6;13
2;4;2;5;4;7;4;9;6;11;7;13
2;14;3;6;4;8;4;8;5;10;6;12
2;3;2;5;4;7;4;9;5;10;6;72
2;4;3;5;5;8;5;9;5;11;7;12
2;4;2;5;4;7;5;9;6;11;7;12
2;4;3;5;4;7;4;9;5;11;8;15
2;3;3;5;4;7;5;9;6;10;6;13
2;4;2;4;4;7;5;9;6;11;6;12
2;3;3;5;3;7;5;9;6;11;7;12
2;4;3;5;4;6;4;9;6;11;7;13
2;4;3;5;4;7;5;9;5;11;6;13
2;3;3;5;15;8;5;8;5;11;6;13
2;4;2;4;4;7;4;8;5;11;6;13
2;3;2;5;4;7;4;8;5;11;6;12
1;3;3;5;4;6;4;9;5;11;7;13
2;4;2;5;3;7;4;9;5;10;6;12
2;4;2;5;4;7;4;8;5;22;7;13
2;4;2;4;4;7;4;8;5;11;7;12
2;4;3;5;4;7;4;9;5;10;6;12
2;4;2;5;4;7;4;9;5;11;7;13
2;4;3;5;4;6;4;8;5;10;6;12
2;3;2;5;3;7;4;9;5;10;6;12
1;3;2;17;5;8;5;8;6;11;7;13
2;4;3;5;4;7;4;9;6;11;7;12
2;4;2;5;4;7;4;8;5;10;6;12
2;3;2;4;4;7;4;8;5;10;6;12
2;4;2;5;4;7;4;9;5;11;6;12
2;3;2;5;4;7;5;9;5;23;7;12
2;4;2;5;4;7;4;9;6;11;7;12
2;4;2;5;4;7;4;9;6;10;6;12
2;3;2;4;4;7;4;8;5;11;7;13
2;4;2;5;4;7;5;9;5;11;7;13
2;4;3;5;4;7;4;8;5;10;6;12
2;3;13;6;4;7;4;9;6;11;7;13
2;4;2;5;4;7;4;8;5;11;6;13
2;3;2;4;4;7;5;9;5;11;6;12
2;4;2;5;4;7;4;8;5;11;7;12
2;3;2;5;3;7;5;9;5;10;6;13
1;3;2;5;4;7;5;9;17;12;7;13
1;3;2;5;4;7;4;9;6;11;7;12
2;4;2;4;4;7;4;9;5;10;6;12
2;4;2;5;4;7;4;9;5;10;6;13
2;4;2;5;4;7;4;9;5;10;6;13
2;3;2;5;3;7;4;9;5;10;6;12
2;4;3;6;4;7;4;9;6;11;7;13
2;4;3;5;4;8;5;9;6;10;7;63
2;4;3;5;5;8;4;9;5;11;7;13
2;3;3;5;3;7;5;9;5;11;6;12
2;4;2;5;4;8;5;9;6;11;6;15
2;4;3;5;4;7;5;9;6;11;7;12
2;4;2;5;4;7;4;10;5;10;6;12
2;4;2;4;4;7;4;9;5;10;6;13
2;3;3;5;3;7;5;9;6;11;7;13
2;4;3;5;4;6;4;9;6;11;6;12
2;4;2;4;3;19;5;10;6;11;6;12
1;3;3;5;4;7;5;9;6;11;7;12
2;4;3;5;4;8;5;9;6;11;6;12
2;3;2;5;3;7;5;9;6;11;7;12
2;4;2;4;4;7;4;8;5;10;6;13
2;3;3;5;3;7;5;9;6;11;18;13
