0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
8;7;7;6;5;6;2;4;3;5;3;6
1;2;2;3;2;3;2;4;2;5;3;6
1;2;2;3;2;3;2;4;3;5;3;6
1;2;2;3;2;3;2;4;2;4;3;6
1;2;2;2;1;3;2;3;2;4;3;5
1;2;2;2;1;3;2;4;2;4;2;5
1;2;1;2;1;3;2;4;2;6;3;5
1;2;2;2;1;3;2;4;3;5;3;6
1;2;2;2;1;3;2;4;2;4;3;6
1;2;2;2;1;3;2;3;2;4;2;5
1;1;1;2;2;3;2;4;3;5;3;5
1;1;2;3;2;3;2;4;3;5;3;6
1;2;2;3;2;3;2;3;2;4;3;5
1;2;1;2;1;3;2;4;2;5;3;5
1;1;1;2;2;3;2;4;2;5;3;5
1;1;1;3;2;3;2;4;3;5;3;6
1;2;2;3;2;3;2;4;12;6;3;5
1;1;1;2;1;3;2;3;2;4;3;6
1;2;1;2;1;3;2;4;2;5;3;5
1;2;1;2;1;3;2;3;2;5;3;5
1;1;1;2;2;3;2;4;3;5;3;5
1;1;2;3;2;3;2;4;3;5;3;6
1;2;2;3;2;3;2;4;2;4;3;5
1;2;1;2;2;3;2;4;3;5;3;5
1;1;1;3;2;3;3;4;3;5;3;6
1;2;2;3;2;3;2;4;2;5;3;6
1;2;2;2;1;3;2;4;2;5;3;5
1;1;1;2;2;3;2;4;3;5;3;5
1;1;2;3;2;3;3;4;3;5;3;6
1;2;2;3;2;3;2;4;2;4;3;6
1;2;1;2;2;3;2;4;2;5;3;5
1;1;1;3;2;3;2;4;12;5;3;6
1;2;2;2;1;3;2;65;4;7;3;5
1;2;2;3;2;3;2;4;3;5;3;5
1;1;1;3;2;3;2;4;3;5;3;5
1;1;1;3;2;3;2;4;3;5;3;5
1;1;2;3;2;3;3;4;3;5;3;6
1;2;2;3;2;3;2;4;2;4;3;6
1;2;1;2;1;3;2;4;3;5;3;5
1;1;1;3;2;3;2;4;3;5;3;5
1;1;2;3;3;4;2;4;3;5;3;5
1;1;2;3;2;3;2;4;3;5;3;5
