0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
4;3;1;1;1;3;1;3;2;4;3;5
1;1;1;2;1;2;1;3;2;3;2;4
1;1;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;5
1;2;1;1;1;2;1;2;2;4;2;4
1;1;1;2;1;2;2;3;2;4;3;4
1;1;1;1;1;2;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;1;4;2;4
1;1;1;2;2;2;2;9;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;2;2;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;2;1;3;1;4;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;2;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;3;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;2;2;3;1;3;2;4
1;1;1;2;1;2;1;3;2;3;2;4
1;1;1;2;1;2;1;8;1;4;2;4
1;1;1;2;2;2;1;3;1;4;2;4
1;1;1;2;1;2;1;3;2;3;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;2;1;2;1;3;2;3;2;4
1;1;1;1;1;2;1;3;2;3;2;4
1;1;1;1;1;2;1;3;2;3;2;5
1;2;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;2;2;4;2;4
1;1;1;2;1;2;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;3;2;3;1;3;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;1;1;2;1;3;2;3;2;4
1;1;1;1;1;2;1;3;2;3;2;5
1;2;1;1;1;2;1;7;2;4;2;4
1;1;1;1;1;2;2;2;2;3;2;4
1;1;1;1;1;2;2;2;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;3;2;3;1;4;2;4
1;1;1;2;2;2;2;3;1;4;2;4
1;1;1;2;2;2;1;3;1;3;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;2;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;1;1;1;1;2;1;2;2;4;2;4
1;1;1;1;1;2;2;2;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;3;4
1;1;1;2;1;3;2;8;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;2;1;3;1;4;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;1;1;2;1;3;2;3;2;5
1;2;1;1;1;2;1;3;2;3;2;4
1;1;1;2;46;2;1;3;1;4;2;4
1;1;1;2;2;2;2;3;1;4;2;4
1;1;1;2;2;2;2;3;1;4;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;1;1;1;1;2;1;2;2;4;2;4
1;1;1;2;1;2;2;2;2;4;2;4
6;1;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;2;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;2;2;3;1;3;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;2;1;2;1;3;2;3;2;4
1;1;1;2;2;2;2;3;1;4;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;1;1;1;1;2;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;2;2;3;1;4;2;4
1;1;1;2;2;2;2;3;1;4;2;4
1;1;1;2;2;2;2;3;1;4;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;2;1;2;1;3;2;3;2;4
1;1;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;2;2;4;2;4
1;1;1;1;1;2;1;2;2;4;2;4
1;1;1;2;1;2;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;2;2;3;1;4;2;4
1;1;1;2;2;2;2;3;1;4;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;1;1;2;1;3;2;3;2;5
1;1;1;1;1;2;1;2;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;3;2;3;2;4;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;2;1;3;1;3;2;4
1;1;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;1;1;1;1;2;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;3;2;3;2;4;2;4
1;1;1;2;2;2;2;3;1;3;2;4
1;6;1;2;1;2;1;3;1;3;2;4
1;1;1;1;1;2;1;3;2;3;2;4
1;1;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;1;1;1;1;2;2;2;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;3;2;3;1;4;2;4
1;1;1;2;2;2;1;3;1;4;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;4
1;1;1;1;1;2;1;3;2;3;2;4
1;2;1;1;1;2;1;3;2;3;2;5
1;6;1;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;1;2;2;2;2;3;1;4;2;4
1;1;1;2;2;2;2;3;1;3;2;4
1;1;1;2;1;2;1;3;1;3;2;4
1;1;1;2;1;2;1;3;1;3;2;4
