0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
6;5;4;4;7;9;3;6;3;6;3;7
1;3;2;3;2;4;3;5;3;6;4;7
2;2;2;3;2;4;3;5;3;6;4;7
1;2;2;3;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;5;3;5;3;7
1;3;1;2;2;4;3;5;4;6;4;7
2;2;2;3;2;3;2;5;3;6;4;7
1;2;1;3;3;4;3;5;3;6;3;7
1;3;1;2;2;15;3;5;4;6;4;7
1;2;1;3;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;5;3;6;3;7
1;2;1;2;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;5;3;6;4;7
1;2;2;3;2;4;2;5;3;6;3;7
1;2;1;3;3;4;3;5;3;6;3;7
1;2;1;3;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;5;3;6;3;7
1;2;1;3;2;4;3;5;3;6;3;7
1;2;1;3;2;4;2;5;3;6;4;7
1;2;1;3;2;4;3;5;3;6;3;7
1;3;1;2;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;4;3;6;4;7
1;2;1;3;2;4;3;5;3;6;3;7
1;3;1;2;2;4;3;5;3;6;4;7
1;2;1;3;2;4;2;4;3;6;4;7
2;2;2;3;2;4;3;5;3;15;4;7
2;2;2;3;2;3;2;5;3;6;3;7
1;3;1;2;2;4;3;5;3;6;4;7
2;2;2;3;2;3;2;5;3;6;3;7
1;2;1;3;2;4;3;5;3;6;4;7
1;2;1;3;2;4;3;5;3;6;4;7
1;2;1;3;3;4;3;5;3;6;3;7
1;2;2;3;2;4;3;5;3;6;4;7
2;2;2;3;2;3;2;5;3;6;4;7
1;2;1;3;2;13;3;5;3;6;4;7
1;2;1;3;3;4;3;5;3;6;4;7
1;2;2;3;2;3;2;5;3;6;3;7
1;2;1;3;2;4;3;5;3;6;4;7
1;2;1;3;2;4;3;5;4;6;4;7
2;2;2;3;2;4;2;4;3;6;4;7
1;2;1;3;3;4;3;5;3;5;3;7
1;3;1;2;2;4;3;5;3;6;4;7
1;2;2;3;2;4;3;4;3;6;4;7
1;2;2;3;3;4;2;4;3;6;3;7
1;2;1;3;2;4;3;5;3;6;3;7
1;3;1;3;2;4;2;5;3;6;4;7
2;2;2;3;2;3;2;5;3;6;3;7
1;2;1;3;2;4;3;5;3;6;3;7
1;2;1;2;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;4;3;6;4;7
1;2;2;3;2;4;2;5;3;6;3;7
1;3;1;2;2;4;3;5;3;15;4;7
1;3;1;2;2;4;2;4;3;6;3;6
1;2;1;3;2;4;3;5;3;6;3;7
1;3;1;2;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;4;3;6;3;7
1;7;2;3;2;4;3;5;3;6;3;7
1;3;1;3;2;4;2;5;3;6;4;7
2;2;2;3;2;3;2;5;3;6;3;7
1;2;1;3;2;4;3;5;3;6;3;7
1;3;1;2;2;4;3;5;3;6;4;7
1;2;1;3;2;185;4;17;4;7;4;7
2;2;1;3;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;5;3;6;3;7
1;3;1;3;2;4;3;5;4;6;4;7
1;2;2;3;2;3;2;5;3;6;3;7
1;2;1;3;2;4;3;5;3;6;4;7
1;3;1;2;2;4;3;5;4;6;4;7
2;2;2;3;2;4;2;5;3;6;3;6
1;2;1;3;2;4;3;5;3;6;4;7
1;12;2;3;3;4;3;5;3;6;4;7
1;2;1;2;2;4;3;5;3;6;4;7
1;2;2;3;2;3;2;4;3;6;4;7
1;2;2;3;2;4;3;5;3;6;3;7
1;3;1;2;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;4;3;6;4;7
1;2;1;3;2;4;3;5;3;5;3;7
1;2;1;2;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;5;3;15;4;8
1;2;2;3;2;3;2;5;3;6;3;7
1;3;1;2;2;4;3;5;4;6;4;7
2;2;2;3;2;3;2;5;3;6;3;7
1;2;1;3;3;4;3;5;3;5;3;7
1;3;1;2;2;4;3;5;4;6;4;7
1;2;2;3;2;4;2;5;3;6;4;7
2;2;2;3;2;3;2;4;3;6;4;7
1;2;2;3;2;4;2;5;3;6;3;6
1;2;1;3;2;4;3;6;4;6;4;6
1;2;1;2;2;4;3;5;4;6;4;7
1;2;2;3;2;4;2;4;3;6;4;7
1;2;1;3;2;4;3;5;3;5;3;7
1;2;1;3;2;4;3;5;3;6;4;7
1;2;2;3;2;4;3;5;3;6;4;7
1;2;2;3;2;3;2;4;3;6;4;7
1;2;2;3;2;4;2;5;3;5;3;7
1;3;1;2;2;4;3;5;4;6;4;7
1;2;11;3;2;4;3;5;3;6;4;7
2;2;2;3;2;3;2;5;3;6;3;7
1;2;1;2;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;5;3;6;4;7
1;2;2;3;2;4;2;5;3;6;3;7
1;3;1;2;2;4;3;5;4;6;4;7
1;2;2;3;2;4;2;5;3;6;4;7
1;2;1;3;2;4;3;5;3;5;3;7
1;3;1;2;2;4;3;5;3;6;13;7
1;2;1;3;2;4;3;5;3;6;4;7
2;2;2;3;2;4;2;5;3;5;3;7
1;3;1;2;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;4;3;6;4;6
1;2;1;3;3;4;3;5;3;5;3;7
1;3;1;2;2;4;3;5;3;6;4;7
2;2;2;3;2;3;2;5;3;5;3;7
1;2;1;3;2;4;3;5;3;6;4;7
1;2;2;3;2;4;3;15;3;6;3;7
1;2;1;2;2;4;3;5;3;6;4;7
2;2;2;3;2;3;2;5;3;6;3;6
1;2;1;3;2;4;3;5;3;6;3;7
1;3;1;2;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;4;3;6;4;7
1;2;2;3;2;4;3;5;3;5;3;7
1;2;1;2;2;4;3;5;3;6;4;7
1;2;2;3;2;4;2;4;3;6;4;7
1;2;1;12;3;4;2;5;3;6;3;7
