0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
13;15;5;7;9;12;4;9;5;12;7;11
2;4;2;5;3;7;4;8;4;10;6;11
2;4;2;5;4;7;4;9;5;10;6;22
3;4;3;5;3;6;4;8;5;10;6;11
2;4;3;5;3;7;4;8;5;10;6;83
4;5;3;6;5;7;4;9;5;10;5;11
2;4;3;5;3;7;4;8;4;9;5;11
2;4;3;5;3;7;4;8;5;21;6;11
2;5;3;5;3;8;4;8;5;10;5;11
2;4;3;5;3;7;4;9;5;10;5;10
2;4;3;5;3;7;4;9;5;10;5;10
2;4;2;5;3;7;4;8;5;9;5;10
2;4;2;5;3;7;4;8;5;9;5;11
2;4;3;6;3;7;4;19;6;10;5;11
2;4;2;5;3;7;4;8;5;10;6;11
2;4;3;5;3;7;4;9;5;9;5;10
2;4;2;5;3;7;4;9;5;10;5;11
2;4;3;5;3;7;4;9;5;10;6;11
2;4;3;6;3;7;4;8;5;9;5;11
2;4;3;6;3;17;5;8;4;9;5;11
2;4;2;5;4;7;4;8;4;9;6;11
3;4;3;5;4;7;3;8;4;9;5;11
2;4;2;5;4;7;3;8;5;10;6;11
2;4;3;5;3;7;4;8;5;10;6;11
2;4;3;5;3;7;4;9;5;9;5;10
2;4;13;5;4;7;4;9;5;10;6;11
2;4;2;5;4;7;4;8;4;9;5;11
1;4;3;5;3;7;4;8;5;9;5;10
2;4;2;5;4;7;4;8;4;9;5;11
2;4;3;5;3;7;4;8;4;9;5;11
2;4;2;5;3;7;4;8;4;9;5;22
2;4;2;5;3;7;3;8;4;9;5;10
2;4;2;5;3;7;4;9;5;10;5;11
2;3;3;5;3;6;4;8;5;10;6;11
2;4;3;5;3;7;4;8;5;10;5;10
2;4;3;5;3;7;4;8;5;9;5;11
3;4;3;6;3;7;3;8;4;20;6;11
2;4;3;5;3;7;4;9;5;9;5;10
2;4;2;5;4;7;4;8;4;9;6;11
2;4;3;5;3;7;4;8;5;10;5;10
2;4;2;5;3;6;4;9;5;10;5;10
2;4;2;5;4;7;4;8;4;9;5;11
2;4;2;5;4;7;4;18;5;10;5;11
2;4;3;5;3;7;4;8;4;9;6;10
2;5;3;5;3;7;4;8;5;9;5;10
2;4;2;5;4;7;4;8;5;10;6;11
2;4;3;5;3;7;4;8;5;10;5;10
2;4;3;5;4;7;4;8;5;9;5;10
2;4;2;5;4;17;5;9;5;9;5;10
2;4;3;5;3;7;4;8;4;9;5;11
2;4;2;5;3;7;45;10;5;9;5;11
2;4;3;5;3;7;4;8;4;9;5;11
2;4;3;6;3;7;4;8;5;10;6;11
2;4;3;5;3;6;4;8;5;11;6;11
2;4;3;5;3;7;4;8;4;9;5;11
2;4;3;6;3;7;4;8;4;9;5;11
3;4;3;5;3;7;4;8;5;10;5;10
2;4;2;5;4;7;4;8;4;9;5;11
2;4;3;5;3;7;4;8;4;9;5;10
2;4;2;6;3;7;15;9;6;10;5;10
2;5;3;5;3;6;4;9;5;10;5;10
2;4;2;5;4;7;5;8;4;9;5;11
2;4;2;5;3;7;4;8;4;10;6;11
2;4;3;5;3;6;4;9;5;10;5;10
2;4;3;5;3;7;4;8;5;9;5;11
2;4;2;5;14;8;4;8;5;9;5;11
2;4;2;5;3;7;4;9;5;10;5;10
2;4;2;5;4;7;3;8;4;9;5;11
2;4;3;5;3;7;4;8;4;10;6;11
2;4;3;5;3;6;4;8;5;9;5;11
2;4;3;5;3;7;3;8;5;9;6;11
2;14;3;5;3;7;4;8;5;9;5;10
2;4;2;6;3;7;4;8;4;9;5;11
2;4;3;5;3;7;4;8;5;10;6;11
2;4;3;5;3;7;4;8;4;9;5;11
2;4;3;5;4;7;4;8;4;9;6;11
2;4;3;5;3;7;4;8;5;10;6;22
2;4;3;5;3;7;4;8;4;9;5;11
2;4;3;6;3;7;4;8;5;10;6;11
2;4;2;5;3;7;4;8;4;9;5;11
2;4;2;6;3;7;4;8;4;9;5;11
2;4;3;5;3;7;4;8;5;9;5;11
2;4;2;5;3;7;4;8;4;20;6;11
2;4;3;6;3;7;4;8;4;9;5;11
2;4;3;5;3;6;4;8;5;9;5;11
2;4;2;5;3;7;4;8;5;9;5;11
2;4;2;5;4;7;4;8;4;9;5;11
3;4;3;6;3;7;4;8;4;9;5;11
3;4;3;5;3;7;3;19;5;10;6;11
2;4;2;5;3;7;4;8;5;9;5;10
2;4;3;5;3;7;4;8;5;9;5;10
2;4;2;6;3;7;4;8;4;10;5;11
2;4;3;6;3;7;4;8;4;9;38;12
3;4;3;5;3;7;4;8;5;10;6;11
2;5;3;5;3;7;4;8;5;9;5;10
2;4;3;5;3;7;4;8;5;9;5;11
28;5;3;5;4;7;15;9;6;10;5;11
2;4;3;5;3;7;4;9;5;10;6;11
2;4;3;5;3;7;4;8;5;10;6;11
2;4;3;5;3;7;4;9;5;10;5;10
2;5;3;5;3;7;4;9;5;9;5;10
2;4;2;5;4;7;4;8;4;9;5;10
2;4;2;5;4;8;4;8;4;9;5;10
2;4;2;5;4;7;4;8;4;10;5;10
2;4;2;5;3;7;4;8;4;9;5;11
2;4;2;5;3;7;3;8;5;10;6;11
2;4;3;5;3;7;4;9;5;9;5;11
