0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
7;7;7;5;4;6;2;4;2;4;2;5
0;1;1;3;2;3;2;3;2;4;2;4
1;1;2;2;1;3;2;3;2;4;2;4
1;1;2;2;1;3;2;4;2;4;3;4
0;1;1;2;1;3;2;3;2;4;2;5
1;2;1;2;1;3;2;3;1;4;2;5
1;2;1;2;1;3;2;3;2;4;2;5
1;2;1;3;2;3;2;3;1;4;2;5
1;2;1;2;1;3;2;3;2;4;2;5
1;2;1;2;1;3;2;3;2;4;2;5
1;2;2;2;1;3;2;3;2;4;2;5
1;2;1;3;2;3;2;3;2;4;2;5
1;2;1;3;2;3;2;3;2;4;2;5
1;2;1;3;1;2;1;4;2;4;3;4
0;1;1;2;1;3;2;3;2;4;2;5
1;2;1;2;2;3;2;3;1;4;2;5
1;2;1;3;2;2;1;3;2;4;2;5
1;2;1;3;1;2;1;4;2;4;3;4
0;1;1;3;1;3;1;4;2;4;2;4
0;1;1;3;1;3;2;4;2;4;3;4
0;1;1;2;1;3;2;4;2;4;2;4
0;1;2;2;1;13;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;2;1;2;2;3;2;3;2;4;2;5
1;2;1;2;1;3;2;3;1;4;2;5
1;2;1;2;2;3;2;3;2;3;2;5
1;2;1;3;2;2;1;3;2;3;2;5
1;2;1;3;2;3;1;3;2;4;2;5
1;2;1;3;1;2;1;4;2;4;3;4
1;1;1;3;1;3;2;4;2;4;3;4
0;1;1;2;1;3;2;3;2;4;2;5
1;2;1;2;1;3;2;3;2;4;2;4
1;1;2;2;1;3;2;3;2;12;3;5
1;2;1;3;1;2;1;3;2;4;2;4
1;2;1;3;1;2;1;3;2;4;2;4
1;1;1;3;1;2;1;3;2;4;2;4
1;1;1;3;1;2;1;4;2;4;3;4
1;1;1;3;1;3;2;4;2;4;2;4
0;1;1;2;1;3;2;4;2;4;2;4
0;1;2;2;1;3;2;3;1;4;2;5
1;2;1;3;2;2;2;3;2;3;2;5
1;2;1;3;2;2;1;3;2;4;2;4
1;1;1;3;1;2;1;4;2;4;3;4
0;1;1;2;1;3;2;3;2;4;2;5
1;2;1;12;2;3;2;4;2;4;3;4
1;1;1;3;1;3;2;4;2;4;3;4
0;1;2;2;1;3;2;3;2;4;2;4
0;1;2;2;1;3;2;3;1;4;2;5
1;2;1;2;2;3;2;3;1;4;2;5
1;2;1;2;2;3;2;3;2;3;2;5
1;2;1;3;1;2;1;3;2;4;2;4
1;2;1;3;1;2;1;4;2;4;3;4
1;1;1;2;1;3;2;4;2;4;3;4
0;1;1;3;1;3;2;3;2;4;2;4
1;1;2;2;1;3;2;3;2;4;2;4
1;2;2;2;1;3;2;3;11;4;2;5
1;2;2;2;1;3;2;4;2;4;2;4
0;1;1;3;1;3;2;4;2;4;2;4
1;2;2;2;1;3;2;3;1;4;2;5
1;2;1;2;2;3;2;3;1;4;2;5
1;2;1;3;2;2;1;3;2;4;3;4
0;1;2;2;1;3;2;4;2;4;2;5
1;2;1;2;1;3;2;3;1;4;2;5
1;2;1;3;2;3;2;3;2;4;2;5
1;2;1;3;2;3;2;3;1;4;2;5
1;2;1;2;2;3;2;3;2;4;2;5
1;2;1;3;1;2;1;3;2;4;2;4
1;1;1;3;2;3;2;3;2;4;2;4
1;1;2;2;1;3;2;3;2;4;2;4
1;2;1;2;1;3;2;3;1;4;2;5
1;2;1;3;2;2;1;3;2;4;2;4
1;1;1;3;1;2;1;3;2;4;2;4
1;2;1;3;1;2;1;4;2;4;3;4
1;1;1;3;1;2;1;4;2;4;3;4
0;1;1;3;1;3;2;3;2;4;2;4
1;1;2;2;1;3;2;3;2;4;2;4
1;2;1;2;1;3;2;3;1;4;2;5
1;2;1;3;2;3;2;3;2;3;2;5
1;1;1;3;1;3;1;4;2;4;2;5
1;2;1;3;2;3;2;3;3;5;3;5
1;2;1;2;1;3;2;4;2;4;2;4
0;1;1;3;1;2;1;4;2;4;3;4
1;1;1;3;1;2;1;4;2;4;3;4
0;1;1;3;1;3;2;4;2;4;2;4
0;1;1;2;1;3;2;3;2;4;2;4
1;1;2;2;1;3;2;3;2;4;2;4
1;2;1;2;1;3;2;3;1;4;2;5
1;2;1;2;2;3;1;3;2;3;2;5
1;2;1;3;2;2;1;3;2;4;12;5
1;1;1;3;2;2;1;3;2;4;2;5
1;2;1;2;2;3;2;3;2;3;2;5
1;2;1;3;2;2;1;3;2;3;2;5
1;2;1;3;1;2;1;3;2;4;2;5
1;2;1;3;1;2;1;4;2;4;3;4
0;1;1;3;1;3;2;4;2;4;3;4
0;1;1;3;1;3;2;4;2;4;2;4
0;1;2;2;1;3;2;3;2;4;2;4
1;2;1;2;1;3;2;3;2;4;2;5
1;2;1;2;2;3;2;3;2;3;2;5
1;2;1;3;2;3;1;3;2;4;2;4
1;2;1;3;1;3;2;3;2;4;2;5
1;2;1;2;1;3;2;3;2;4;2;5
1;2;1;2;1;3;2;3;2;4;2;4
0;1;2;2;1;3;2;3;2;4;2;4
1;2;1;2;1;3;2;3;2;3;2;5
1;2;1;3;1;2;1;4;2;4;3;4
1;1;1;3;1;3;2;3;2;4;2;4
1;1;2;2;1;3;2;3;2;4;2;5
1;2;1;2;1;3;2;3;2;4;2;5
1;2;1;2;1;3;2;3;2;4;2;5
1;2;1;2;2;3;2;3;1;4;2;5
1;2;1;2;2;3;2;3;3;4;2;5
1;2;1;3;2;3;2;3;2;4;2;5
1;2;2;2;2;3;2;3;1;4;2;5
1;2;1;3;2;2;1;3;2;4;3;4
1;1;1;3;1;2;1;4;2;4;3;4
0;1;1;3;1;3;2;3;2;4;2;4
1;2;1;2;1;3;2;3;1;4;2;5
1;2;1;2;2;3;1;3;2;4;2;5
1;2;1;3;1;2;1;4;2;4;3;4
1;1;1;3;1;3;2;4;2;4;3;4
0;1;1;2;1;3;2;3;2;4;2;5
1;2;1;2;2;3;2;3;1;4;2;5
10;2;1;3;2;3;2;3;2;4;2;5
1;2;1;3;2;3;2;3;2;4;2;4
1;2;1;2;1;3;2;3;1;4;2;5
1;2;1;2;2;3;2;3;2;4;2;5
1;2;1;3;2;3;2;3;1;4;2;5
1;2;1;2;1;3;2;3;1;4;2;5
1;2;1;2;1;3;2;3;1;4;2;5
1;2;1;2;1;3;2;3;2;4;2;4
1;1;2;2;1;3;2;3;2;4;2;4
1;2;1;2;1;3;2;3;2;4;2;5
1;2;1;2;1;3;2;3;2;4;2;5
1;2;1;2;2;3;2;4;2;4;2;5
1;2;1;3;1;3;2;3;2;4;2;5
1;2;1;2;2;3;2;3;2;4;2;5
1;2;1;2;2;2;2;3;2;3;2;5
1;2;1;3;2;2;1;3;2;4;2;5
1;2;1;3;2;3;2;3;2;4;2;5
1;2;1;2;1;3;2;3;2;4;2;5
1;2;2;2;1;3;2;3;2;4;2;4
0;1;1;2;1;3;2;3;2;4;2;4
1;2;1;2;1;3;2;3;2;4;2;4
1;2;2;2;1;3;2;3;2;4;2;4
1;2;2;2;1;3;2;3;2;4;11;5
1;2;1;2;1;3;1;3;2;4;3;4
1;1;1;3;1;2;1;4;2;4;2;4
1;1;1;3;1;3;2;4;2;4;3;4
0;1;1;3;1;2;1;4;2;4;2;4
1;1;1;3;1;3;2;4;2;4;2;4
1;2;2;2;1;3;2;3;2;4;2;4
1;1;1;2;1;3;2;3;2;4;2;4
1;1;2;2;1;3;2;3;2;4;2;4
1;2;2;2;1;3;2;4;2;4;2;4
0;1;1;3;1;3;2;4;2;4;2;4
1;1;2;2;1;3;2;3;2;4;2;5
1;1;2;11;2;3;2;4;2;4;3;4
1;1;1;3;1;2;1;4;2;4;2;4
1;2;1;3;1;2;1;4;2;4;2;4
1;1;1;3;1;2;1;3;2;4;2;4
1;2;1;3;2;2;1;3;2;4;2;5
1;2;1;3;1;2;1;3;2;4;2;10
1;2;2;2;1;2;1;4;2;4;3;4
1;1;1;3;1;3;1;4;2;4;3;4
0;1;1;3;1;3;2;4;2;4;3;4
0;1;1;3;1;2;1;4;2;4;2;4
1;2;1;3;1;2;1;4;2;4;3;4
1;1;1;3;1;2;2;4;2;4;3;4
1;1;1;3;1;2;1;3;2;4;4;6
1;1;1;3;4;5;1;3;2;4;2;4
1;2;1;2;1;3;2;3;2;4;2;4
