0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
9;10;4;3;4;7;2;4;2;5;2;6
1;2;1;2;1;3;2;4;3;5;3;6
1;2;2;2;1;3;2;4;3;5;3;6
1;2;1;15;2;4;2;5;2;5;3;6
1;2;1;3;2;4;2;4;2;4;3;6
1;2;1;3;1;4;2;4;2;5;3;6
1;2;1;3;2;4;2;4;2;5;2;5
1;2;2;3;1;3;2;4;2;5;3;6
1;2;1;2;1;4;2;5;2;4;3;5
1;2;1;3;2;3;2;4;2;5;2;6
1;2;2;2;1;3;2;4;3;5;3;6
1;2;1;2;1;4;2;5;2;5;3;5
1;2;1;3;2;3;2;4;2;5;2;16
1;3;2;3;2;3;2;4;2;5;3;6
1;2;1;2;1;4;2;4;3;5;3;6
1;2;1;3;2;3;2;4;2;5;2;6
1;2;2;2;1;3;2;4;3;5;3;6
1;3;1;3;2;4;2;4;2;5;2;11
1;2;2;3;2;3;2;4;2;5;3;5
1;2;1;3;2;3;2;4;3;5;3;6
1;2;1;2;1;4;2;5;2;5;3;5
1;2;1;3;2;3;2;4;2;5;2;5
1;2;2;2;1;4;2;4;3;5;3;6
1;2;1;3;2;4;2;4;2;5;61;8
1;3;1;2;2;4;2;4;3;5;3;6
1;2;1;2;1;4;2;4;3;5;3;6
1;2;1;2;2;4;2;5;2;5;3;6
1;2;1;3;2;4;2;4;2;5;2;5
1;2;2;2;1;3;2;4;3;5;3;6
1;2;1;2;1;4;2;4;3;5;3;6
1;2;1;3;2;3;2;4;2;5;2;5
1;2;2;2;1;3;2;4;3;5;3;6
1;2;1;3;2;3;2;4;2;5;2;5
1;2;2;2;1;3;2;4;3;5;3;6
1;2;1;2;1;4;2;5;2;5;3;6
1;2;1;3;2;3;2;4;2;5;2;5
1;2;1;12;2;4;2;4;2;5;2;5
1;2;1;3;2;3;2;4;2;5;2;5
1;2;2;3;2;3;2;4;3;5;3;6
1;2;1;3;2;4;2;5;2;5;3;5
1;2;1;3;2;3;2;4;2;5;3;6
1;2;1;2;1;4;2;4;3;5;3;6
1;2;1;3;2;3;2;4;2;5;3;6
1;2;1;2;1;4;2;4;3;5;3;6
1;2;1;2;2;4;2;5;2;4;3;6
1;2;1;3;2;3;2;4;2;5;3;6
2;12;1;3;2;3;2;4;2;4;3;5
1;2;1;3;2;3;2;4;3;5;2;5
1;2;2;2;1;4;2;4;3;5;3;6
1;2;1;3;2;4;2;5;2;4;3;5
1;2;1;3;2;3;2;4;2;5;3;6
1;2;1;2;1;4;2;4;2;5;3;6
1;2;1;3;2;3;2;4;2;5;2;5
1;2;2;2;1;3;1;4;3;5;3;6
1;2;1;3;2;4;2;4;2;4;3;5
1;2;2;2;1;3;2;4;2;5;2;15
1;2;2;3;2;3;2;4;2;5;2;5
1;2;2;2;1;3;2;4;3;5;3;6
1;2;1;2;1;4;2;5;2;5;2;5
1;2;2;2;1;3;1;4;3;5;3;6
1;2;1;2;2;4;2;5;2;5;2;5
1;2;1;3;2;3;2;4;3;5;3;6
1;2;1;2;1;4;2;4;3;5;3;6
1;3;1;3;2;4;2;4;2;5;2;5
1;2;1;3;2;3;2;4;2;5;3;6
1;2;2;3;1;3;2;4;3;14;3;6
1;3;1;3;2;4;2;5;2;5;3;6
1;2;1;3;2;3;2;4;2;5;2;5
1;2;2;3;2;3;2;4;2;5;3;6
2;2;1;2;1;4;2;4;3;5;3;6
1;2;1;3;2;3;2;4;2;5;2;5
