0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
8;4;2;4;2;4;2;5;3;6;3;7
1;3;1;3;2;5;2;5;3;6;3;6
1;2;1;3;2;4;3;5;3;5;3;7
1;2;2;3;2;4;3;5;3;6;4;6
1;3;1;3;2;4;2;5;2;6;3;7
2;2;2;3;2;4;3;5;3;6;3;7
1;3;2;3;2;4;2;5;3;6;4;6
1;3;1;3;2;4;2;5;3;6;3;7
2;2;2;4;2;4;3;5;3;6;3;7
1;2;2;3;2;4;3;5;3;6;4;6
1;2;1;4;2;4;3;5;3;6;3;7
1;3;2;3;2;4;2;5;3;6;3;6
2;2;1;3;2;4;2;5;2;6;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;4;16
2;2;1;3;2;4;2;5;3;6;3;6
1;2;1;3;2;4;2;5;3;5;3;7
2;2;2;3;2;4;3;5;3;6;4;6
1;3;2;3;2;5;2;6;3;6;3;6
2;2;1;4;2;4;3;5;3;5;3;7
1;2;2;3;3;4;3;5;3;6;4;6
1;3;1;3;2;4;2;5;2;6;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;5;2;5;3;15;4;7
1;3;2;3;2;5;2;5;3;6;3;6
2;2;1;4;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;7
2;2;2;3;2;4;3;5;3;6;4;6
1;3;1;3;2;4;2;5;2;5;3;7
1;2;2;3;3;4;3;5;3;6;4;6
1;3;1;3;2;4;2;5;3;6;3;7
2;2;2;3;2;4;3;5;3;6;4;6
1;3;1;3;2;4;2;5;3;6;3;6
2;2;1;4;2;4;3;5;3;6;3;7
1;3;2;3;2;4;2;5;3;6;3;6
1;2;1;4;2;4;3;5;3;6;3;7
1;2;2;3;3;4;3;5;3;6;3;6
1;2;1;3;2;4;2;5;2;6;3;7
1;2;2;3;2;4;3;5;3;6;4;6
1;3;1;3;2;4;2;5;2;6;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;11;5;2;6;3;6
2;2;1;4;2;4;3;5;3;6;3;7
1;2;2;3;3;4;3;5;3;6;4;6
1;3;1;3;2;4;2;5;2;5;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;7
2;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
2;2;1;4;2;4;3;5;3;6;3;7
1;3;2;3;2;4;2;5;3;6;3;6
2;2;1;4;2;4;3;5;3;6;3;7
1;3;2;3;2;4;2;6;3;6;3;6
2;2;1;4;2;4;2;5;3;6;3;7
2;2;2;3;3;4;3;5;3;6;4;6
1;3;1;3;2;4;2;5;44;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
1;2;1;4;2;4;3;5;3;5;3;7
1;2;2;3;2;4;3;5;3;6;3;7
2;2;2;3;2;4;3;5;3;6;3;7
1;3;2;3;2;4;2;5;3;6;3;6
1;3;1;3;2;4;2;5;2;5;3;7
1;2;2;3;2;4;3;5;3;6;3;7
1;3;2;3;3;4;3;5;3;6;4;7
1;3;2;3;2;5;2;4;3;6;3;7
2;2;1;4;2;4;3;5;3;6;3;7
1;3;2;3;2;4;2;5;3;6;3;6
1;11;2;3;2;4;2;6;3;6;3;6
1;2;1;3;2;4;3;5;3;5;3;7
1;2;2;3;2;4;3;5;3;6;4;6
1;3;1;3;2;4;3;5;3;6;3;7
1;2;2;3;2;4;2;5;3;6;3;6
1;2;1;4;2;4;2;5;2;6;3;7
2;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
2;2;1;4;2;4;3;5;3;6;3;16
1;2;2;3;3;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
1;2;1;4;2;4;3;5;3;6;3;7
1;3;2;3;2;4;2;5;3;6;4;6
1;3;1;3;2;4;2;5;2;6;3;7
1;2;2;3;3;4;2;5;3;6;4;6
1;3;1;3;2;4;2;5;2;6;3;7
2;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;14;3;7
1;2;2;3;2;4;3;5;3;6;3;7
1;3;2;3;3;4;3;5;3;6;4;6
1;3;1;3;2;4;2;5;3;6;3;7
1;2;2;3;3;4;2;5;3;6;3;6
1;2;1;3;2;4;3;5;3;6;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;7
2;2;2;3;2;4;3;5;3;6;4;6
1;3;2;3;2;4;2;5;11;6;3;6
2;2;1;4;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;6;3;6;3;7
2;2;1;4;2;4;3;5;3;5;3;7
1;2;2;3;3;4;3;5;3;6;3;6
1;2;1;4;2;4;3;5;3;6;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;2;6;3;7
1;2;2;3;3;4;2;5;3;6;3;6
1;3;1;3;2;4;11;5;3;6;3;7
1;2;2;3;2;4;3;5;3;6;4;6
1;3;1;3;2;4;2;5;3;6;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;1;3;2;4;2;5;3;6;3;7
2;2;1;4;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
1;2;1;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;6;3;6;3;6
1;2;1;3;11;4;3;5;3;6;3;6
2;2;1;4;2;4;3;5;3;6;3;7
1;3;2;3;2;4;2;5;3;6;3;6
1;3;1;3;2;4;2;5;3;6;3;7
2;2;1;4;2;4;3;5;3;6;3;7
1;3;2;3;2;4;2;5;3;6;3;6
1;3;1;3;2;4;2;5;3;5;3;12
2;2;1;4;2;4;3;5;3;5;3;7
1;2;2;3;3;4;3;5;3;6;4;7
1;3;2;3;2;5;2;6;3;6;3;6
1;2;1;3;2;4;2;5;3;6;3;7
2;2;2;4;2;4;3;5;2;5;3;7
1;2;2;3;2;4;3;5;3;6;3;7
1;3;2;3;3;4;3;13;3;6;4;7
1;3;2;3;2;35;3;5;3;6;3;7
1;2;2;4;2;4;3;5;3;6;3;7
1;2;2;3;2;4;3;5;3;5;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;4;6
1;3;2;3;2;4;2;5;3;6;3;6
2;2;1;3;2;4;2;5;2;6;3;7
2;2;2;3;2;4;3;5;3;16;3;6
1;2;1;3;2;4;2;5;3;6;3;6
1;2;1;3;2;4;2;5;3;6;3;7
2;2;2;3;2;4;3;5;3;6;3;7
1;3;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;5;2;5;3;6;3;6
1;3;1;3;2;4;2;5;3;6;3;7
2;2;1;4;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
1;2;1;3;2;4;2;14;3;6;3;7
1;2;2;3;2;4;3;5;3;6;3;6
1;2;1;3;2;4;2;5;3;6;3;7
2;2;1;4;2;4;3;5;3;6;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;3;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
1;2;1;3;2;4;2;5;2;6;3;6
1;3;1;3;2;4;2;5;3;6;3;7
1;2;2;3;10;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
2;2;1;4;2;4;3;5;3;6;3;7
2;2;2;3;2;4;3;5;3;6;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;3;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
2;2;1;4;2;4;3;5;3;6;3;6
1;2;1;3;2;4;2;5;3;5;3;7
1;11;2;3;2;4;2;5;3;6;3;6
1;3;2;3;2;4;2;4;3;6;3;6
1;2;1;3;2;4;2;5;3;6;3;6
1;2;1;3;2;4;2;5;2;6;3;7
2;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
1;3;1;3;2;4;2;5;3;6;3;6
2;2;1;4;2;4;3;5;3;5;3;7
1;3;2;3;3;4;3;5;3;6;4;15
1;3;2;3;2;4;2;5;3;6;3;6
1;3;1;3;2;4;2;5;2;6;3;7
1;2;2;3;3;4;3;5;3;6;3;7
1;2;2;3;2;4;15;5;2;6;3;6
1;2;1;3;2;4;2;5;2;6;3;7
2;2;1;4;2;4;2;5;2;6;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
2;2;1;4;2;4;3;5;3;6;3;7
1;3;2;3;3;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;7
1;2;2;3;2;4;3;5;3;6;3;6
1;2;1;12;2;4;2;5;3;6;3;6
2;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
2;2;1;4;2;4;3;5;3;5;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;5;2;4;3;6;3;7
2;2;1;4;2;4;3;5;3;6;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;7
2;2;1;3;2;4;2;5;3;6;3;7
1;3;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;7
2;2;1;4;2;4;3;5;3;6;3;7
1;2;2;3;2;4;2;5;3;6;4;6
1;3;1;3;2;4;2;5;3;6;3;7
2;2;1;4;2;4;3;5;3;6;3;7
1;3;2;3;3;4;2;5;3;6;4;17
1;3;1;3;2;4;2;5;3;6;3;7
2;2;1;4;2;4;3;5;3;6;3;7
1;3;2;3;2;4;2;5;3;6;4;6
1;3;1;3;2;4;2;5;3;6;3;7
2;2;1;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;7
1;2;2;3;2;4;3;5;3;6;3;6
1;2;1;4;2;4;3;5;3;5;3;7
2;2;2;3;2;4;3;5;3;15;3;7
1;2;2;3;3;4;3;5;3;6;3;6
1;2;1;4;2;4;3;5;3;6;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
1;2;1;3;2;4;2;5;3;5;3;7
1;2;2;3;3;4;3;5;3;6;3;6
1;2;1;3;2;4;2;5;3;6;3;7
2;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;2;6;3;7
2;2;1;4;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
1;3;1;3;2;4;2;5;2;5;3;7
1;2;2;3;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;4;3;6;3;6
2;2;1;4;2;4;3;5;3;6;3;7
2;2;1;4;2;4;3;5;3;6;4;7
1;3;2;3;2;4;2;5;3;6;3;6
