0B-E;0B-D;1B-E;1B-D;8B-E;8B-D;16B-E;16B-D;24B-E;24B-D;32B-E;32B-D
5;8;2;3;3;4;1;2;1;2;2;2
1;1;1;2;1;1;1;2;1;2;1;3
0;1;1;1;0;2;1;2;1;3;2;3
0;1;0;1;0;2;1;2;1;3;2;3
0;1;1;1;0;2;1;2;2;3;2;3
0;1;1;1;1;1;1;2;2;3;2;3
1;1;1;2;1;1;1;2;1;2;1;3
1;1;1;2;1;1;1;2;1;2;1;3
1;1;1;1;1;2;1;2;1;2;1;2
1;1;0;1;1;2;1;2;1;2;1;2
1;1;0;1;1;2;1;2;1;2;1;2
0;1;0;1;1;2;0;2;1;2;2;3
0;1;0;1;0;2;1;2;1;10;1;3
0;1;1;1;1;2;1;2;2;3;2;3
0;1;1;2;1;1;1;2;1;2;2;3
1;1;1;2;1;1;1;2;1;2;1;3
1;1;1;2;1;1;1;1;1;2;1;3
1;1;1;1;1;1;1;2;1;2;1;3
1;1;0;1;1;2;1;2;1;2;1;2
1;1;0;1;1;2;1;2;1;2;1;78
1;2;1;2;1;2;1;2;1;2;1;3
0;1;1;2;1;2;1;2;2;3;2;3
0;1;1;1;1;1;1;2;2;3;2;3
0;1;1;2;1;1;1;2;1;2;1;3
1;0;1;2;1;1;1;1;1;2;1;3
1;1;0;1;1;2;1;2;1;2;1;2
1;1;0;1;1;2;1;2;1;2;1;2
0;1;0;1;1;2;1;2;1;3;2;3
0;1;0;1;0;2;1;2;1;3;2;3
0;1;1;1;0;2;1;2;1;3;2;9
1;1;1;2;1;2;1;2;2;3;2;3
0;1;1;1;1;2;1;2;2;3;2;3
0;1;1;2;1;1;1;2;1;2;1;3
1;1;1;2;1;1;1;1;1;2;1;3
1;1;1;1;1;2;1;2;1;2;1;2
1;1;0;1;1;2;1;2;1;2;1;2
0;1;0;1;0;2;1;2;1;3;2;3
0;1;1;1;0;2;1;2;2;3;2;3
0;1;1;2;1;1;1;2;1;2;1;3
1;1;1;1;1;1;1;2;1;2;1;2
1;1;0;1;1;2;1;2;1;2;1;2
0;1;0;1;1;2;1;2;1;2;1;2
0;1;0;1;0;2;1;2;1;3;2;3
0;1;1;1;1;1;1;2;2;2;2;3
1;1;1;2;1;1;1;1;1;2;1;3
1;1;1;1;1;2;1;2;1;2;1;2
1;1;0;1;1;2;1;2;1;2;1;2
0;1;0;1;0;2;1;2;1;3;2;3
0;1;1;1;1;2;1;2;2;3;2;3
1;1;1;2;1;1;1;2;1;2;1;3
1;1;1;1;1;1;1;2;6;3;1;3
1;1;1;1;1;1;1;2;1;2;1;3
1;1;1;1;1;2;1;2;1;2;1;2
1;1;0;1;1;2;1;2;1;2;1;2
0;1;0;1;1;2;1;2;1;3;2;3
0;1;1;1;0;2;1;2;2;3;2;3
0;1;1;1;1;1;1;2;1;2;1;3
1;1;1;2;1;1;1;1;1;2;1;3
1;1;1;1;1;1;1;2;1;2;1;2
1;1;0;1;1;2;1;2;1;2;1;2
0;1;0;1;1;2;1;2;1;2;1;2
0;1;0;1;0;2;1;2;1;3;2;3
0;1;1;1;1;2;1;2;2;3;2;3
0;1;1;2;1;1;1;2;1;2;1;3
1;1;1;2;1;1;1;2;1;2;1;3
1;1;1;1;1;2;1;2;1;2;1;2
1;1;0;1;1;2;1;2;1;2;2;3
0;1;0;1;0;2;1;2;2;3;2;3
0;1;1;1;1;1;1;2;1;2;1;3
1;1;1;2;1;1;1;1;1;2;1;3
1;1;1;1;1;2;1;2;1;2;1;2
1;1;0;1;1;7;1;2;1;3;2;3
0;1;0;1;0;2;1;2;1;3;2;3
0;1;1;1;1;1;1;2;2;3;2;3
0;1;1;2;1;1;1;2;1;2;1;3
1;1;1;1;1;1;1;1;1;2;1;3
1;1;0;1;1;2;1;2;1;2;1;2
0;1;0;1;1;2;1;2;1;3;2;3
0;1;1;1;1;2;1;2;2;3;2;3
0;1;1;2;1;1;1;2;1;2;1;3
1;1;1;2;1;1;1;1;1;2;1;3
1;1;1;1;1;2;1;2;1;2;1;2
0;1;0;1;1;2;1;2;1;2;1;2
0;1;0;1;0;2;1;2;1;3;2;3
0;1;1;1;1;2;1;2;2;3;2;3
0;1;1;2;1;1;1;2;1;2;1;3
1;1;1;2;1;1;1;1;1;2;1;3
1;1;1;1;1;2;1;2;1;2;1;2
