0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
20;4;2;2;1;2;1;2;3;3;2;4;3;6;5;10;9;18
1;3;1;2;1;2;1;2;1;3;2;5;3;6;5;10;9;18
1;2;1;2;1;3;2;2;1;2;2;4;3;6;5;10;9;30
2;2;1;2;1;2;1;3;2;3;2;4;3;6;5;10;9;18
1;2;1;2;1;2;1;2;2;3;2;4;3;6;5;10;9;19
1;2;1;3;1;2;1;3;2;3;2;4;3;6;5;10;9;19
1;2;1;2;1;2;1;2;2;3;2;4;3;6;5;10;9;28
1;2;1;2;1;2;1;2;1;3;2;4;3;6;5;10;10;18
1;2;1;2;1;2;1;3;2;3;2;4;3;6;5;9;9;18
1;2;1;3;1;2;1;2;2;3;2;4;4;6;5;10;9;19
2;2;1;2;1;3;1;2;1;2;2;4;3;16;5;10;9;18
1;2;1;2;1;2;1;2;2;3;2;4;3;6;5;10;9;18
1;2;1;2;2;2;1;3;2;3;2;4;3;6;5;10;10;18
1;2;1;2;1;2;1;3;2;3;2;4;3;7;5;10;10;18
1;2;2;2;1;2;1;2;1;2;2;4;3;6;5;10;9;19
1;2;1;2;1;2;1;2;1;3;3;4;3;6;5;10;9;18
1;2;1;3;1;2;1;2;2;3;2;4;3;6;5;10;9;18
1;2;1;2;1;2;1;2;1;3;2;4;3;6;4;10;9;18
1;2;2;2;1;2;1;2;1;3;2;5;3;6;13;11;9;18
1;2;1;2;1;2;1;2;2;3;2;4;3;6;5;10;9;18
1;2;1;2;1;2;1;2;2;3;2;4;3;6;5;10;9;18
1;2;1;3;1;2;1;3;2;3;2;4;3;6;5;10;10;18
1;2;1;2;1;2;1;3;2;3;2;4;3;6;5;19;10;19
1;2;1;2;1;2;1;2;2;3;2;4;3;6;5;10;9;18
1;2;1;3;1;2;1;2;2;3;2;4;3;6;5;10;9;18
1;2;1;2;1;2;1;2;1;3;2;5;3;6;5;10;9;18
1;2;2;2;1;2;1;2;1;2;2;4;3;6;5;19;10;18
1;2;1;2;1;2;1;2;2;3;2;4;3;6;5;10;10;18
1;2;1;3;2;2;1;2;2;3;2;4;3;6;5;10;9;18
1;2;1;3;2;2;1;2;2;3;2;4;3;6;5;10;9;18
1;2;1;2;1;2;1;2;2;3;2;4;3;6;5;10;10;19
1;2;1;2;2;2;1;3;2;3;2;4;3;6;5;10;10;18
1;2;1;2;1;3;2;2;1;3;2;4;3;6;5;10;9;18
1;2;1;2;1;3;2;2;1;2;2;4;3;6;5;10;9;19
2;2;1;2;1;2;1;2;2;3;2;4;3;6;5;10;18;19
1;2;1;3;2;2;1;3;2;3;2;4;3;6;5;10;10;18
1;2;1;2;1;3;2;2;1;3;2;4;3;6;5;10;9;18
1;2;1;2;1;3;2;2;1;2;2;4;3;6;5;10;9;24
1;2;1;2;1;3;1;2;2;3;2;4;3;6;5;9;9;18
1;2;1;3;2;2;1;2;2;3;2;4;3;6;5;10;10;18
