0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
10;3;1;2;1;2;4;3;1;3;3;5;4;8;8;14;13;26
1;2;1;2;1;2;1;3;2;3;3;5;5;8;7;14;14;26
1;2;1;1;1;2;2;3;2;3;2;5;4;8;7;14;14;26
2;2;1;2;1;2;1;2;2;3;3;5;4;8;7;14;13;27
1;2;1;2;1;2;2;3;2;3;3;5;4;8;7;14;77;27
1;2;1;2;1;2;1;3;2;3;3;5;4;8;7;14;13;37
1;1;1;2;1;2;2;2;2;3;2;5;4;8;7;15;14;26
1;2;1;2;1;2;1;2;2;4;2;4;4;8;7;14;13;26
1;2;1;2;1;2;1;2;2;4;2;5;4;8;7;14;14;26
1;1;1;1;1;2;2;3;1;12;2;5;4;8;7;14;13;26
1;1;1;1;1;2;2;3;2;3;3;5;4;8;7;14;13;27
1;2;1;2;1;2;1;3;2;4;2;4;4;8;7;14;14;26
1;2;1;2;1;2;1;2;2;4;2;5;4;8;7;23;14;27
1;2;0;2;1;2;1;2;2;4;2;5;5;8;7;14;14;26
1;2;1;2;1;2;1;2;2;3;2;5;4;8;7;15;14;26
1;2;1;2;1;2;1;3;2;4;3;5;4;8;7;14;13;26
10;2;1;1;1;2;2;3;2;3;3;5;4;8;7;14;13;26
1;2;1;2;1;2;1;2;2;3;3;5;4;8;7;15;13;27
1;2;1;2;1;2;1;3;2;4;2;5;4;8;7;14;13;26
1;2;1;2;1;2;2;3;1;3;3;5;5;8;7;14;13;27
1;2;1;2;1;2;1;2;2;4;2;5;4;8;7;14;14;26
1;1;1;1;1;2;2;3;1;3;3;5;4;8;7;14;13;27
1;2;1;2;1;2;1;3;2;3;3;5;4;8;8;14;22;26
1;2;1;2;1;2;2;3;2;3;3;5;4;8;7;14;13;27
1;2;1;2;0;2;1;3;2;3;3;5;4;8;7;14;13;26
1;2;1;2;1;2;2;2;2;3;2;5;4;8;7;14;13;27
1;2;1;2;1;2;1;3;2;4;2;5;5;8;7;14;14;26
1;1;1;1;1;2;2;3;1;3;3;5;4;8;7;14;13;27
1;2;1;2;1;2;2;3;2;3;3;5;4;8;8;14;13;26
1;2;1;2;1;2;1;3;2;4;3;5;4;8;7;14;13;26
1;1;1;2;1;2;2;3;1;3;3;5;4;8;7;14;13;26
1;2;1;2;1;2;1;3;2;42;3;5;4;8;7;14;13;26
1;1;1;1;1;1;2;3;1;3;3;5;4;8;7;25;13;26
1;2;1;2;1;2;1;2;2;4;2;5;4;8;7;15;13;27
0;2;1;2;1;2;2;3;2;3;3;5;4;8;8;14;13;26
1;2;1;2;1;2;1;2;2;4;2;5;4;8;7;14;13;35
2;2;1;2;1;2;1;2;2;4;2;5;5;8;7;14;13;26
1;2;1;2;1;2;2;3;1;3;3;5;4;8;7;14;13;26
1;2;1;2;1;2;1;2;2;4;2;5;4;8;7;14;14;26
1;1;1;1;1;1;2;3;1;3;3;14;4;8;8;14;13;26
1;2;1;2;1;2;1;2;2;4;2;5;5;8;7;14;13;26
1;2;1;2;1;2;2;3;1;3;3;5;4;8;8;14;13;26
1;2;1;2;1;2;1;2;2;4;2;5;4;8;7;14;22;27
1;2;1;2;1;2;1;3;2;3;3;5;4;8;8;14;13;26
1;2;1;2;1;2;1;2;2;4;2;5;5;8;7;14;14;26
1;1;1;1;1;1;2;3;1;3;3;5;4;9;7;14;13;26
1;2;1;11;1;2;2;3;2;3;3;5;4;8;7;14;13;27
1;2;1;2;1;2;2;3;1;3;3;5;4;8;8;14;13;26
1;2;1;2;1;2;1;2;2;4;2;5;4;8;7;14;14;26
1;2;1;2;1;2;1;2;2;4;2;5;4;17;7;14;13;27
1;2;1;2;1;2;1;3;2;4;2;5;5;8;7;14;14;26
1;1;1;1;1;2;2;3;2;3;3;5;4;8;7;14;13;26
1;2;1;2;1;2;1;3;2;3;3;5;4;8;7;14;13;35
1;2;1;2;0;2;2;3;2;4;3;5;4;8;7;14;14;26
1;2;1;1;1;1;2;3;1;3;3;5;4;8;7;14;13;26
1;2;1;2;1;2;1;2;2;4;2;6;5;8;7;14;13;27
1;2;1;2;0;2;1;3;2;4;3;5;4;8;7;14;13;26
1;2;1;2;1;2;2;3;2;3;3;5;4;8;7;14;13;55
1;2;0;2;2;2;1;2;2;4;2;5;5;8;7;15;14;27
1;2;1;1;1;2;2;2;2;3;3;5;4;8;7;15;13;26
1;1;1;2;1;2;2;3;1;3;3;5;4;8;8;14;13;26
1;2;1;2;10;2;1;2;2;4;2;5;4;8;7;15;13;26
1;1;1;1;1;1;2;3;1;3;3;5;4;8;7;14;13;27
1;2;1;2;1;2;2;3;2;3;3;5;4;8;7;14;13;26
