0B-A;0B-V;8B-A;8B-V;16B-A;16B-V;32B-A;32B-V;64B-A;64B-V;128B-A;128B-V;256B-A;256B-V;512B-A;512B-V;1024B-A;1024B-V
11;4;1;2;1;2;3;2;2;3;2;5;4;8;7;14;13;38
1;2;1;1;1;2;1;3;1;3;2;5;4;8;7;14;14;26
1;1;1;2;1;2;2;2;2;3;2;4;4;8;7;14;13;26
1;2;1;2;1;2;1;3;1;4;3;5;4;8;7;14;13;26
1;1;1;2;1;2;1;3;2;3;2;5;4;8;6;14;14;26
1;2;1;1;1;2;1;3;1;3;2;5;4;8;7;14;13;26
1;2;1;2;1;2;1;3;2;4;3;5;4;8;7;14;13;26
1;1;1;2;1;2;1;3;2;3;3;5;4;7;7;14;22;26
1;2;1;2;1;2;2;2;2;3;2;4;4;8;7;14;13;26
1;2;1;2;1;1;1;2;1;3;2;5;4;8;7;14;13;26
1;2;1;1;1;2;1;3;1;4;2;5;4;8;7;14;13;26
1;1;1;2;1;2;2;2;10;4;2;5;4;8;7;14;13;26
1;2;1;1;1;2;1;3;1;4;3;5;4;8;7;14;13;26
1;2;1;2;1;2;2;2;2;3;2;5;4;8;7;14;13;26
1;2;1;1;1;2;1;3;1;3;2;5;4;75;7;14;13;26
1;2;1;2;1;1;1;2;1;3;2;5;4;8;7;14;13;26
1;2;1;1;1;2;1;3;1;3;2;5;4;8;8;14;14;26
1;2;1;2;1;2;1;3;2;4;3;5;3;8;7;13;23;27
1;2;1;2;1;2;1;2;1;3;2;5;4;8;7;14;13;26
1;2;1;2;1;2;1;3;1;3;2;5;4;8;7;14;13;26
1;2;1;1;1;2;1;3;1;4;3;5;3;7;7;14;13;26
1;1;1;2;1;2;2;2;2;12;2;5;4;8;7;14;13;26
1;2;1;2;1;2;1;2;1;3;2;5;4;8;7;14;14;26
1;2;1;1;1;2;1;3;1;4;3;5;4;8;7;14;13;26
1;2;1;2;1;2;1;3;2;4;3;5;4;7;7;14;22;27
1;2;1;2;1;2;1;2;1;3;2;5;4;8;7;14;13;26
1;2;1;1;1;2;1;3;1;4;3;5;4;8;7;14;13;26
1;1;1;2;1;2;1;3;2;4;3;5;4;8;7;14;13;26
1;1;1;2;1;2;1;2;2;3;3;5;4;8;7;14;13;26
1;2;1;2;1;2;1;3;2;4;3;5;4;7;7;14;13;27
1;1;1;2;1;2;2;2;2;3;2;4;4;8;7;14;13;26
1;2;1;2;1;1;1;2;1;3;2;5;4;8;6;14;22;26
1;2;1;2;1;2;2;2;2;3;2;4;4;8;7;14;13;26
1;2;1;2;1;1;1;2;1;3;2;5;4;8;7;14;13;26
1;2;1;1;1;2;1;3;2;4;3;5;4;7;7;14;13;27
1;1;1;2;1;2;2;11;2;4;3;5;4;8;7;14;14;26
1;1;1;2;1;2;1;3;2;3;3;5;4;8;7;14;13;27
1;1;1;2;1;2;2;2;2;3;3;5;4;8;7;14;13;27
1;1;1;2;1;2;2;2;2;3;2;4;4;8;7;14;14;27
1;1;1;2;1;2;1;3;2;4;3;5;4;8;7;14;13;26
1;1;1;2;1;2;1;3;2;4;3;5;4;7;7;14;13;26
1;1;1;2;1;2;1;3;2;3;3;5;4;7;7;14;13;100
2;2;1;2;1;2;2;2;2;3;2;5;4;8;7;14;13;26
1;2;1;2;1;1;1;2;2;3;2;5;14;8;7;14;13;26
1;2;1;1;1;2;1;3;2;4;3;5;4;7;7;14;13;27
1;1;1;2;1;2;2;2;2;3;2;4;4;8;7;14;13;26
1;2;1;2;1;1;1;2;2;3;2;5;4;8;7;14;13;36
1;2;1;2;1;1;2;2;2;3;2;5;4;8;7;14;13;26
1;2;1;1;1;2;1;3;1;4;3;5;4;8;7;14;13;26
1;1;1;2;1;2;2;2;2;3;3;5;4;8;7;14;13;26
1;2;1;2;1;1;1;2;1;3;2;14;5;8;7;14;13;26
1;2;1;2;1;2;1;3;1;3;2;5;4;8;7;14;13;26
1;2;1;1;1;2;1;3;1;4;3;5;4;8;7;14;13;26
1;1;1;2;1;2;1;3;2;4;3;5;4;7;7;14;13;35
1;2;1;2;1;2;2;2;2;3;2;4;4;8;7;14;13;26
1;2;1;1;1;2;1;3;1;4;3;5;4;8;8;14;14;26
1;2;1;2;1;2;1;3;2;4;3;5;3;8;7;13;13;26
1;1;1;2;1;2;1;3;2;4;12;5;4;8;7;14;13;27
1;2;1;2;1;1;2;2;2;3;2;5;4;8;7;14;13;26
1;2;1;2;1;2;1;3;1;4;2;5;4;8;7;13;13;26
1;2;1;2;1;2;2;2;2;3;2;4;4;8;7;14;13;35
1;1;1;2;1;2;1;3;1;3;2;5;4;8;7;14;13;26
1;2;1;2;1;2;1;2;1;3;2;5;4;8;7;14;13;26
1;2;1;2;1;2;1;3;2;4;3;5;3;8;7;13;13;26
1;1;1;2;1;2;1;3;2;4;3;5;4;8;7;14;13;26
1;2;1;2;1;1;1;2;2;3;2;5;4;8;7;14;13;26
1;2;1;2;1;2;1;2;1;3;2;5;4;8;7;14;13;26
1;2;1;1;1;2;1;3;1;4;3;5;3;8;7;14;22;26
1;2;1;2;1;2;2;2;2;3;2;4;4;8;7;14;13;26
1;2;1;2;1;2;1;42;2;4;2;5;4;8;7;14;13;26
