0B;8B;16B;32B;64B;128B;256B;512B;1024B
16;9;5;5;7;10;17;31;59
3;4;4;5;7;10;17;31;59
3;3;4;5;7;10;17;31;59
3;4;4;5;16;11;18;31;59
3;3;5;5;7;10;17;31;59
3;4;4;5;6;10;17;31;59
4;4;4;5;6;11;17;31;59
3;3;4;5;8;11;17;31;65
4;3;5;5;7;10;17;31;59
3;4;4;5;6;10;18;31;69
3;4;4;5;7;10;17;31;59
3;4;4;5;6;10;17;31;59
3;4;4;5;7;11;17;31;59
3;4;4;5;6;11;18;31;59
3;3;4;5;7;10;17;31;59
3;4;4;5;6;11;17;32;59
3;4;4;5;7;11;17;31;59
3;3;4;5;7;10;17;31;59
3;4;4;6;7;10;17;31;59
3;4;4;5;7;10;17;31;59
3;4;4;5;6;10;17;31;59
3;4;4;5;6;10;17;31;59
3;4;4;5;7;11;18;31;59
4;4;4;5;7;10;17;31;68
3;4;4;5;7;10;17;31;59
3;4;5;4;7;10;17;31;59
3;4;4;5;7;10;17;40;59
4;4;4;5;7;10;17;31;59
3;4;4;5;6;10;17;31;59
3;4;4;5;6;12;18;31;59
3;4;5;5;7;10;17;31;59
3;4;4;5;6;11;18;32;58
4;3;4;5;7;10;17;31;59
3;4;4;5;6;10;18;32;59
4;4;4;5;7;10;17;31;68
4;3;5;5;7;10;17;31;59
3;4;4;5;6;10;17;31;59
3;4;4;5;7;11;17;40;59
4;3;4;5;7;10;17;31;59
3;4;4;5;7;11;17;31;59
3;4;4;5;7;10;26;32;59
3;3;4;5;7;10;17;31;59
3;3;4;5;7;10;17;31;59
3;4;4;5;7;10;17;31;59
3;4;4;5;6;10;18;32;59
4;4;4;5;7;11;17;31;68
3;4;4;5;7;10;17;31;59
3;3;4;5;7;10;17;31;59
3;4;4;5;7;10;17;31;68
3;4;4;5;6;11;18;31;59
4;3;4;5;7;10;17;31;59
3;4;5;5;7;10;115;32;59
3;4;4;5;7;10;18;37;59
3;4;4;5;7;10;17;31;59
3;4;4;5;7;10;17;31;59
3;3;4;5;7;10;18;31;59
4;4;4;5;7;10;17;31;59
3;3;4;5;7;10;17;31;59
12;4;4;5;7;10;17;31;59
3;4;4;5;7;10;17;31;59
3;3;4;5;7;10;17;31;68
4;3;4;5;7;10;17;31;59
3;4;4;5;7;11;17;31;59
4;3;4;5;7;10;17;40;59
4;3;4;5;7;10;17;31;59
3;4;4;5;6;11;17;31;59
3;3;5;5;7;10;26;31;59
3;4;5;5;7;10;17;31;59
3;4;4;5;6;11;17;31;58
4;3;4;5;16;11;17;31;59
3;4;4;5;6;10;17;31;59
3;4;4;5;6;10;17;31;59
4;3;5;6;7;10;17;31;59
3;4;4;5;9;10;18;31;59
3;3;4;5;7;10;17;41;59
3;4;4;5;6;11;18;31;59
3;3;4;5;7;10;17;31;59
3;4;4;5;7;10;27;32;59
3;3;5;5;7;10;17;31;59
3;4;4;5;6;11;18;32;59
3;4;4;5;7;11;18;31;58
4;3;4;5;7;10;17;31;59
3;4;4;5;6;10;17;31;68
3;4;4;5;7;11;17;31;59
3;3;4;5;7;10;17;31;59
3;4;4;5;6;10;17;31;68
3;4;4;5;6;11;18;31;58
4;3;4;5;7;10;17;31;59
3;4;4;5;6;10;18;40;59
3;4;4;5;7;10;17;31;59
3;4;4;5;7;10;17;31;68
