0B;8B;16B;32B;64B;128B;256B;512B;1024B
10;5;2;2;3;5;8;13;26
1;2;2;2;3;4;8;14;26
1;1;1;2;3;5;8;13;26
1;1;2;2;3;4;7;14;27
1;2;2;2;3;4;7;25;26
1;1;2;1;3;4;7;14;26
1;1;1;2;2;4;8;14;26
1;1;2;2;3;5;7;14;27
2;2;2;2;3;4;7;14;26
1;1;2;2;3;5;8;13;36
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;26
1;1;2;2;3;4;7;14;26
1;1;1;2;2;5;8;14;26
1;1;2;2;3;4;7;14;36
1;1;2;2;3;4;8;14;26
1;1;1;2;3;5;7;14;27
2;2;2;2;2;4;8;14;26
1;1;2;2;3;4;7;14;27
1;1;1;2;3;5;8;14;26
1;1;2;2;3;4;8;14;26
1;1;2;2;3;5;7;14;27
1;2;2;2;2;4;8;14;26
1;1;2;2;3;5;7;14;27
2;2;1;2;3;4;8;14;26
1;1;2;2;3;13;7;14;26
1;1;2;2;3;4;7;14;27
1;2;4;2;3;4;8;14;26
1;2;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;26
1;1;2;1;3;4;7;23;27
1;1;1;2;2;5;8;14;26
1;2;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;27
1;1;1;2;2;5;8;13;27
1;2;2;2;3;4;8;14;35
1;2;2;2;2;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;2;5;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;7;14;27
1;2;1;2;3;5;8;13;27
1;2;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;27
2;2;1;2;2;4;8;14;26
1;1;2;1;3;4;7;14;26
1;1;1;11;3;5;7;14;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;27
1;1;1;2;2;5;8;13;27
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;8;14;26
1;1;2;2;3;4;7;14;27
1;1;1;2;2;5;8;13;26
1;2;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;27
1;1;1;2;2;5;8;22;27
1;1;1;2;3;5;8;13;27
1;2;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;27
1;1;1;2;2;5;8;13;26
1;2;2;2;3;4;7;14;35
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;8;15;26
1;2;2;2;3;4;7;14;26
1;1;1;2;3;4;7;14;27
1;1;1;2;2;5;8;13;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;1;2;2;5;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;14;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;5;7;14;27
2;2;2;2;3;4;8;14;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;27
1;1;1;2;2;5;8;13;27
1;2;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;7;14;27
2;2;1;2;2;4;8;13;27
1;1;2;2;3;4;7;14;27
1;1;1;2;3;5;8;13;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;36
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
1;2;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;27
1;2;1;2;2;5;8;14;26
10;2;1;2;3;5;8;13;27
1;2;2;2;3;4;7;14;26
1;1;2;2;3;5;7;14;27
2;2;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;4;7;14;27
1;2;1;2;2;4;8;14;26
1;1;2;1;3;4;7;14;26
1;1;2;2;3;5;7;14;27
1;2;1;2;2;5;8;146;27
1;1;1;2;3;5;8;13;27
1;1;2;2;3;4;7;14;26
1;1;1;2;2;5;8;13;26
1;1;2;2;3;4;7;14;26
1;1;1;2;13;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;2;2;3;4;17;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;8;14;27
2;2;2;2;3;4;7;23;27
1;2;1;2;2;4;8;14;27
2;2;2;2;3;4;8;14;26
1;2;2;2;3;4;7;14;26
1;2;2;2;3;4;8;14;26
1;2;2;2;3;4;7;14;35
1;2;2;2;3;4;7;14;26
1;1;1;2;2;5;8;14;26
1;2;2;2;3;4;7;14;26
1;1;2;2;3;5;7;14;27
1;2;1;2;2;4;8;14;35
2;2;2;2;3;4;8;14;26
1;1;2;2;3;5;7;14;27
2;2;2;2;2;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;11;2;3;5;7;14;27
1;2;1;2;2;4;8;14;26
1;2;2;1;3;4;7;14;26
1;1;1;2;3;5;8;13;27
1;1;2;2;3;4;7;14;27
1;1;1;2;3;13;8;14;27
1;2;1;2;2;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;2;5;8;13;27
2;2;2;2;2;4;8;14;124
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;7;13;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
1;2;2;2;2;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;14;7;14;26
1;1;1;2;3;5;7;14;26
1;1;1;2;3;5;8;14;27
1;1;1;2;3;5;8;14;27
1;1;1;2;3;5;8;13;27
1;1;1;2;2;5;8;13;26
1;1;1;2;3;5;8;13;26
1;1;2;2;3;4;7;14;27
1;2;1;2;2;4;7;14;26
1;1;1;2;3;5;8;13;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;26
1;2;2;2;3;4;7;14;26
1;1;1;2;3;5;7;14;27
1;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;35
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
1;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;27
1;2;1;2;2;4;8;14;26
1;2;2;2;2;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;7;14;27
1;2;1;2;2;5;8;13;26
1;2;2;2;3;5;8;13;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;7;14;26
1;1;1;2;3;5;8;13;27
2;2;2;2;3;4;8;14;26
1;1;2;2;3;4;16;14;26
