0B;8B;16B;32B;64B;128B;256B;512B;1024B
6;2;2;3;4;6;10;19;35
1;2;2;3;4;5;10;18;35
1;2;2;3;3;6;11;19;36
2;1;2;2;4;5;10;30;35
2;1;2;2;4;5;10;18;35
1;2;2;3;3;6;10;19;35
2;2;2;2;4;6;10;18;35
1;2;2;3;4;5;10;18;45
2;2;2;2;4;6;10;18;35
1;2;3;3;4;5;10;18;35
2;2;2;2;3;6;10;19;35
2;1;2;2;4;5;10;18;35
1;11;2;2;4;6;10;19;35
1;1;2;2;4;5;10;18;35
2;2;2;2;3;6;10;19;35
2;1;2;2;4;6;10;18;35
1;2;2;3;4;6;19;18;35
2;2;2;2;3;6;10;19;36
2;1;2;2;4;6;10;18;35
1;2;3;3;3;6;10;19;35
2;2;2;2;4;6;10;19;35
2;2;2;3;4;5;10;18;35
1;2;2;3;4;6;10;19;35
2;2;2;2;3;6;10;18;35
1;2;2;2;4;5;10;18;43
1;2;2;3;3;6;10;18;35
1;2;2;3;3;6;10;19;35
1;2;2;3;4;5;10;18;35
1;2;3;3;3;6;10;19;36
2;1;2;2;4;6;10;18;35
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;19;35
2;1;2;2;3;6;10;19;35
1;2;2;3;4;6;11;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;19;36
2;1;2;2;4;15;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;2;4;6;10;18;35
1;2;2;3;3;6;10;19;37
1;2;2;3;4;6;10;27;36
2;1;2;2;4;6;10;18;35
1;2;3;3;3;6;10;19;37
1;2;3;3;3;6;10;19;37
1;2;3;3;3;6;10;19;43
2;1;2;2;4;6;11;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;19;35
1;1;2;2;4;5;10;18;43
1;2;2;3;4;5;10;18;35
1;2;2;2;3;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;19;35
2;1;2;3;4;6;10;18;35
1;2;3;3;3;6;10;18;35
2;2;2;2;3;6;10;19;36
2;1;2;2;4;6;10;18;35
1;2;2;3;4;5;10;19;35
1;2;2;3;4;6;11;19;37
1;1;2;3;4;6;11;19;37
1;2;2;3;4;6;10;18;35
2;2;2;2;3;6;10;19;44
2;2;2;2;4;6;10;19;65
2;2;2;2;3;6;10;19;35
1;2;2;3;3;6;9;20;43
1;2;2;3;3;6;10;19;37
1;2;2;2;4;6;10;19;37
2;2;2;2;4;6;10;18;44
1;2;2;3;4;6;10;19;37
1;2;3;3;3;6;10;19;37
1;2;2;3;3;6;10;18;35
1;2;2;3;4;5;10;18;44
1;2;2;3;4;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;18;35
1;2;2;3;4;6;10;19;37
1;2;2;11;4;6;10;18;35
2;2;2;2;4;6;10;19;37
1;2;2;3;4;6;11;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;19;18;37
1;2;2;2;4;6;11;20;38
2;1;2;3;4;6;11;19;37
1;1;2;3;4;6;10;19;37
1;2;2;3;3;6;10;28;37
1;2;2;3;3;6;10;20;37
2;2;2;2;4;5;11;20;38
2;1;2;2;4;6;11;20;37
1;1;2;3;4;6;10;19;45
2;1;2;3;4;6;11;19;37
1;2;3;3;3;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;2;4;6;10;20;46
1;2;2;3;3;6;10;19;37
1;2;2;3;4;6;10;20;37
2;2;2;2;4;6;11;20;38
2;1;2;3;3;6;10;20;47
2;1;2;2;4;6;11;20;38
2;1;2;3;4;6;11;19;37
1;2;2;3;4;6;10;19;37
1;2;3;3;3;6;10;19;46
1;2;2;3;3;6;10;19;37
1;2;2;2;4;6;10;19;37
2;2;2;2;4;6;11;20;38
2;1;2;2;4;5;11;20;38
10;2;2;2;4;5;11;20;38
2;1;2;3;4;6;11;19;37
1;2;2;3;4;6;11;19;37
1;2;2;3;4;6;11;19;37
1;2;3;3;4;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;10;19;37
1;2;2;3;3;6;11;19;37
1;2;2;3;3;6;10;19;37
