0B;8B;16B;32B;64B;128B;256B;512B;1024B
8;5;2;2;3;5;9;16;32
1;2;2;2;3;5;9;16;43
1;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
1;2;2;3;3;5;9;17;31
1;2;2;3;4;5;9;17;31
1;2;2;2;4;5;9;26;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;17;31
1;2;1;3;4;6;9;16;32
1;2;2;2;3;5;9;16;32
1;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;2;3;4;5;8;17;31
1;2;2;3;3;5;8;17;31
1;2;2;3;4;5;9;16;32
1;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;40
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;32
2;1;2;2;3;5;18;16;32
1;1;2;2;3;5;9;16;32
1;1;2;2;3;5;9;16;32
1;1;2;2;3;5;9;16;32
1;1;2;2;3;5;9;16;32
1;2;2;2;3;6;9;17;32
1;2;2;2;4;6;9;17;32
1;2;2;4;3;5;9;16;83
2;2;2;3;3;5;9;17;31
1;2;2;3;3;5;9;17;41
2;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;17;31
2;2;2;2;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;2;3;3;5;17;17;31
2;2;2;2;3;5;9;16;31
2;2;2;3;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;1;3;4;5;9;17;32
1;2;2;3;3;5;9;17;31
1;2;2;3;4;6;9;17;32
1;2;2;2;3;5;9;16;32
1;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;25;31
1;2;2;3;3;5;8;17;31
1;2;1;3;4;5;8;17;32
1;2;1;3;4;6;9;17;32
1;2;2;2;4;5;9;16;32
1;1;2;11;3;6;9;17;32
1;2;2;3;4;6;9;17;32
1;2;2;2;4;6;9;16;32
1;1;2;2;3;5;9;16;32
1;1;2;2;3;5;9;16;40
2;2;2;2;3;5;9;16;31
2;2;2;3;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;2;3;4;6;9;17;32
1;2;2;2;3;5;9;16;32
1;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;76
1;2;1;3;4;5;9;17;31
1;2;2;3;4;5;8;17;31
1;2;1;3;4;6;9;17;31
1;2;1;3;4;5;8;17;31
1;2;2;3;4;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;40
2;1;2;2;3;5;9;17;31
2;2;2;2;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;2;3;3;5;9;17;31
2;2;2;3;3;5;9;17;31
1;2;2;3;4;5;9;17;32
1;2;1;2;4;6;9;16;32
1;1;2;2;3;5;9;16;40
2;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;2;3;4;5;9;17;32
1;2;1;3;4;6;9;25;32
1;1;2;2;3;5;9;16;31
2;2;2;3;3;5;9;17;31
1;2;1;3;4;5;8;17;32
1;2;2;3;4;6;9;17;32
1;2;2;3;3;5;9;16;32
2;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;3;3;5;9;17;31
1;2;1;3;4;5;9;17;39
1;2;2;2;4;5;9;16;32
1;1;2;2;3;5;9;16;32
1;1;2;2;3;5;9;16;32
1;1;2;2;3;5;9;16;32
1;1;2;2;5;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;3;3;5;9;50;31
2;2;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;41
2;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;17;31
1;2;2;2;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;2;3;3;5;9;17;32
1;2;2;2;3;5;9;16;32
1;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;17;31
1;2;2;3;3;5;9;17;40
1;2;2;2;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;2;3;3;5;8;17;31
1;2;1;3;3;5;9;25;32
1;2;1;3;4;5;9;17;32
1;2;1;3;4;6;9;17;32
1;2;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;32
2;1;2;3;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;1;3;4;5;9;17;31
1;2;2;2;4;5;9;16;32
1;1;2;2;3;5;9;16;40
2;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;17;31
2;2;2;2;3;5;9;16;31
1;2;2;3;3;5;9;17;31
1;2;1;3;4;5;9;17;32
1;2;2;3;4;6;8;17;31
1;2;1;3;4;5;96;17;32
2;1;2;2;3;5;9;16;32
2;1;2;2;4;6;9;17;32
1;2;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;31
2;2;2;3;3;5;9;17;32
1;2;2;2;4;5;9;16;32
1;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;31
2;2;2;2;3;6;9;16;31
2;2;2;2;3;5;9;17;31
1;2;2;3;3;5;8;17;31
1;2;2;2;4;6;9;16;32
1;1;2;2;3;5;9;16;40
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;17;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
1;2;2;3;3;5;9;17;31
2;2;2;2;3;5;9;17;31
1;2;1;3;3;5;8;17;31
1;2;1;3;4;5;8;17;31
1;2;2;3;4;5;8;17;31
1;2;1;3;4;5;9;17;31
1;2;1;3;4;5;9;25;32
2;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;31
2;1;2;2;11;5;9;17;31
1;2;2;3;4;5;9;17;32
1;2;2;2;3;5;10;16;32
2;1;2;2;3;5;9;16;62
1;2;2;2;3;5;9;17;31
1;2;2;3;4;5;8;17;42
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;1;2;4;6;9;16;31
1;2;1;3;4;5;9;17;31
1;2;2;2;4;5;9;16;32
1;1;2;2;3;5;9;16;32
1;1;2;2;3;5;9;16;32
2;2;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
1;2;2;3;3;5;9;17;31
1;2;1;3;4;6;9;16;32
1;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;31
2;2;2;2;11;5;9;16;31
2;2;2;2;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;1;3;4;5;8;17;31
1;2;2;2;4;6;8;17;31
2;2;2;2;3;5;9;17;31
1;2;2;3;3;5;9;17;31
1;2;1;3;3;5;9;16;31
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;31
1;2;2;2;3;5;9;17;31
1;2;2;3;4;6;9;49;32
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;31
2;2;2;3;3;5;9;17;31
1;11;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;32
1;2;2;2;3;5;9;16;31
1;2;2;3;3;5;9;17;31
1;2;2;3;3;5;9;17;31
2;2;2;2;3;5;9;16;31
2;2;2;2;12;5;9;16;31
2;1;2;2;3;5;9;16;31
2;2;2;3;3;5;9;17;31
1;2;2;3;3;5;8;17;31
1;2;1;3;4;6;9;17;40
2;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;31
2;1;2;2;3;5;17;16;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
1;2;2;2;3;5;9;17;31
1;2;2;3;3;5;8;17;31
10;2;2;2;3;5;9;16;32
2;1;2;2;3;5;9;16;31
1;2;2;3;3;5;8;17;31
1;2;2;2;4;5;9;16;32
1;1;2;2;3;5;9;25;32
1;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;3;3;5;9;17;31
1;2;1;3;4;5;8;17;31
1;40;2;3;4;5;9;17;31
1;2;2;3;4;5;8;17;31
1;2;1;3;4;6;9;17;32
1;2;2;2;3;5;10;16;32
1;2;1;3;4;6;9;17;32
1;2;2;2;4;5;9;16;32
1;1;2;2;3;5;9;26;32
2;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
1;2;2;2;3;5;9;17;31
2;2;2;2;3;5;9;17;31
2;2;2;3;3;5;9;16;31
2;1;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;31
2;2;2;2;3;5;9;16;40
1;2;2;3;3;5;9;17;31
1;2;1;3;4;5;9;17;31
1;2;1;3;4;5;8;17;31
1;2;2;3;4;5;8;17;31
