0B;8B;16B;32B;64B;128B;256B;512B;1024B
16;12;6;6;9;15;25;46;88
4;4;5;7;9;15;25;46;100
4;5;7;7;9;15;24;46;88
4;4;5;7;9;14;25;46;87
4;4;5;7;9;15;25;46;98
4;4;5;7;9;15;25;46;88
4;5;5;7;9;15;24;46;98
4;5;6;6;9;14;25;46;87
4;4;6;7;9;14;25;46;97
4;4;5;7;9;14;25;45;88
4;4;5;7;9;14;25;46;98
4;5;5;6;9;14;25;46;88
3;5;6;7;9;14;25;46;97
4;5;5;6;9;15;25;46;88
4;5;5;6;9;14;25;46;97
4;5;5;6;9;14;25;46;88
4;5;6;7;9;14;25;46;87
4;5;5;7;9;14;25;45;88
4;4;5;6;9;15;59;46;99
4;5;5;6;9;14;25;46;88
3;5;5;6;9;14;25;46;88
13;5;5;7;10;14;25;46;88
4;4;5;6;9;15;24;46;88
4;5;14;7;10;15;25;45;88
4;4;5;6;9;15;25;46;88
3;5;5;6;9;14;25;46;88
3;5;5;6;9;14;25;46;88
3;5;5;6;9;24;25;46;88
3;5;5;6;9;14;25;46;88
3;5;5;7;9;14;25;46;88
4;4;5;7;9;14;25;45;88
4;4;5;7;9;15;34;46;88
3;5;5;6;9;14;25;46;88
4;4;6;7;9;14;25;55;88
4;4;5;7;9;15;24;46;125
4;5;5;6;9;15;36;46;87
4;4;5;7;9;14;30;46;88
4;4;5;6;9;15;25;46;88
3;5;5;6;9;14;25;55;87
3;5;6;7;9;14;25;46;88
3;5;5;6;9;14;25;55;88
4;5;6;7;9;14;25;46;87
4;4;5;7;9;14;25;56;88
4;4;5;7;10;15;25;46;88
4;5;5;6;9;15;24;46;97
4;5;5;6;9;14;25;46;88
3;5;6;7;9;14;25;46;97
4;4;5;7;10;15;25;46;88
4;4;5;6;9;15;25;46;97
3;5;5;6;9;14;25;46;88
4;5;5;6;9;14;25;46;97
4;7;5;7;9;14;25;46;87
4;4;6;7;9;14;25;57;88
4;4;5;7;9;14;25;45;88
4;4;5;7;9;15;24;56;88
4;4;5;7;9;14;25;46;88
4;4;5;6;9;15;24;46;97
4;5;5;6;9;15;25;46;88
4;5;5;6;9;14;25;46;97
4;5;5;6;9;14;25;46;87
4;4;5;7;9;14;25;45;98
4;4;5;7;9;14;25;46;88
4;4;5;7;9;14;25;45;97
4;4;5;7;9;14;25;46;87
4;4;5;7;9;14;25;45;97
4;5;5;7;9;15;24;46;88
4;5;5;6;9;15;24;46;97
4;4;5;7;30;15;25;46;88
3;5;6;7;9;14;25;51;87
4;4;5;7;9;14;25;45;98
3;5;5;6;9;15;25;46;88
4;5;5;6;9;15;24;46;88
4;6;5;7;9;15;24;46;88
4;5;5;6;9;14;25;46;88
3;5;5;7;9;14;25;46;88
3;5;5;6;9;14;25;46;88
4;4;5;7;18;15;25;46;87
4;4;5;7;9;14;24;46;88
4;4;5;6;9;24;25;46;88
4;4;5;7;9;15;24;46;88
4;5;5;6;9;14;34;46;88
3;5;5;6;9;14;25;46;88
4;4;6;7;9;14;34;46;88
4;4;5;6;9;14;25;46;108
4;5;5;6;9;14;35;46;87
4;4;5;7;9;14;25;46;88
4;4;5;7;9;15;24;56;88
4;5;5;6;9;14;25;46;88
3;5;5;6;9;14;25;55;88
4;5;5;7;9;14;25;45;88
4;4;5;7;9;15;24;55;88
4;5;5;6;9;14;25;46;88
3;5;6;6;9;14;25;46;97
4;4;5;7;9;15;24;46;88
4;4;5;6;9;15;25;46;97
4;5;5;6;9;15;25;46;88
3;5;5;6;9;14;25;46;97
4;4;5;7;9;14;25;46;88
4;4;5;7;9;15;25;45;97
4;4;5;7;9;14;25;46;88
4;4;5;8;10;15;25;46;98
4;5;5;6;9;15;24;46;94
4;5;5;6;9;14;25;46;88
4;5;6;7;9;14;25;45;98
4;5;6;7;9;14;25;46;88
4;4;5;7;10;15;25;46;98
4;4;5;7;9;15;25;45;88
4;4;5;6;9;15;24;46;88
4;5;5;6;9;14;25;46;88
3;5;5;6;9;14;25;46;87
4;4;6;7;9;14;25;46;88
3;5;6;7;9;14;25;46;88
4;5;5;16;10;14;25;46;88
3;5;5;6;9;14;25;46;88
3;5;5;6;9;15;25;46;88
3;5;5;6;9;14;25;46;88
4;5;5;7;9;14;26;98;89
4;5;5;6;9;15;24;46;88
