0B;8B;16B;32B;64B;128B;256B;512B;1024B
11;5;2;3;3;6;11;20;39
1;2;2;3;4;7;11;20;40
2;2;2;3;4;6;22;20;39
2;2;2;3;4;6;11;20;39
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;21;39
2;2;2;3;3;6;21;20;39
2;2;2;2;4;6;11;21;39
1;2;2;3;3;6;11;20;39
1;2;2;3;4;6;11;21;40
2;1;2;3;4;6;19;20;39
2;2;2;2;4;6;11;21;40
1;2;2;3;4;6;11;20;39
2;2;2;2;4;6;11;21;71
2;2;2;2;4;6;11;21;39
1;2;2;3;3;6;11;30;39
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;21;39
1;2;2;3;4;6;11;20;39
2;2;2;2;4;6;11;30;39
1;2;2;2;4;6;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;2;4;6;11;21;40
1;2;2;3;3;6;11;29;39
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;20;39
1;2;2;3;4;7;11;20;40
2;1;2;3;4;6;11;29;40
2;1;2;3;4;6;11;20;39
1;2;2;2;4;6;11;21;40
2;2;2;3;3;6;11;20;39
2;2;2;2;4;6;11;30;40
2;1;2;3;4;6;11;20;39
1;2;2;2;4;6;11;21;40
1;1;2;3;3;6;11;20;39
1;2;2;2;4;6;11;30;39
2;2;2;3;4;6;11;20;39
1;2;3;3;4;6;11;20;39
2;2;2;2;4;6;11;21;39
1;2;3;3;4;7;11;29;39
1;2;2;2;4;6;11;21;40
2;2;2;3;3;6;11;20;39
2;2;2;2;4;6;11;20;72
2;1;2;3;4;6;11;20;39
1;2;2;2;4;6;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;2;4;6;11;21;39
1;2;2;3;3;6;11;20;39
2;2;2;2;4;6;11;21;39
1;2;3;3;4;7;11;20;39
2;2;2;2;4;6;11;21;39
1;2;2;3;3;6;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;20;40
2;1;2;3;4;6;11;20;39
1;2;3;3;4;7;11;21;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;12;20;39
2;2;2;2;4;6;10;21;40
1;1;2;3;4;6;11;20;39
2;2;2;2;4;6;11;21;40
2;1;2;3;4;6;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;20;21;39
1;2;2;3;3;6;11;20;39
1;2;2;3;4;7;11;20;39
2;2;2;3;4;6;11;20;39
1;2;3;3;4;7;20;21;39
1;2;3;3;4;7;11;20;39
2;2;2;2;4;6;11;21;40
1;2;2;3;3;6;11;54;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;21;40
1;3;2;3;3;6;11;20;39
2;2;2;2;4;6;11;21;40
1;1;2;3;4;6;11;20;49
2;2;2;3;4;6;11;20;39
2;2;2;2;4;6;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;2;4;7;11;21;49
1;2;2;2;4;6;10;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;11;20;48
2;2;2;3;4;6;11;20;39
1;2;3;3;4;7;11;20;40
2;2;2;3;4;6;11;20;39
1;2;2;2;4;6;11;21;49
1;2;3;3;4;6;11;20;39
2;2;2;2;4;6;11;21;39
1;2;2;3;3;6;11;20;39
2;2;2;2;4;6;11;21;47
1;2;3;3;4;7;11;20;39
2;2;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;11;20;48
2;2;2;3;4;6;11;20;39
1;2;2;3;4;7;11;20;39
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;48
2;2;2;3;4;7;11;21;128
2;2;3;3;4;7;11;21;40
1;1;2;3;4;6;11;20;39
1;2;2;3;4;6;11;20;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;2;4;7;11;20;39
2;2;2;2;4;6;11;21;39
1;2;3;3;4;7;11;20;39
2;2;2;2;4;6;11;21;39
1;2;3;3;4;7;11;20;39
