0B;8B;16B;32B;64B;128B;256B;512B;1024B
7;2;3;3;5;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;38;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;61
2;2;3;4;5;8;14;27;52
1;2;3;4;4;8;14;27;52
1;2;3;4;5;8;14;27;52
2;11;2;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;4;5;8;15;27;52
1;2;3;4;4;8;14;27;52
1;2;3;4;5;8;14;27;52
1;2;3;4;5;8;14;27;52
2;3;3;3;5;8;15;27;52
2;3;3;3;5;8;14;27;52
1;2;3;4;5;8;14;35;53
2;2;2;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;8;14;27;61
2;3;3;3;5;8;15;26;52
2;3;3;3;5;8;15;26;52
2;3;3;3;5;8;15;27;52
2;2;2;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;16;14;27;52
2;2;3;3;5;9;15;27;52
2;3;3;3;5;9;15;27;52
2;2;3;4;5;8;14;35;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;15;27;60
2;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;3;3;5;8;15;27;52
2;2;3;3;5;8;15;27;52
2;3;3;3;5;8;20;27;52
2;2;2;3;5;8;15;26;52
2;2;3;3;5;8;15;26;61
2;2;2;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;3;3;5;8;15;26;52
2;2;3;3;5;8;15;27;52
2;3;3;3;5;8;15;27;52
2;2;3;4;5;8;23;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;15;27;53
2;2;3;4;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;61
1;2;3;4;5;8;15;27;52
2;3;3;3;5;9;15;27;52
2;2;3;3;5;8;14;27;52
1;2;3;4;5;8;15;27;52
2;2;3;3;5;9;15;27;52
2;3;3;3;5;8;15;27;52
2;2;3;4;4;8;14;35;52
2;2;3;3;5;8;15;26;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;36;52
2;3;3;3;5;9;15;27;52
2;3;3;3;5;8;15;26;52
2;2;3;3;5;8;15;27;61
2;3;3;3;5;8;15;27;52
2;3;3;3;5;8;15;27;52
2;2;3;4;5;8;14;27;52
1;2;3;3;5;8;15;26;52
2;2;3;3;5;8;15;27;52
2;3;3;3;5;8;15;27;52
1;2;3;4;4;8;23;26;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
1;2;3;3;5;8;14;27;52
2;3;3;3;5;8;14;27;52
1;2;3;4;4;8;14;27;60
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;15;26;52
2;2;3;3;5;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;8;14;35;52
1;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
1;2;3;4;5;9;15;26;52
2;2;3;3;5;8;15;26;57
2;3;3;3;5;8;15;27;52
2;2;3;3;5;8;15;26;52
2;2;3;3;5;8;15;27;52
2;3;2;3;5;8;14;27;52
2;2;3;3;5;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;2;3;5;8;22;27;52
2;2;3;3;5;8;15;27;52
2;3;3;3;5;8;14;27;52
1;2;3;4;4;8;14;27;52
2;3;3;3;5;9;15;27;52
2;2;3;4;5;8;14;27;52
1;2;3;4;5;8;14;27;60
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;15;26;52
2;3;3;3;13;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;8;14;35;52
1;2;3;4;4;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;95
2;2;3;3;5;8;15;27;52
2;3;3;3;5;9;15;27;52
2;3;3;3;5;8;14;27;61
2;2;2;4;5;8;14;27;51
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;3;3;5;9;15;27;52
2;3;3;3;5;8;15;27;52
2;2;3;4;5;8;14;27;52
1;2;3;4;5;8;23;27;52
