0B;8B;16B;32B;64B;128B;256B;512B;1024B
10;6;3;4;5;8;13;24;47
2;3;2;4;5;8;14;25;59
3;3;3;4;5;8;13;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;4;5;8;23;25;47
2;3;3;3;5;7;13;25;47
2;2;3;4;4;8;13;24;47
2;3;2;3;5;8;14;92;48
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
8;3;2;4;5;8;14;24;47
3;3;3;3;5;8;14;25;46
2;2;3;3;5;7;13;34;47
2;2;3;3;5;8;13;24;47
2;2;2;4;5;8;13;24;47
3;3;3;3;5;7;13;25;47
11;3;3;3;5;8;13;24;47
2;3;2;4;5;8;14;24;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;33;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;14;25;47
2;2;3;3;5;7;13;25;60
2;3;2;4;5;8;14;25;47
2;2;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;3;4;4;8;22;25;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;3;4;5;8;13;24;56
2;2;3;3;5;7;13;25;47
2;2;3;4;4;8;13;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;16;13;24;47
2;2;2;4;5;8;14;24;101
2;3;3;4;5;8;14;25;47
2;2;3;3;5;7;24;25;46
2;2;3;3;5;7;13;25;47
2;2;3;4;5;8;13;24;47
2;3;2;4;5;8;14;25;56
2;3;2;4;5;8;13;24;47
2;3;3;3;5;7;14;25;46
2;2;3;3;5;7;13;24;47
2;2;3;4;5;8;14;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;56
2;3;3;3;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;3;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;2;4;5;8;14;25;47
2;3;3;4;4;8;13;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;14;24;47
3;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;3;4;4;8;13;33;47
2;3;3;3;5;8;14;25;47
3;3;3;3;5;7;13;25;47
2;2;3;3;5;8;23;25;47
2;2;3;4;4;8;13;24;47
2;3;3;3;5;8;13;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;33;47
3;3;2;4;5;8;14;25;46
2;2;3;3;5;7;13;25;47
2;2;3;4;5;8;13;24;47
2;3;3;3;5;8;13;24;47
2;2;3;4;5;8;13;24;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;33;48
2;2;3;4;5;8;13;24;47
2;3;3;3;5;7;14;25;46
2;2;3;3;5;8;13;24;56
2;3;3;4;5;8;14;25;47
2;2;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;2;4;5;8;23;24;47
2;2;3;3;5;8;13;24;47
2;2;3;4;4;8;13;24;47
2;3;2;4;5;8;14;25;55
2;2;3;4;4;8;13;24;47
2;3;2;4;5;8;13;24;47
3;3;3;3;5;7;13;25;47
2;2;13;4;5;7;13;25;46
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;3;2;4;5;8;14;34;47
2;2;3;4;5;8;13;24;47
3;3;3;3;5;8;14;25;46
2;2;3;3;5;7;13;24;47
2;3;2;4;4;8;13;24;47
3;3;3;3;5;7;13;25;46
2;2;3;3;5;7;13;24;47
2;2;3;4;4;8;13;25;47
2;2;3;3;5;7;13;24;47
2;2;3;4;5;8;13;24;47
2;3;2;4;5;8;14;25;55
2;2;3;4;4;8;13;24;47
2;3;2;4;5;8;14;25;47
2;2;3;3;5;7;13;25;47
2;2;3;3;5;8;22;25;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;4;4;8;13;24;56
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;3;2;4;5;8;14;24;47
2;3;3;3;5;16;14;24;47
2;2;3;4;5;8;13;24;47
2;3;3;4;5;8;14;25;46
2;3;3;3;5;7;13;71;47
2;3;3;3;5;7;13;25;47
2;2;3;4;5;8;13;24;47
2;3;8;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;3;4;4;8;13;24;56
2;3;3;4;5;8;14;24;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;3;4;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;3;4;4;8;13;24;47
2;3;2;4;5;8;14;34;47
2;2;3;4;5;8;13;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
