0B;8B;16B;32B;64B;128B;256B;512B;1024B
8;4;2;2;3;5;9;17;31
1;1;2;2;3;5;9;16;32
2;2;2;3;3;5;9;16;31
1;2;2;2;3;5;9;16;31
1;2;2;2;3;5;9;17;31
1;1;2;2;3;6;9;16;31
2;2;1;2;3;5;9;16;31
1;1;2;2;3;5;8;16;41
2;1;2;2;3;5;9;16;32
2;2;1;2;3;5;9;16;31
1;2;2;2;3;5;9;17;32
1;1;2;3;3;6;9;16;31
2;2;1;2;3;5;9;26;32
2;1;2;2;3;6;9;16;31
2;2;1;2;3;5;9;17;31
1;1;2;2;3;5;9;16;32
2;1;2;3;4;5;9;16;31
1;2;2;2;4;6;9;16;31
2;2;1;2;3;5;9;17;31
1;1;2;2;3;5;8;16;32
2;2;2;3;3;5;9;16;80
2;2;2;3;4;16;9;17;31
2;2;1;2;3;5;9;16;31
1;1;2;2;3;5;8;16;32
2;1;2;3;4;5;9;16;37
1;1;2;2;3;5;8;16;32
2;1;2;3;4;5;9;16;31
1;2;2;2;3;5;8;17;32
1;1;2;3;12;5;9;16;31
1;2;2;2;3;5;8;17;32
1;1;2;3;4;5;9;16;31
1;2;2;2;3;5;9;17;32
1;1;2;3;3;6;9;16;40
2;1;2;2;3;5;9;16;32
2;2;2;3;3;5;9;16;31
1;2;2;2;3;5;9;17;32
1;1;2;2;3;6;9;16;31
2;2;1;2;3;5;9;25;31
1;2;2;2;3;5;9;17;31
1;1;2;2;3;5;9;16;32
2;2;1;2;3;5;9;16;31
1;1;2;2;3;5;8;17;32
2;1;2;11;4;5;9;17;32
1;1;2;2;3;5;9;16;32
2;2;1;2;3;5;9;16;31
1;1;2;2;3;5;9;16;32
2;2;2;2;3;5;9;16;40
1;2;1;2;3;5;9;17;31
1;1;2;2;3;5;9;16;32
2;2;2;3;4;5;9;16;31
1;2;2;2;3;5;9;17;32
1;1;2;3;3;6;9;17;32
1;1;2;2;3;5;8;17;32
1;1;2;3;4;5;9;16;31
1;2;2;2;3;5;8;17;32
1;1;2;3;4;5;9;16;31
1;2;11;3;4;6;9;16;31
1;2;2;2;3;5;40;16;32
1;1;2;3;4;6;9;16;31
1;2;2;2;3;5;9;17;31
1;1;2;2;3;5;8;17;31
2;2;1;2;3;5;9;17;31
1;1;2;2;3;5;9;16;32
2;2;1;2;3;5;9;16;31
1;1;2;2;3;5;8;16;32
