0B;8B;16B;32B;64B;128B;256B;512B;1024B
11;17;2;2;4;6;11;21;39
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;21;39
2;1;2;3;4;6;11;20;39
1;2;2;3;3;6;11;20;39
1;2;2;3;4;6;11;20;39
2;2;2;3;4;6;11;20;39
1;2;3;3;3;6;11;20;39
2;2;2;2;4;6;11;21;40
2;2;2;3;4;6;11;20;39
1;2;2;3;3;6;11;20;39
1;2;2;2;4;6;10;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;6;11;21;40
11;2;2;2;4;6;10;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;11;20;39
10;2;2;2;4;6;11;21;39
1;2;2;3;3;6;11;20;39
1;2;2;2;4;6;10;21;40
2;1;2;3;4;6;11;20;39
1;2;2;2;4;6;11;20;39
1;2;3;3;4;7;11;20;39
2;2;2;2;4;6;11;21;40
1;1;2;3;4;6;11;20;39
1;3;2;2;4;6;11;21;39
1;2;2;3;3;6;11;20;39
1;2;2;3;4;7;11;20;81
2;2;2;2;4;6;11;21;49
1;2;3;3;4;7;11;20;39
2;2;2;2;4;6;11;21;39
1;2;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;49
2;2;2;2;4;6;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;11;20;48
2;2;2;2;4;6;11;20;39
1;2;3;3;4;7;11;20;39
2;2;2;3;4;6;11;20;39
1;2;3;3;4;7;11;20;48
1;2;3;3;4;6;11;20;39
2;2;2;3;4;6;11;21;39
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;21;48
1;2;2;2;4;6;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;21;47
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;21;39
1;2;2;3;3;6;11;20;39
2;2;2;2;4;6;11;21;48
1;2;3;3;4;6;11;20;39
2;2;2;2;4;6;11;21;40
2;2;2;3;4;6;11;20;39
1;2;2;3;4;6;11;21;48
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;21;40
2;1;2;3;4;6;11;20;71
2;2;2;3;3;6;11;21;40
1;2;2;3;4;6;11;20;39
1;2;2;3;4;7;11;20;40
2;2;2;3;4;6;11;25;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;3;6;11;20;39
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;20;39
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;21;39
1;2;3;3;4;7;11;20;39
2;2;2;2;4;6;11;21;39
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;20;40
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;21;39
1;2;3;3;4;6;11;20;39
2;2;2;2;4;6;11;29;39
2;2;2;2;4;6;11;21;39
1;2;2;3;3;6;11;20;39
2;2;2;2;4;6;11;21;40
2;1;2;3;4;6;11;29;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;6;11;21;40
2;1;2;3;4;6;11;21;39
1;2;3;3;4;7;11;29;40
2;1;2;3;4;6;44;21;40
2;2;2;3;4;6;11;20;39
1;2;2;3;4;6;11;21;40
2;1;2;3;14;6;11;21;39
1;2;2;3;3;6;11;20;39
2;2;2;2;4;6;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;13;6;11;20;39
1;2;2;3;4;6;11;21;40
2;2;2;3;4;6;11;21;39
1;2;2;3;3;6;11;20;39
2;2;2;2;13;6;11;20;39
1;2;2;2;4;6;11;21;40
1;2;2;3;3;6;11;20;39
1;2;2;2;4;6;10;21;40
1;2;2;3;13;7;11;20;40
2;1;2;3;4;6;11;21;39
1;2;3;3;3;6;11;20;39
2;2;2;2;4;6;10;21;40
1;2;2;3;13;7;11;20;39
2;2;2;2;4;6;11;20;39
1;2;3;3;4;7;11;20;39
2;2;2;2;4;6;11;21;40
1;2;2;3;12;7;11;20;39
1;2;2;3;4;7;11;20;39
2;2;2;2;4;6;11;20;39
1;2;3;3;4;7;11;20;39
2;2;2;2;12;6;11;20;39
1;2;2;3;3;6;11;20;39
2;2;2;2;4;6;11;21;39
1;2;2;3;3;6;11;20;39
1;2;2;2;4;7;11;20;39
2;2;2;4;4;6;11;21;39
1;2;2;3;4;6;11;20;39
1;2;2;3;4;7;11;31;39
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;26;39
2;2;2;2;4;6;11;21;39
1;2;2;3;3;6;11;20;39
2;2;2;2;4;6;11;21;40
1;2;2;3;4;6;11;29;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;29;39
1;2;2;2;4;6;11;21;40
1;1;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;11;29;39
2;2;2;2;4;6;11;21;40
1;2;2;3;3;6;11;20;39
2;2;2;2;4;6;11;21;39
1;2;2;3;3;6;11;29;39
2;2;2;3;4;6;11;20;39
1;2;2;3;4;7;11;21;40
2;1;2;3;4;6;11;20;39
2;2;2;2;4;6;11;30;39
