0B;8B;16B;32B;64B;128B;256B;512B;1024B
7;2;3;3;5;8;15;39;52
2;2;3;4;4;8;14;27;52
1;2;3;3;5;8;15;26;52
2;2;3;3;5;8;15;26;52
2;3;3;3;5;8;15;27;52
2;3;3;3;5;8;15;36;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;15;26;52
2;3;3;3;5;9;15;27;61
2;2;3;3;5;8;15;27;52
2;2;2;3;5;8;15;26;52
2;2;2;3;5;8;15;27;52
10;2;3;3;5;8;15;27;52
2;3;3;3;5;8;15;27;52
2;3;3;3;5;8;15;27;52
2;3;3;3;5;8;14;27;52
1;2;3;4;5;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;35;52
2;2;2;4;5;8;14;27;53
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;61
2;3;3;3;5;9;15;27;52
2;3;3;3;5;8;15;27;52
1;2;3;42;5;8;14;27;62
2;2;3;4;5;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;3;4;5;8;23;27;51
2;2;2;3;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;4;5;8;14;27;60
2;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;4;5;8;14;27;60
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;9;15;26;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;35;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;51
2;2;2;3;5;8;14;27;61
2;2;3;3;5;8;15;26;52
2;3;3;3;5;8;15;26;52
2;212;3;3;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;8;15;26;52
2;2;2;3;5;8;14;27;52
2;2;2;4;5;8;14;36;52
2;2;3;4;4;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;27;60
2;2;3;4;5;8;14;27;52
1;2;3;4;4;8;14;27;52
1;2;3;4;5;8;14;27;52
1;2;3;3;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;8;22;26;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;26;52
2;2;2;3;5;8;15;26;60
1;3;3;3;5;8;15;26;52
2;2;3;3;5;8;15;27;52
2;3;3;3;5;9;15;27;60
2;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;8;15;27;87
2;2;2;3;5;8;14;27;52
2;2;2;4;5;8;14;27;51
2;2;2;3;5;18;14;27;52
1;2;3;3;5;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;36;52
1;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;8;14;27;61
2;3;3;3;5;8;15;26;52
2;2;2;3;5;8;14;26;52
2;2;2;3;5;8;15;26;52
2;11;3;4;5;8;14;27;52
1;2;3;4;4;8;14;27;52
1;2;3;4;5;8;14;27;52
1;2;3;4;5;8;23;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;15;35;52
2;2;3;3;5;8;15;27;52
2;2;3;3;5;8;14;27;52
1;2;3;3;4;8;14;27;60
2;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;137
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;15;26;62
2;2;3;4;5;8;14;27;52
2;2;3;4;4;8;14;32;52
1;2;3;4;4;8;14;27;52
1;2;3;4;4;8;14;27;52
1;2;3;3;5;8;14;27;61
1;2;3;3;5;8;14;27;52
1;2;3;4;5;8;14;27;52
1;2;3;4;4;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;3;4;4;8;14;27;52
1;2;3;4;5;8;14;27;52
1;2;3;4;5;8;15;27;52
2;2;2;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;4;5;8;14;35;52
2;2;2;3;5;8;15;27;52
2;2;3;3;5;8;15;26;52
2;3;3;3;5;8;15;26;60
1;2;3;3;5;8;14;27;52
1;2;3;4;5;8;14;27;52
1;2;3;4;5;8;14;27;52
1;2;3;3;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;3;3;3;5;9;15;27;52
2;3;3;3;5;9;15;27;52
2;3;3;3;5;9;15;36;52
2;2;2;3;5;8;15;26;52
2;3;3;3;5;8;15;26;52
2;2;2;3;5;8;15;27;61
2;2;3;3;5;8;15;27;52
2;2;3;3;5;8;15;26;52
2;2;3;3;5;8;15;26;61
1;3;3;3;5;8;15;27;52
2;2;3;3;5;8;15;27;52
2;3;3;3;5;8;15;27;52
2;3;3;3;5;17;14;27;52
1;2;3;4;5;8;14;27;52
2;3;3;3;5;9;15;27;52
2;3;3;3;5;8;15;36;52
1;2;3;3;5;9;15;26;52
2;3;3;3;5;8;15;26;52
2;3;3;3;5;8;15;26;60
2;3;3;3;5;8;15;27;52
2;3;3;3;5;9;15;27;52
2;3;3;3;5;9;15;27;52
2;3;2;4;5;8;15;27;52
2;3;3;3;5;9;15;27;52
2;3;3;3;5;8;62;27;52
2;2;3;3;5;8;15;27;52
2;3;3;3;5;9;15;27;52
2;3;3;3;5;8;15;31;52
2;2;2;4;5;8;14;27;52
1;2;3;4;4;8;14;27;61
2;3;3;3;5;8;14;27;52
2;2;2;3;5;8;15;27;52
2;2;2;3;5;8;15;26;52
2;2;2;3;14;8;15;26;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;35;52
2;2;2;3;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;3;4;5;8;14;27;60
2;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;4;5;16;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;35;52
2;3;3;3;32;8;14;27;52
1;2;3;4;5;8;14;27;52
1;2;3;4;5;8;14;27;62
2;3;3;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;61
2;2;2;3;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;4;14;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;35;52
2;2;2;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;60
2;2;2;3;5;8;15;27;52
2;2;3;4;5;8;25;27;53
2;2;2;4;5;8;14;27;52
1;2;3;4;6;8;14;27;52
1;2;3;4;4;8;14;36;52
2;2;2;3;5;8;14;27;53
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;61
2;2;2;3;5;8;15;51;52
2;3;3;3;5;8;15;27;52
2;3;3;3;5;9;15;27;62
2;3;3;3;5;8;15;26;52
2;2;3;3;5;8;15;32;52
2;2;2;3;5;8;15;26;52
2;2;3;3;5;8;15;27;52
2;3;3;3;5;8;15;27;60
2;3;3;3;5;9;15;27;52
2;2;3;3;5;8;15;27;52
1;2;3;4;5;8;14;27;52
1;2;3;3;5;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;8;22;27;52
2;3;3;3;5;8;15;27;52
2;3;3;3;5;8;15;27;52
2;3;3;3;5;8;15;27;60
1;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;2;3;5;8;14;27;60
2;2;2;3;5;8;15;27;52
2;2;3;3;5;8;15;27;52
2;3;3;3;5;8;15;27;52
2;2;3;3;5;17;14;27;52
2;2;2;3;5;8;14;27;51
2;2;2;3;5;8;14;48;52
2;3;3;3;5;9;24;27;52
2;2;3;4;4;8;14;27;52
2;2;3;4;5;8;14;27;52
1;2;3;4;4;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;3;3;5;8;14;27;52
1;2;3;4;5;8;14;27;60
2;2;2;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;13;8;15;27;52
2;3;3;3;5;8;15;27;52
2;2;3;3;5;8;14;27;52
1;2;3;4;4;8;14;35;52
2;2;3;4;5;8;14;27;52
1;2;3;4;5;8;14;27;52
1;2;3;4;5;8;14;27;60
2;2;3;4;5;8;14;27;52
1;2;3;3;5;8;15;27;52
2;3;3;3;5;8;14;27;52
2;2;3;4;5;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;16;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;47;52
2;2;2;3;5;8;23;27;52
2;3;3;3;5;8;15;26;52
2;2;2;3;5;8;15;26;57
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;51
2;2;2;3;5;8;14;26;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;15;26;52
2;3;3;3;5;9;15;36;52
2;3;3;3;5;8;15;26;52
2;2;2;3;5;8;15;27;52
2;3;3;3;5;8;15;27;60
2;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;12;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;22;27;52
1;2;3;4;5;9;15;27;52
2;3;3;3;5;9;15;27;52
2;3;3;3;5;9;15;27;60
2;2;3;3;5;8;15;27;52
2;3;3;3;5;8;14;27;52
1;2;3;4;4;8;14;27;60
2;2;3;4;5;8;14;47;52
2;3;3;3;5;8;15;27;52
2;3;3;3;5;9;15;27;52
2;3;12;4;5;8;14;27;52
1;2;3;4;5;8;14;27;52
1;2;3;4;5;8;14;27;52
1;2;3;4;5;8;23;27;52
1;2;3;4;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;15;27;52
2;2;2;3;5;8;15;27;52
2;3;3;3;5;9;15;27;60
2;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;2;4;14;8;15;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;15;26;52
2;3;3;3;5;9;15;36;52
1;2;3;3;5;9;15;27;52
2;2;3;3;5;8;15;27;52
2;3;3;3;5;9;15;27;60
1;2;3;4;4;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
1;3;3;3;5;8;14;27;53
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;15;27;52
2;2;3;12;5;8;15;27;52
2;3;3;3;5;9;15;27;57
2;3;3;3;5;8;15;26;52
2;2;3;3;5;8;15;27;52
2;3;3;3;5;9;15;27;52
2;11;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;3;4;5;8;23;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;35;52
2;2;2;3;5;8;15;26;52
2;2;3;3;5;8;15;26;52
2;3;3;3;5;8;15;27;60
1;2;3;4;4;8;14;27;52
1;2;3;4;5;8;14;27;52
2;2;3;4;5;8;14;27;52
2;2;2;12;5;9;15;27;52
2;2;2;3;5;8;14;27;52
2;2;2;3;5;8;14;27;52
2;2;2;4;5;8;14;27;52
2;2;3;3;5;8;15;26;52
2;3;3;3;5;9;15;27;72
1;2;3;4;4;8;14;37;52
2;2;3;3;5;8;15;27;52
