0B;8B;16B;32B;64B;128B;256B;512B;1024B
9;6;3;4;5;7;13;25;60
2;2;3;3;5;8;13;24;47
2;2;3;4;4;8;13;24;47
3;3;3;3;5;8;13;25;46
2;2;13;4;5;8;13;24;47
2;2;2;4;5;8;14;24;47
3;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;34;47
2;2;3;4;5;8;14;24;47
2;3;3;3;5;7;13;25;47
2;2;3;4;5;8;13;24;47
11;2;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;3;2;4;5;8;14;25;46
2;2;3;3;5;7;13;33;46
2;2;3;3;5;8;13;24;47
2;2;2;4;5;8;14;24;47
2;3;3;3;5;7;13;25;56
2;3;3;4;4;8;13;24;47
3;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;3;4;4;5;7;13;25;47
2;2;3;4;5;8;13;24;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;76;46
2;3;3;3;5;7;13;24;57
3;3;2;4;5;8;14;25;46
2;2;3;3;5;7;13;25;47
2;2;3;4;4;8;13;24;47
2;3;2;3;5;8;23;25;46
2;3;3;3;5;7;13;25;47
2;2;3;4;5;8;13;24;47
3;3;3;3;5;7;13;25;56
2;2;3;3;5;8;13;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;4;5;17;13;25;47
2;3;3;3;5;7;13;24;47
2;2;3;4;5;8;14;24;47
3;3;3;3;5;7;13;25;56
2;2;3;4;4;8;13;24;47
3;3;3;3;5;7;13;25;47
2;2;3;4;4;8;13;24;47
3;3;3;3;5;8;13;24;47
2;3;2;4;5;8;14;25;46
2;2;3;3;5;8;13;24;47
2;3;2;4;5;8;14;25;55
2;3;3;3;5;7;13;25;47
2;2;4;4;5;7;13;25;47
2;2;3;3;5;8;13;25;47
2;3;2;4;5;8;14;25;47
2;2;3;3;5;8;13;24;47
2;3;2;4;5;8;14;25;56
3;3;2;4;5;8;14;25;46
2;2;3;3;5;8;13;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;8;22;24;47
2;3;2;4;5;8;14;25;46
2;2;3;3;5;8;13;24;47
2;2;3;4;5;8;13;24;56
2;2;3;4;4;8;13;24;47
2;3;3;3;5;7;13;25;46
2;2;3;3;5;8;13;24;47
2;2;2;4;5;17;13;25;47
2;3;3;3;5;7;13;24;47
2;2;3;4;5;8;14;25;47
2;3;3;3;5;7;13;25;56
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;4;4;8;13;24;47
2;3;2;4;5;8;13;25;47
2;2;3;3;5;8;13;24;47
2;3;2;4;5;8;14;25;46
2;2;3;3;5;7;13;25;47
3;3;2;4;5;8;14;25;46
2;4;3;3;5;8;13;24;47
2;2;3;4;5;8;13;24;57
3;3;3;4;4;8;14;24;47
2;3;3;3;5;7;13;25;47
2;2;3;4;5;8;45;25;47
3;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;57
2;2;3;3;5;7;13;25;47
2;2;3;4;5;8;13;24;47
2;3;2;4;5;8;14;25;47
2;2;3;3;5;8;13;24;47
2;2;3;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;4;4;8;13;24;56
2;2;3;4;5;8;13;24;47
2;3;2;4;5;8;14;25;46
2;3;3;3;5;8;13;24;47
2;2;3;4;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;3;2;4;5;8;14;25;46
2;2;3;3;5;8;13;24;47
2;3;3;3;5;7;13;24;47
2;2;3;4;4;8;13;24;47
2;3;3;3;5;7;13;25;47
2;2;12;4;5;8;14;25;46
2;2;3;3;5;7;13;25;47
2;2;3;4;4;8;13;24;47
2;3;3;3;5;9;14;24;47
2;3;3;3;5;8;14;25;46
2;2;3;3;5;8;13;24;47
2;2;2;4;5;8;24;24;47
2;2;3;3;5;8;13;24;47
2;2;2;4;5;8;14;25;47
2;2;3;3;5;7;13;24;56
2;3;3;3;5;7;14;25;46
2;2;3;3;5;8;13;24;47
2;2;2;4;5;8;14;25;47
2;3;3;3;5;16;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;4;4;8;13;24;47
2;3;3;3;5;7;13;25;56
2;3;2;4;5;8;14;24;47
2;3;3;3;5;7;13;25;47
2;2;3;4;5;8;13;24;47
2;3;2;4;14;8;13;24;47
2;2;3;4;5;8;14;24;47
3;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;56
2;3;2;4;5;8;14;25;47
2;2;3;3;5;8;13;24;47
2;2;2;4;5;8;14;25;46
2;2;3;12;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;4;5;8;13;24;47
2;3;2;4;5;42;24;25;47
2;2;3;4;5;8;13;24;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;77
2;3;3;4;5;8;14;25;46
2;2;3;3;5;7;23;25;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;2;4;5;8;14;25;56
2;2;3;4;5;8;13;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;17;14;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;56
3;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;25;47
2;2;3;4;5;7;14;25;47
3;3;3;3;5;7;14;25;47
2;2;3;3;5;8;13;25;47
2;2;3;4;5;8;13;24;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;3;4;5;8;13;24;47
2;3;11;3;5;8;14;25;47
2;3;3;3;5;7;13;74;47
2;3;3;3;5;7;13;25;47
2;2;3;4;15;8;13;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;7;13;24;47
2;2;3;4;5;8;13;24;47
2;2;2;4;5;8;13;24;47
2;3;3;3;5;8;14;25;47
2;3;3;4;5;8;13;24;47
2;2;3;4;4;8;13;24;47
3;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;34;47
2;2;3;4;4;8;13;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
11;3;2;4;5;8;14;25;47
2;2;3;3;5;7;13;24;47
2;2;3;4;5;8;13;24;47
2;3;2;4;5;8;14;34;47
2;2;3;4;5;8;13;24;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;56
3;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;3;4;4;8;22;25;47
2;3;3;3;5;7;13;25;72
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;25;58
2;2;3;3;5;7;13;25;47
2;2;3;3;5;8;13;24;47
2;2;3;4;4;9;14;25;47
2;3;2;4;5;8;14;25;47
2;3;3;3;5;7;13;24;48
